Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
553463,2018-01-10,0.035927,0.036006,0.030647000000000004,0.031947,52,"111,922",BVC,-0.110780193169482
553464,2018-01-09,0.037198,0.037964,0.035274,0.03588,11,"115,881",BVC,-0.0354320124737889
553465,2018-01-08,0.038432999999999995,0.039488999999999996,0.033471,0.037299,46,"119,727",BVC,-0.0295058933728828
553466,2018-01-07,0.040598,0.040598,0.0375,0.038486,15,"126,473",BVC,-0.0520222671067541
553467,2018-01-06,0.057914999999999994,0.057914999999999994,0.038616000000000004,0.040628,62,"180,421",BVC,-0.29848916515583196
553468,2018-01-05,0.035524,0.05836,0.035161000000000005,0.057869000000000004,42,"110,666",BVC,0.629011372593176
553469,2018-01-04,0.032702999999999996,0.035517,0.032469,0.035517,18,"101,879",BVC,0.0860471516374644
553470,2018-01-03,0.074921,0.077348,0.030442,0.032525,124,"233,397",BVC,-0.565876056112439
553471,2018-01-02,0.028893000000000002,0.075548,0.027895999999999997,0.075187,592,"90,009",BVC,1.6022566019451099
553472,2018-01-01,0.02992,0.029939999999999998,0.027631,0.028895,1,"93,209",BVC,-0.0342580213903743
553473,2017-12-31,0.026573000000000003,0.030477999999999998,0.026309,0.029805,12,"82,783",BVC,0.121627215594777
553474,2017-12-30,0.028417,0.028419999999999997,0.025442,0.026862999999999998,21,"88,525",BVC,-0.0546855755357708
553475,2017-12-29,0.030237,0.031613,0.029814999999999998,0.030525,2,"94,197",BVC,0.0095247544399246
553476,2017-12-28,0.030073000000000003,0.030437,0.026923000000000002,0.029927,4,"93,684",BVC,-0.00485485319056962
553477,2017-12-27,0.048031,0.049108,0.028701,0.030136000000000003,55,"149,629",BVC,-0.37257188066040703
553478,2017-12-26,0.028556,0.048651,0.028439,0.047927,80,"88,959",BVC,0.6783513097072421
553479,2017-12-25,0.027647,0.02875,0.026014,0.028585000000000003,13,"86,128",BVC,0.0339277317611313
553480,2017-12-24,0.023989,0.060362,0.023364,0.027382999999999998,70,"74,732",BVC,0.141481512359832
553481,2017-12-23,0.026841000000000004,0.028662,0.021595,0.023727,126,"83,617",BVC,-0.116016541857606
553482,2017-12-22,0.030008999999999997,0.030304,0.022129,0.02659,32,"93,486",BVC,-0.11393248692059099
553483,2017-12-21,0.03363,0.035702,0.028904000000000003,0.029906,108,"104,767",BVC,-0.11073446327683599
553484,2017-12-20,0.034158,0.034955,0.030081999999999998,0.033543,25,"106,409",BVC,-0.0180045670121201
553485,2017-12-19,0.032349,0.034318,0.029427,0.034184,278,"100,776",BVC,0.0567250919657484
553486,2017-12-18,0.032244,0.032373,0.030111000000000002,0.032358,340,"100,449",BVC,0.0035355414960921705
553487,2017-12-17,0.039883,0.041027,0.031936,0.032147,295,"124,245",BVC,-0.193967354511947
553488,2017-12-16,0.043756,0.11701099999999999,0.025917000000000003,0.039827,"3,404","136,310",BVC,-0.0897933997623183
553489,2017-12-15,0.029354,0.04542,0.029349,0.043694,135,"91,446",BVC,0.48851945220412896
553490,2017-12-14,0.032287,0.033644,0.029069,0.029310000000000003,114,"100,582",BVC,-0.0922042927494039
553491,2017-12-13,0.031459,0.033502,0.025969,0.032391,54,"98,004",BVC,0.0296258622333832
553492,2017-12-12,0.03155,0.037774,0.02925,0.031407,168,"98,285",BVC,-0.0045324881141047295
553493,2017-12-11,0.029427,0.032598,0.024796000000000002,0.031462000000000004,135,"91,672",BVC,0.0691541781357256
553494,2017-12-10,0.029925,0.030442,0.025908999999999998,0.029641000000000004,45,"93,223",BVC,-0.00949039264828737
553495,2017-12-09,0.023429,0.03013,0.020221,0.029804,23,"72,987",BVC,0.272098681121687
553496,2017-12-08,0.03506,0.035615,0.020961,0.023452,439,"109,221",BVC,-0.331089560752995
553497,2017-12-07,0.026202999999999997,0.035211,0.025689,0.034977999999999995,67,"81,628",BVC,0.33488531847498404
553498,2017-12-06,0.025162,0.02939,0.022539,0.026248,862,"78,385",BVC,0.0431603211191479
553499,2017-12-05,0.023109,0.096592,0.022291,0.02592,"16,654","71,991",BVC,0.12164091912241999
553500,2017-12-04,0.022382,0.02628,0.021939,0.023063999999999998,59,"69,726",BVC,0.0304709141274239
553501,2017-12-03,0.028467000000000003,0.031642,0.021337000000000002,0.022308,11,"88,683",BVC,-0.216355780377279
553502,2017-12-02,0.023369,0.030494999999999998,0.023152000000000002,0.028439999999999997,9,"72,799",BVC,0.216996876203517
553503,2017-12-01,0.021111,0.024804,0.020447999999999997,0.023388,33,"65,767",BVC,0.10785846241296
