Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
192781,2018-01-10,0.288593,0.290104,0.241269,0.284141,"1,732,520","22,288,300",CANN,-0.0154265695980152
192782,2018-01-09,0.305149,0.321002,0.276175,0.28923899999999997,"1,888,320","23,567,100",CANN,-0.05213846350471401
192783,2018-01-08,0.342582,0.351786,0.258805,0.3067,"2,976,340","26,458,000",CANN,-0.104739887092725
192784,2018-01-07,0.293004,0.348614,0.280132,0.348159,"2,998,780","22,629,000",CANN,0.188239750993161
192785,2018-01-06,0.28231300000000004,0.303731,0.251558,0.294506,"2,705,220","21,803,400",CANN,0.0431896512027431
192786,2018-01-05,0.305925,0.307429,0.246863,0.27200100000000005,"5,518,910","23,626,900",CANN,-0.11088992400098101
192787,2018-01-04,0.297066,0.362739,0.283238,0.30812,"8,312,390","22,942,800",CANN,0.0372105861996998
192788,2018-01-03,0.24167800000000003,0.37611700000000003,0.207709,0.293389,"15,546,600","18,665,100",CANN,0.213966517432286
192789,2018-01-02,0.260291,0.29423,0.226319,0.241418,"8,513,360","20,102,600",CANN,-0.0725073091270924
192790,2018-01-01,0.300133,0.40321799999999997,0.250219,0.270082,"15,416,100","23,179,700",CANN,-0.100125610979133
192791,2017-12-31,0.24149099999999998,0.604913,0.226768,0.316288,"72,061,700","18,650,600",CANN,0.309729969232808
192792,2017-12-30,0.129774,0.271113,0.109106,0.237804,"14,570,500","10,022,600",CANN,0.8324471774007121
192793,2017-12-29,0.10583599999999999,0.137863,0.10550899999999999,0.13053,"2,004,090","8,173,860",CANN,0.233323254847122
192794,2017-12-28,0.10445499999999999,0.105433,0.088159,0.104771,"452,618","8,067,160",CANN,0.00302522617395047
192795,2017-12-27,0.09335,0.107628,0.090198,0.10354000000000001,"731,384","7,209,560",CANN,0.10915907873594001
192796,2017-12-26,0.098089,0.102233,0.083756,0.091942,"499,697","7,575,560",CANN,-0.0626675774041942
192797,2017-12-25,0.092915,0.10222300000000001,0.087872,0.098726,"700,329","7,175,980",CANN,0.0625410321261368
192798,2017-12-24,0.088768,0.091964,0.0748,0.091964,"907,142","6,855,650",CANN,0.0360039653929344
192799,2017-12-23,0.095439,0.105316,0.08308099999999999,0.087668,"1,369,080","7,370,860",CANN,-0.0814237366275841
192800,2017-12-22,0.082673,0.102726,0.06204400000000001,0.095082,"3,234,510","6,384,930",CANN,0.150097371572339
192801,2017-12-21,0.087431,0.099422,0.07949400000000001,0.082843,"1,019,070","6,752,380",CANN,-0.052475666525602996
192802,2017-12-20,0.07892300000000001,0.088491,0.06855399999999999,0.087521,"764,547","6,095,340",CANN,0.108941626648759
192803,2017-12-19,0.086107,0.09221900000000001,0.07620199999999999,0.079001,"832,784","6,650,180",CANN,-0.0825252302367984
192804,2017-12-18,0.0796,0.086806,0.077817,0.085475,"635,759","6,147,580",CANN,0.0738065326633165
192805,2017-12-17,0.076123,0.087752,0.073803,0.078612,"926,991","5,879,050",CANN,0.0326970823535594
192806,2017-12-16,0.067416,0.080788,0.06636,0.076668,"481,013","5,206,580",CANN,0.137237451050196
192807,2017-12-15,0.068378,0.070517,0.06377000000000001,0.067321,"505,152","5,280,950",CANN,-0.0154581883061802
192808,2017-12-14,0.070194,0.07646900000000001,0.06642100000000001,0.069257,"770,890","5,421,170",CANN,-0.0133487192637548
192809,2017-12-13,0.067194,0.071634,0.064087,0.070404,"397,196","5,189,480",CANN,0.0477721225109383
192810,2017-12-12,0.070474,0.074527,0.064553,0.066969,"639,892","5,442,820",CANN,-0.0497346539149189
192811,2017-12-11,0.06130599999999999,0.084958,0.060627,0.06991900000000001,"774,557","4,734,770",CANN,0.14049195837275302
192812,2017-12-10,0.066193,0.068299,0.052568,0.061752999999999995,"330,523","5,112,150",CANN,-0.0670765790944662
192813,2017-12-09,0.077873,0.087916,0.058565,0.066178,"1,348,370","6,014,190",CANN,-0.150180421969104
192814,2017-12-08,0.06262899999999999,0.08250700000000001,0.050704,0.077938,"1,347,380","4,836,910",CANN,0.244439476919638
192815,2017-12-07,0.053447,0.06655900000000001,0.050934,0.062482,"374,406","4,127,770",CANN,0.16904597077478603
192816,2017-12-06,0.057325,0.060447,0.050433,0.054075,"382,440","4,427,260",CANN,-0.056694286960314
192817,2017-12-05,0.061437,0.062104999999999994,0.05246699999999999,0.057337,"484,239","4,744,890",CANN,-0.0667350293796898
192818,2017-12-04,0.07133400000000001,0.086621,0.060998000000000004,0.061316999999999997,"1,821,290","5,509,220",CANN,-0.140423921271764
192819,2017-12-03,0.046327999999999994,0.090164,0.044841000000000006,0.07143,"6,502,420","3,577,940",CANN,0.541832153341392
192820,2017-12-02,0.036239,0.058516,0.035009,0.045745999999999995,"1,514,780","2,798,800",CANN,0.262341676094815
192821,2017-12-01,0.032105,0.037391,0.030427,0.03627,"86,308","2,479,480",CANN,0.129730571562062
192822,2017-11-30,0.029875,0.036989999999999995,0.02889,0.032264999999999995,"132,656","2,307,250",CANN,0.0800000000000001
192823,2017-11-29,0.035079,0.037677999999999996,0.028176999999999997,0.029423,"143,552","2,709,230",CANN,-0.16123606716268998
192824,2017-11-28,0.03395,0.035814,0.0337,0.035114,"78,385","2,621,960",CANN,0.0342857142857142
192825,2017-11-27,0.033026,0.034887,0.033026,0.033862,"72,278","2,550,650",CANN,0.0253133894507359
192826,2017-11-26,0.031925,0.034765,0.03125,0.033569999999999996,"55,707","2,465,590",CANN,0.0515270164447925
192827,2017-11-25,0.029617,0.03347,0.029033999999999997,0.031589,"73,585","2,287,350",CANN,0.066583381166222
192828,2017-11-24,0.029977999999999998,0.030574,0.028411000000000002,0.029352999999999997,"43,794","2,315,260",CANN,-0.0208486223230369
192829,2017-11-23,0.029789,0.031638,0.028319,0.030019,"75,177","2,300,650",CANN,0.00772097082815808
192830,2017-11-22,0.029051,0.03022,0.027991000000000002,0.029799000000000003,"75,740","2,243,640",CANN,0.025747822794396
192831,2017-11-21,0.03196,0.032748,0.028222000000000004,0.028417,"329,197","2,468,340",CANN,-0.110857321652065
192832,2017-11-20,0.025733,0.061465,0.025438,0.031954,"1,103,520","1,987,430",CANN,0.24175183616368104
192833,2017-11-19,0.025695,0.027366,0.024986,0.025983,"37,657","1,984,440",CANN,0.0112084063047285
192834,2017-11-18,0.025502,0.026059,0.024439,0.025743000000000002,"22,121","1,969,580",CANN,0.009450239196925659
192835,2017-11-17,0.026135000000000002,0.027519,0.024218,0.025601,"54,227","2,018,460",CANN,-0.0204323703845418
192836,2017-11-16,0.026601999999999997,0.028207,0.025695,0.026412,"43,598","2,054,500",CANN,-0.0071423201263062595
192837,2017-11-15,0.023743,0.027571,0.023743,0.026679,"65,907","1,833,710",CANN,0.12365749905235199
192838,2017-11-14,0.022958000000000003,0.024834000000000002,0.022494,0.024055,"35,599","1,773,110",CANN,0.0477829079188083
192839,2017-11-13,0.020497,0.024045,0.020234000000000002,0.023359,"24,281","1,583,020",CANN,0.139630189783871
192840,2017-11-12,0.024166999999999998,0.024166999999999998,0.019495,0.020409,"40,255","1,866,440",CANN,-0.155501303430298
192841,2017-11-11,0.025914999999999997,0.026801,0.023757,0.024184999999999998,"30,651","2,001,400",CANN,-0.066756704611229
192842,2017-11-10,0.029224,0.030223000000000003,0.024983,0.025546,"61,450","2,257,020",CANN,-0.125855461264714
192843,2017-11-09,0.027101,0.029207999999999998,0.025914999999999997,0.029207999999999998,"95,707","2,093,030",CANN,0.07774620862698799
192844,2017-11-08,0.026691000000000003,0.028569999999999998,0.026186,0.027719,"69,054","2,061,400",CANN,0.0385148551946349
192845,2017-11-07,0.026719999999999997,0.028707999999999997,0.025369,0.026775,"90,660","2,063,640",CANN,0.00205838323353292
192846,2017-11-06,0.025253,0.034794,0.023991,0.026763,"380,932","1,950,290",CANN,0.0597948758563338
192847,2017-11-05,0.025306,0.027228,0.0245,0.025412999999999998,"31,139","1,954,370",CANN,0.00422824626570785
192848,2017-11-04,0.024589,0.028492,0.023537,0.025574,"58,944","1,899,040",CANN,0.0400585627719712
192849,2017-11-03,0.023369,0.032165,0.02215,0.024581,"150,734","1,804,820",CANN,0.0518635799563523
192850,2017-11-02,0.02436,0.025641000000000004,0.021491,0.0234,"47,745","1,881,350",CANN,-0.0394088669950739
192851,2017-11-01,0.026281,0.027948,0.024008,0.024333,"88,660","2,029,700",CANN,-0.0741219892698146
192852,2017-10-31,0.024765000000000002,0.030187000000000002,0.024302,0.02694,"180,106","1,912,630",CANN,0.0878255602665051
192853,2017-10-30,0.024872,0.026132,0.023983,0.024849,"27,035","1,920,850",CANN,-0.0009247346413637311
192854,2017-10-29,0.024335,0.025983999999999997,0.023893,0.024894,"39,432","1,879,440",CANN,0.0229710293815492
192855,2017-10-28,0.02501,0.026173000000000002,0.024086,0.024369,"29,636","1,931,540",CANN,-0.0256297481007598
192856,2017-10-27,0.025013,0.026646,0.023772,0.024942,"39,567","1,931,740",CANN,-0.00283852396753695
192857,2017-10-26,0.02655,0.026751999999999998,0.024413,0.024832,"53,675","2,050,470",CANN,-0.0647080979284369
192858,2017-10-25,0.026906,0.029942,0.025602,0.026552999999999997,"112,041","2,077,950",CANN,-0.0131197502415818
