Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
357114,2018-01-10,0.341598,0.36591999999999997,0.276841,0.361011,"22,499","1,605,650",CCN,0.0568299580208315
357115,2018-01-09,0.365804,0.45613000000000004,0.32241,0.34115100000000004,"27,762","1,719,420",CCN,-0.0673940142808718
357116,2018-01-08,0.390025,0.390025,0.346103,0.366804,"16,379","1,833,270",CCN,-0.0595372091532594
357117,2018-01-07,0.344051,0.421784,0.318628,0.390571,"28,820","1,617,170",CCN,0.135212512098497
357118,2018-01-06,0.49286,0.500151,0.321714,0.344304,"22,739","2,316,630",CCN,-0.301416223674066
357119,2018-01-05,0.495795,0.520233,0.378494,0.492534,"18,810","2,330,410",CCN,-0.0065773152210086
357120,2018-01-04,0.5485680000000001,0.60974,0.44921700000000003,0.495655,"41,006","2,578,450",CCN,-0.096456592437036
357121,2018-01-03,0.371068,0.547179,0.318592,0.545759,"37,484","1,744,140",CCN,0.470778940787133
357122,2018-01-02,0.337057,0.375762,0.26816999999999996,0.372268,"27,059","1,584,280",CCN,0.104466010200055
357123,2018-01-01,0.475351,0.475351,0.292466,0.33713200000000004,"26,658","2,234,300",CCN,-0.29077250284526596
357124,2017-12-31,0.343403,0.488612,0.343403,0.473896,"25,923","1,614,070",CCN,0.37999959231573405
357125,2017-12-30,0.37511700000000003,0.39215500000000003,0.26742,0.364098,"83,022","1,763,130",CCN,-0.0293748350514639
357126,2017-12-29,0.162063,0.368267,0.160779,0.345298,"66,775","761,724",CCN,1.13064055336505
357127,2017-12-28,0.160359,0.17133299999999999,0.136603,0.160437,"2,123","753,714",CCN,0.000486408620657367
357128,2017-12-27,0.134932,0.177449,0.133871,0.160651,"6,712","634,202",CCN,0.190607120623722
357129,2017-12-26,0.102386,0.134793,0.102386,0.134793,"1,740","481,229",CCN,0.31651788330435804
357130,2017-12-25,0.096027,0.11055899999999999,0.091632,0.10246300000000001,288,"451,342",CCN,0.0670228164995261
357131,2017-12-24,0.10192999999999999,0.10973,0.072065,0.095075,"1,712","479,088",CCN,-0.0672520357107819
357132,2017-12-23,0.096075,0.130207,0.085201,0.101013,"1,030","451,569",CCN,0.0513973458235755
357133,2017-12-22,0.116106,0.117525,0.06757200000000001,0.095177,"5,892","545,716",CCN,-0.180257695554063
357134,2017-12-21,0.118698,0.144101,0.11005799999999999,0.11573,"1,841","557,898",CCN,-0.0250046336079799
357135,2017-12-20,0.114659,0.132473,0.107607,0.11839000000000001,854,"538,910",CCN,0.0325399663349584
357136,2017-12-19,0.11795599999999999,0.14082,0.099547,0.11466099999999999,690,"554,404",CCN,-0.0279341449353997
357137,2017-12-18,0.119091,0.119091,0.094144,0.117872,429,"559,739",CCN,-0.0102358700489541
357138,2017-12-17,0.121951,0.127968,0.10198600000000001,0.118789,"2,065","573,180",CCN,-0.025928446671204
357139,2017-12-16,0.10492699999999999,0.140395,0.096083,0.115951,810,"493,165",CCN,0.10506352035224499
357140,2017-12-15,0.08573,0.10630099999999999,0.085722,0.10478299999999999,834,"402,940",CCN,0.222244255219876
357141,2017-12-14,0.086012,0.105216,0.082254,0.08561,"1,141","404,264",CCN,-0.00467376645119285
357142,2017-12-13,0.118025,0.13384000000000001,0.085612,0.08623099999999999,"1,345","554,728",CCN,-0.26938360516839704
357143,2017-12-12,0.11694600000000001,0.129348,0.093452,0.09403099999999999,"1,246","549,657",CCN,-0.195945137071811
357144,2017-12-11,0.113285,0.145036,0.090187,0.118645,"3,850","532,448",CCN,0.0473142958026217
357145,2017-12-10,0.118976,0.13946,0.10465,0.11410899999999999,784,"559,196",CCN,-0.0409074098977945
357146,2017-12-09,0.13056900000000002,0.152112,0.10691099999999999,0.118502,"5,039","613,684",CCN,-0.0924185679602356
357147,2017-12-08,0.131347,0.15098399999999998,0.10955899999999999,0.1306,484,"617,336",CCN,-0.00568722544100739
357148,2017-12-07,0.127397,0.150525,0.111132,0.131047,"2,543","598,745",CCN,0.0286505961678845
357149,2017-12-06,0.137469,0.149065,0.09464199999999999,0.127557,"2,708","646,083",CCN,-0.072103528795583
357150,2017-12-05,0.132516,0.176448,0.093422,0.137767,"8,366","622,802",CCN,0.0396254037248333
357151,2017-12-04,0.12929000000000002,0.23755900000000002,0.11997100000000001,0.123545,"11,484","607,641",CCN,-0.0444349911052671
357152,2017-12-03,0.054703999999999996,0.175511,0.045681,0.128825,"9,884","257,098",CCN,1.35494662181925
357153,2017-12-02,0.046185000000000004,0.057162,0.045204,0.054652,"1,793","217,063",CCN,0.18332792032045003
357154,2017-12-01,0.042043000000000004,0.051051,0.041384,0.046258,45,"197,596",CCN,0.100254501343862
357155,2017-11-30,0.040895,0.048412000000000004,0.038304000000000005,0.042253,147,"192,198",CCN,0.0332069935199902
357156,2017-11-29,0.038600999999999996,0.049151,0.037188,0.040271,164,"181,414",CCN,0.0432631278982409
357157,2017-11-28,0.048581,0.049471,0.038599,0.038629000000000004,168,"228,311",CCN,-0.204853749408205
357158,2017-11-27,0.044149,0.057960000000000005,0.044149,0.048456,264,"207,480",CCN,0.0975560035334888
357159,2017-11-26,0.040583,0.055775,0.040537000000000004,0.04414,168,"190,723",CCN,0.0876475371460956
357160,2017-11-25,0.049279,0.049356,0.036873,0.040597,133,"231,588",CCN,-0.176180523143733
357161,2017-11-24,0.035004,0.049602999999999994,0.030527999999999996,0.049388,594,"164,502",CCN,0.41092446577534003
357162,2017-11-23,0.039343,0.039673,0.034916,0.035548,21,"184,893",CCN,-0.0964593447373103
357163,2017-11-22,0.035046,0.040167,0.029653,0.039477,236,"164,701",CCN,0.12643382982366
357164,2017-11-21,0.037489,0.037663999999999996,0.025325,0.034964999999999996,309,"176,182",CCN,-0.0673264157486196
357165,2017-11-20,0.037188,0.037729,0.034187,0.037509,15,"174,767",CCN,0.00863181671506943
357166,2017-11-19,0.035597000000000004,0.037926999999999995,0.035414,0.037387000000000004,13,"167,290",CCN,0.0502851363878979
357167,2017-11-18,0.039663,0.040266,0.032369,0.035663,265,"186,401",CCN,-0.100849658371782
357168,2017-11-17,0.036815,0.040124,0.03532,0.039816000000000004,4,"173,014",CCN,0.0815156865408121
357169,2017-11-16,0.037752,0.039156,0.036145,0.036887,73,"177,419",CCN,-0.0229126933672388
357170,2017-11-15,0.03329,0.043064,0.03246,0.037558,504,"156,447",CCN,0.12820666866927
357171,2017-11-14,0.031139,0.040107,0.030920999999999997,0.033267000000000005,278,"146,340",CCN,0.0683387392016442
357172,2017-11-13,0.027308,0.038275,0.027308,0.031077999999999998,257,"128,337",CCN,0.138054782481324
357173,2017-11-12,0.033002,0.033002,0.026402,0.027252,60,"155,093",CCN,-0.174231864735471
357174,2017-11-11,0.032639999999999995,0.035206,0.032395,0.032997000000000005,59,"153,390",CCN,0.0109374999999999
357175,2017-11-10,0.03683,0.037979,0.032769,0.032769,3,"173,083",CCN,-0.110263372250882
357176,2017-11-09,0.037569,0.041454000000000005,0.034609,0.036709,138,"176,553",CCN,-0.0228912135004924
357177,2017-11-08,0.037715,0.041567,0.035573,0.037605,72,"177,242",CCN,-0.00291661142781384
357178,2017-11-07,0.037022,0.038235000000000005,0.037022,0.037834,101,"173,981",CCN,0.0219329047593323
357179,2017-11-06,0.0468,0.055217999999999996,0.036946,0.037081,113,"219,933",CCN,-0.20767094017094
357180,2017-11-05,0.049767,0.051682000000000006,0.032803,0.046696,69,"233,876",CCN,-0.0617075572166294
357181,2017-11-04,0.041423,0.050931,0.041288,0.049861,140,"194,664",CCN,0.20370325664485897
357182,2017-11-03,0.0453,0.050697000000000006,0.041107,0.041531,156,"212,884",CCN,-0.0832008830022075
357183,2017-11-02,0.032566000000000005,0.048257,0.032566000000000005,0.045359,24,"153,043",CCN,0.39283301602898707
357184,2017-11-01,0.034483,0.036366,0.03046,0.03253,274,"162,050",CCN,-0.0566366035437751
357185,2017-10-31,0.051465,0.051664999999999996,0.029053,0.034509,894,"241,856",CCN,-0.329466627805305
357186,2017-10-30,0.036326,0.051526999999999996,0.032068,0.051526999999999996,40,"170,710",CCN,0.418460606727964
357187,2017-10-29,0.040005,0.040856,0.032567,0.036538,77,"188,000",CCN,-0.0866641669791276
357188,2017-10-28,0.035055,0.043682,0.034912,0.040060000000000005,"4,134","164,735",CCN,0.14277563828269801
357189,2017-10-27,0.041444999999999996,0.041918000000000004,0.034714,0.034963,6,"194,767",CCN,-0.156400048256726
357190,2017-10-26,0.043523,0.045409,0.032962,0.041438,"2,750","204,533",CCN,-0.0479057050295245
357191,2017-10-25,0.03637,0.046339,0.033502,0.043528,"3,172","170,916",CCN,0.19681055815232298
357192,2017-10-24,0.033732,0.12196199999999999,0.032089,0.036351999999999995,91,"158,518",CCN,0.0776710541918654
357193,2017-10-23,0.034931,0.056916999999999995,0.027320999999999998,0.033807,"1,026","164,154",CCN,-0.0321777217943947
357194,2017-10-22,0.029679,0.036558999999999994,0.028556,0.035002,57,"139,472",CCN,0.17935240405674
357195,2017-10-21,0.034075,0.038835,0.029669,0.029669,109,"160,130",CCN,-0.12930300807043302
357196,2017-10-20,0.037407,0.037616000000000004,0.028870999999999997,0.034138,445,"175,789",CCN,-0.0873900606838292
357197,2017-10-19,0.039079,0.039079,0.033226,0.037413999999999996,214,"183,644",CCN,-0.0426060032242381
357198,2017-10-18,0.027946,0.052801999999999995,0.022183,0.05255,"4,369","131,330",CCN,0.8804122235740359
357199,2017-10-17,0.024908,0.028007999999999998,0.021036000000000003,0.027944999999999998,"2,711","117,050",CCN,0.121928697607195
357200,2017-10-16,0.028402999999999998,0.028572000000000004,0.022608,0.024904,"1,742","133,474",CCN,-0.123191212195895
357201,2017-10-15,0.029591000000000003,0.029773,0.027327999999999998,0.028399,5,"139,057",CCN,-0.040282518333277
357202,2017-10-14,0.019791999999999997,0.029582,0.019632,0.029549000000000002,65,"93,009",CCN,0.49297696038803496
357203,2017-10-13,0.037814999999999994,0.040874,0.016303,0.019781,73,"177,705",CCN,-0.476900700780114
