Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
571273,2016-05-20,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0,"4,567",CFC,0.0
571274,2016-05-19,3.2e-05,3.2e-05,3.1e-05,3.1e-05,0,"4,732",CFC,-0.0312499999999999
571275,2016-05-14,2.3e-05,2.3e-05,2.3e-05,2.3e-05,14,"3,388",CFC,0.0
571276,2016-05-13,2.7000000000000002e-05,2.7000000000000002e-05,2.3e-05,2.3e-05,14,"4,057",CFC,-0.148148148148148
571277,2016-05-12,3.6e-05,3.6e-05,2.7000000000000002e-05,2.7000000000000002e-05,0,"5,386",CFC,-0.25
571278,2016-05-11,2.3e-05,3.6e-05,2.3e-05,3.6e-05,14,"3,352",CFC,0.565217391304348
571279,2016-05-10,2.3e-05,2.3e-05,2.2e-05,2.3e-05,2,"3,422",CFC,0.0
571280,2016-05-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0,"4,650",CFC,0.0
571281,2016-05-04,2.3e-05,3.1e-05,2.2e-05,3.1e-05,0,"3,348",CFC,0.34782608695652195
571282,2016-05-03,2.2e-05,2.3e-05,2.2e-05,2.3e-05,25,"3,332",CFC,0.0454545454545455
571283,2016-04-29,3.1e-05,3.2e-05,3.1e-05,3.1e-05,5,"4,673",CFC,0.0
571284,2016-04-28,3.1e-05,3.1e-05,3.1e-05,3.1e-05,5,"4,643",CFC,0.0
571285,2016-04-26,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0,"6,174",CFC,0.0
571286,2016-04-25,4.1e-05,4.2e-05,4.1e-05,4.2e-05,1,"6,119",CFC,0.024390243902439
571287,2016-04-24,4.1e-05,4.1e-05,4.1e-05,4.1e-05,0,"6,025",CFC,0.0
571288,2016-04-23,3.6e-05,4.1e-05,3.6e-05,4.1e-05,1,"5,302",CFC,0.138888888888889
571289,2016-04-22,4e-05,4e-05,3.1e-05,3.6e-05,0,"6,014",CFC,-0.1
571290,2016-04-21,4.4e-05,4.4e-05,4e-05,4e-05,0,"6,563",CFC,-0.0909090909090908
571291,2016-04-20,2.2e-05,4.4e-05,2.2e-05,4.4e-05,2,"3,238",CFC,1.0
571292,2016-04-19,2.9999999999999997e-05,3.4e-05,2.1e-05,2.2e-05,0,"4,461",CFC,-0.266666666666667
571293,2016-04-18,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,68,"4,454",CFC,0.0
571294,2015-03-17,3e-06,3e-06,3e-06,3e-06,1,424,CFC,0.0
571295,2015-03-16,3e-06,3e-06,3e-06,3e-06,1,418,CFC,0.0
571296,2015-03-15,8e-06,9e-06,3e-06,3e-06,0,"1,234",CFC,-0.625
571297,2015-03-14,9e-06,9e-06,8e-06,8e-06,0,"1,249",CFC,-0.111111111111111
571298,2015-03-13,3e-06,9e-06,3e-06,9e-06,0,429,CFC,2.0
571299,2015-12-20,6e-06,6e-06,3e-06,3e-06,0,865,CFC,-0.5
571300,2015-11-20,6e-06,6e-06,6e-06,6e-06,0,851,CFC,0.0
571301,2015-10-20,9e-06,9e-06,6e-06,6e-06,0,"1,267",CFC,-0.33333333333333304
571302,2015-09-20,8e-06,9e-06,8e-06,9e-06,0,"1,200",CFC,0.125
571303,2015-08-20,8e-06,8e-06,5e-06,8e-06,0,"1,209",CFC,0.0
571304,2015-07-20,5e-06,8e-06,5e-06,8e-06,0,795,CFC,0.6
