Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
306187,2018-01-10,0.008849,0.011165999999999999,0.006422,0.008229,"357,833","3,597,600",CJ,-0.0700644140580856
306188,2018-01-09,0.006214,0.012006000000000001,0.005721,0.008587000000000001,"627,456","2,526,300",CJ,0.38187962664950104
306189,2018-01-08,0.005515,0.00685,0.004517,0.006231,"304,942","2,242,170",CJ,0.129827742520399
306190,2018-01-07,0.003611,0.006886,0.0036009999999999996,0.005522999999999999,"309,392","1,467,970",CJ,0.529493215175852
306191,2018-01-06,0.00361,0.0041,0.003016,0.0037770000000000004,"188,778","1,467,740",CJ,0.0462603878116344
306192,2018-01-05,0.001661,0.004591,0.0015400000000000001,0.0036079999999999997,"273,290","675,327",CJ,1.1721854304635801
306193,2018-01-04,0.0018170000000000003,0.001866,0.001464,0.001663,"17,227","738,547",CJ,-0.0847550908090259
306194,2018-01-03,0.001772,0.001956,0.001519,0.001807,"20,766","720,480",CJ,0.0197516930022574
306195,2018-01-02,0.00134,0.001923,0.00126,0.001778,"43,309","544,777",CJ,0.32686567164179103
306196,2018-01-01,0.0013130000000000001,0.0015220000000000001,0.001192,0.00134,"9,166","533,914",CJ,0.0205635948210207
306197,2017-12-31,0.001288,0.001463,0.001191,0.00131,"7,359","523,635",CJ,0.0170807453416148
306198,2017-12-30,0.001594,0.0016989999999999998,0.001053,0.001301,"16,122","647,990",CJ,-0.183814303638645
306199,2017-12-29,0.001478,0.0017460000000000002,0.00115,0.001598,"16,370","600,894",CJ,0.0811907983761841
306200,2017-12-28,0.00155,0.001691,0.001227,0.001463,"20,108","630,279",CJ,-0.0561290322580644
306201,2017-12-27,0.0018039999999999998,0.002359,0.001526,0.001553,"42,038","733,394",CJ,-0.139135254988914
306202,2017-12-26,0.001452,0.002002,0.001247,0.0017850000000000001,"30,156","590,427",CJ,0.229338842975207
306203,2017-12-25,0.002293,0.0023350000000000003,0.00137,0.001454,"27,244","932,432",CJ,-0.36589620584387295
306204,2017-12-24,0.002856,0.0029460000000000003,0.0016829999999999998,0.00227,"154,747","1,161,190",CJ,-0.205182072829132
306205,2017-12-23,0.001174,0.00314,0.001078,0.002927,"545,915","477,383",CJ,1.49318568994889
306206,2017-12-22,0.00064,0.00134,0.000601,0.001163,"79,673","260,333",CJ,0.8171875
306207,2017-12-21,0.0005009999999999999,0.000731,0.0005009999999999999,0.0006389999999999999,"7,299","203,871",CJ,0.27544910179640697
306208,2017-12-20,0.000674,0.0007059999999999999,0.000469,0.0005,"4,530","273,944",CJ,-0.258160237388724
306209,2017-12-19,0.000339,0.000983,0.000307,0.000674,"20,804","137,821",CJ,0.9882005899705021
306210,2017-12-18,0.00044,0.000532,0.000277,0.000338,551,"178,866",CJ,-0.23181818181818203
306211,2017-12-17,0.000449,0.00059,0.00043,0.00044,709,"182,502",CJ,-0.0200445434298441
306212,2017-12-16,0.000379,0.000559,0.00037400000000000004,0.00044400000000000006,251,"153,937",CJ,0.171503957783641
306213,2017-12-15,0.00045,0.000544,0.00037200000000000004,0.00037799999999999997,784,"183,025",CJ,-0.16
306214,2017-12-14,0.000453,0.000516,0.00035,0.00045,584,"184,155",CJ,-0.00662251655629143
306215,2017-12-13,0.0005009999999999999,0.000521,0.00045099999999999996,0.000454,"2,182","203,889",CJ,-0.0938123752495011
306216,2017-12-12,0.000337,0.000523,0.000331,0.0005009999999999999,330,"136,911",CJ,0.486646884272997
306217,2017-12-11,0.000377,0.000426,0.000328,0.000336,739,"153,099",CJ,-0.10875331564986698
306218,2017-12-10,0.00031299999999999996,0.00046100000000000004,0.000271,0.000379,741,"127,162",CJ,0.210862619808307
306219,2017-12-09,0.00032599999999999996,0.00033,0.000168,0.000312,"2,073","132,373",CJ,-0.0429447852760737
306220,2017-12-08,0.00034700000000000003,0.000352,0.00028199999999999997,0.00032599999999999996,"2,648","141,120",CJ,-0.0605187319884725
306221,2017-12-07,0.000348,0.00048499999999999997,0.000325,0.000346,"1,460","141,321",CJ,-0.00574712643678159
306222,2017-12-06,0.000331,0.000349,0.000248,0.000348,"4,258","134,377",CJ,0.0513595166163141
306223,2017-12-05,0.000399,0.000462,0.000309,0.000331,"2,812","162,349",CJ,-0.17042606516290698
306224,2017-12-04,0.000337,0.000399,0.000285,0.000399,"1,025","137,206",CJ,0.18397626112759602
306225,2017-12-03,0.00037,0.000396,0.000252,0.000336,"1,595","150,440",CJ,-0.0918918918918919
306226,2017-12-02,0.000356,0.00041500000000000006,0.00032,0.00036899999999999997,385,"144,584",CJ,0.0365168539325844
306227,2017-12-01,0.00031299999999999996,0.00045999999999999996,0.00018600000000000002,0.000356,"1,343","127,283",CJ,0.137380191693291
306228,2017-11-30,0.00031299999999999996,0.000337,0.000258,0.000315,807,"127,375",CJ,0.00638977635782746
306229,2017-11-29,0.000376,0.00042199999999999996,0.000275,0.000309,"1,934","152,752",CJ,-0.17819148936170198
306230,2017-11-28,0.000363,0.00046399999999999995,0.000363,0.000376,"2,304","147,684",CJ,0.0358126721763085
306231,2017-11-27,0.000442,0.000446,0.00031600000000000004,0.000362,"1,549","179,649",CJ,-0.18099547511312197
306232,2017-11-26,0.00035800000000000003,0.00045599999999999997,0.000357,0.000453,761,"145,376",CJ,0.26536312849162
306233,2017-11-25,0.00031600000000000004,0.00035800000000000003,0.000283,0.00035800000000000003,418,"128,319",CJ,0.132911392405063
306234,2017-11-24,0.000294,0.000334,0.000267,0.00031600000000000004,419,"119,475",CJ,0.0748299319727891
306235,2017-11-23,0.000325,0.000327,0.000183,0.000296,"1,335","132,068",CJ,-0.0892307692307692
306236,2017-11-22,0.000244,0.000328,0.00024300000000000002,0.000325,"1,896","99,121",CJ,0.33196721311475397
306237,2017-11-21,0.00033,0.000331,0.00024300000000000002,0.00024300000000000002,"1,948","134,057",CJ,-0.26363636363636395
306238,2017-11-20,0.000322,0.000346,0.000268,0.00033,855,"130,945",CJ,0.0248447204968943
306239,2017-11-19,0.000328,0.000392,0.000308,0.000322,100,"133,495",CJ,-0.0182926829268292
306240,2017-11-18,0.00037400000000000004,0.00037400000000000004,0.000306,0.00032900000000000003,427,"151,988",CJ,-0.12032085561497301
306241,2017-11-17,0.00032,0.00037999999999999997,0.00031,0.000375,195,"130,020",CJ,0.171875
306242,2017-11-16,0.000352,0.000373,0.000296,0.00032,"1,066","143,194",CJ,-0.0909090909090908
306243,2017-11-15,0.000306,0.000354,0.000271,0.00035,"1,832","124,488",CJ,0.14379084967320302
306244,2017-11-14,0.00037200000000000004,0.000381,0.000258,0.000306,530,"151,294",CJ,-0.17741935483871
306245,2017-11-13,0.00023500000000000002,0.000373,0.00023500000000000002,0.00037,611,"95,692",CJ,0.5744680851063829
306246,2017-11-12,0.000324,0.000337,0.000227,0.00023500000000000002,996,"131,661",CJ,-0.274691358024691
306247,2017-11-11,0.000328,0.000389,0.00031299999999999996,0.000324,"2,305","133,195",CJ,-0.0121951219512195
306248,2017-11-10,0.000452,0.000496,0.00032599999999999996,0.00032900000000000003,"3,346","183,827",CJ,-0.27212389380531
306249,2017-11-09,0.000535,0.0006129999999999999,0.000365,0.00045,"18,116","217,337",CJ,-0.15887850467289702
306250,2017-11-08,0.00028399999999999996,0.000814,0.000221,0.000535,"296,202","115,619",CJ,0.8838028169014079
306251,2017-11-07,0.000151,0.000288,0.00014099999999999998,0.000215,"86,461","61,413",CJ,0.423841059602649
306252,2017-11-06,0.000172,0.000185,0.000103,0.000151,251,"70,042",CJ,-0.12209302325581402
306253,2017-11-05,0.000198,0.00021600000000000002,0.00015,0.000172,60,"80,671",CJ,-0.131313131313131
306254,2017-11-04,0.00021600000000000002,0.000225,0.00018600000000000002,0.000199,103,"87,721",CJ,-0.0787037037037036
306255,2017-11-03,0.000173,0.000259,0.000152,0.00021600000000000002,67,"70,300",CJ,0.24855491329479798
306256,2017-11-02,0.000198,0.000258,0.00014,0.000173,520,"80,639",CJ,-0.126262626262626
306257,2017-11-01,0.000175,0.00020299999999999997,0.000172,0.000198,359,"70,978",CJ,0.131428571428571
306258,2017-10-31,0.000185,0.000246,0.000174,0.000175,957,"75,211",CJ,-0.0540540540540541
306259,2017-10-30,0.00025,0.000251,0.000182,0.00018600000000000002,"2,101","101,743",CJ,-0.256
306260,2017-10-29,0.00031,0.00031600000000000004,0.00018700000000000002,0.000252,245,"126,231",CJ,-0.187096774193548
306261,2017-10-28,0.000231,0.00031099999999999997,0.00022799999999999999,0.00031099999999999997,88,"93,726",CJ,0.346320346320346
306262,2017-10-27,0.00027,0.000273,0.00022,0.00022999999999999998,"1,529","109,971",CJ,-0.148148148148148
306263,2017-10-26,0.000278,0.00032,0.00025,0.000271,94,"113,071",CJ,-0.0251798561151079
306264,2017-10-25,0.000271,0.00032900000000000003,0.00022799999999999999,0.000278,570,"109,995",CJ,0.0258302583025831
306265,2017-10-24,0.000285,0.000338,0.000269,0.00027,"1,370","116,013",CJ,-0.0526315789473684
306266,2017-10-23,0.000359,0.000363,0.000263,0.000286,"1,386","145,860",CJ,-0.203342618384401
306267,2017-10-22,0.000376,0.000379,0.00033999999999999997,0.000359,427,"152,822",CJ,-0.0452127659574468
306268,2017-10-21,0.000354,0.000383,0.000349,0.000376,483,"143,849",CJ,0.0621468926553672
306269,2017-10-20,0.000342,0.000421,0.00033,0.00035499999999999996,111,"138,900",CJ,0.0380116959064327
306270,2017-10-19,0.00047699999999999994,0.00047699999999999994,0.000332,0.000342,"1,625","194,118",CJ,-0.283018867924528
306271,2017-10-18,0.000337,0.00048300000000000003,0.000308,0.00047699999999999994,"1,472","136,956",CJ,0.41543026706231495
306272,2017-10-17,0.00037,0.000383,0.000335,0.000337,"1,149","150,370",CJ,-0.0891891891891892
306273,2017-10-16,0.000398,0.000412,0.00036,0.00037,"1,506","161,882",CJ,-0.0703517587939699
306274,2017-10-15,0.000393,0.00041600000000000003,0.000335,0.000398,"1,969","159,810",CJ,0.0127226463104326
306275,2017-10-14,0.0006490000000000001,0.000669,0.00036899999999999997,0.000392,"3,796","264,039",CJ,-0.395993836671803
306276,2017-10-13,0.00033999999999999997,0.0006490000000000001,0.000335,0.0006490000000000001,"1,145","138,419",CJ,0.908823529411764
306277,2017-10-12,0.00029,0.000342,0.00028900000000000003,0.000339,545,"117,907",CJ,0.16896551724137898
306278,2017-10-11,0.00028700000000000004,0.000356,0.000285,0.00029,735,"116,852",CJ,0.0104529616724739
306279,2017-10-10,0.000335,0.00033999999999999997,0.000273,0.00028700000000000004,323,"136,263",CJ,-0.143283582089552
306280,2017-10-09,0.000327,0.000348,0.00027,0.000335,362,"132,908",CJ,0.0244648318042814
306281,2017-10-08,0.000322,0.000434,0.000293,0.000327,"1,497","130,843",CJ,0.0155279503105589
306282,2017-10-07,0.000265,0.000376,0.000264,0.000323,"1,089","107,658",CJ,0.218867924528302
306283,2017-10-06,0.000298,0.000304,0.000261,0.000265,276,"120,995",CJ,-0.11073825503355698
306284,2017-10-05,0.00043099999999999996,0.00043499999999999995,0.000277,0.000298,308,"175,152",CJ,-0.308584686774942
306285,2017-10-04,0.000267,0.000465,0.000265,0.000433,237,"108,514",CJ,0.621722846441948
306286,2017-10-03,0.000309,0.00031,0.000265,0.000266,44,"125,470",CJ,-0.13915857605178
306287,2017-10-02,0.000293,0.00035,0.000269,0.000309,"6,405","119,171",CJ,0.054607508532422994
