Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
501414,2018-01-10,0.01183,0.045669,0.011706,0.023547,"5,278","8,804",CONX,0.9904480135249358
501415,2018-01-09,0.016415,0.026262999999999998,0.010221,0.011814,703,"12,217",CONX,-0.28029241547365197
501416,2018-01-08,0.023613,0.023702,0.008546,0.01646,394,"17,575",CONX,-0.302926354126964
501417,2018-01-07,0.015482,0.02454,0.013571000000000001,0.023646,414,"11,523",CONX,0.527322051414546
501418,2018-01-06,0.013927000000000002,0.025547,0.013418000000000001,0.015493999999999999,226,"10,365",CONX,0.11251525813168699
501419,2018-01-05,0.019735,0.025230000000000002,0.012998,0.013916,672,"14,689",CONX,-0.29485685330630895
501420,2018-01-04,0.009734999999999999,0.019738,0.009512999999999999,0.019732,590,"7,245",CONX,1.02691319979456
501421,2018-01-03,0.010979000000000001,0.013322,0.008322,0.009682,566,"8,171",CONX,-0.11813462063940199
501422,2018-01-02,0.008641,0.011248000000000001,0.008172,0.011018,79,"6,431",CONX,0.27508390232612
501423,2018-01-01,0.006851,0.009285,0.006714,0.008642,651,"5,099",CONX,0.26142169026419504
501424,2017-12-31,0.00534,0.006979000000000001,0.005229999999999999,0.006823999999999999,55,"3,974",CONX,0.277902621722846
501425,2017-12-30,0.006233,0.006255,0.0053170000000000005,0.005398,162,"4,639",CONX,-0.133964383122092
501426,2017-12-29,0.005208,0.0066549999999999995,0.004944,0.006249,282,"3,876",CONX,0.199884792626728
501427,2017-12-28,0.007913,0.010102,0.004964,0.005155,383,"5,889",CONX,-0.34854037659547604
501428,2017-12-27,0.007285,0.012584999999999999,0.007065999999999999,0.00793,43,"5,422",CONX,0.0885380919698009
501429,2017-12-26,0.009193999999999999,0.013234000000000001,0.005756,0.00728,380,"6,842",CONX,-0.208179247335219
501430,2017-12-25,0.005353,0.009203,0.004987,0.009203,323,"3,984",CONX,0.719222865682795
501431,2017-12-24,0.005258,0.007909000000000001,0.004776,0.005298,"1,476","3,914",CONX,0.0076074553062001
501432,2017-12-23,0.00524,0.01247,0.005177,0.005201,504,"3,900",CONX,-0.00744274809160305
501433,2017-12-22,0.009114,0.012587000000000001,0.005147,0.0051909999999999994,"1,226","6,783",CONX,-0.43043669080535396
501434,2017-12-21,0.007088,0.010255,0.0057929999999999995,0.009082,230,"5,275",CONX,0.28132054176072196
501435,2017-12-20,0.006695,0.009312,0.006095000000000001,0.007069,381,"4,983",CONX,0.0558625840179237
501436,2017-12-19,0.007079,0.008105,0.00648,0.006702,157,"5,269",CONX,-0.0532561096200029
501437,2017-12-18,0.006887000000000001,0.007073,0.006579000000000001,0.007073,76,"5,126",CONX,0.02700740525628
501438,2017-12-17,0.01636,0.01636,0.006793,0.006867,259,"12,177",CONX,-0.5802567237163809
501439,2017-12-16,0.015706,0.016488,0.007840999999999999,0.016358,32,"11,689",CONX,0.0415127976569464
501440,2017-12-15,0.007298999999999999,0.015927,0.007297,0.015684,178,"5,432",CONX,1.14878750513769
501441,2017-12-14,0.005738,0.008383,0.005738,0.007287999999999999,"1,143","4,270",CONX,0.270128964796096
501442,2017-12-13,0.008638,0.008753,0.008232999999999999,0.008602,2,"6,429",CONX,-0.00416763139615647
501443,2017-12-12,0.013637999999999999,0.013831,0.008535,0.008631,37,"10,150",CONX,-0.367135943686758
501444,2017-12-11,0.008386,0.015434,0.008348999999999999,0.013594,158,"6,241",CONX,0.621035058430718
501445,2017-12-10,0.007988,0.008675,0.004479,0.008447,4,"5,945",CONX,0.0574611917876814
501446,2017-12-09,0.009595999999999999,0.009738,0.007195,0.007956,208,"7,142",CONX,-0.170904543559817
501447,2017-12-08,0.013364,0.013563,0.008898999999999999,0.009604999999999999,2,"9,946",CONX,-0.28127806046094
501448,2017-12-07,0.009478,0.013332,0.009108,0.013332,65,"7,054",CONX,0.40662587043680104
501449,2017-12-06,0.008191,0.009507,0.007993,0.009493999999999999,283,"6,096",CONX,0.15907703577096802
501450,2017-12-05,0.007227,0.008268000000000001,0.007148000000000001,0.008209000000000001,165,"5,379",CONX,0.135879341358793
501451,2017-12-04,0.011916,0.0121,0.006751000000000001,0.007213,10,"8,869",CONX,-0.3946794226250421
501452,2017-12-03,0.00634,0.012532999999999999,0.006298,0.011877,195,"4,719",CONX,0.8733438485804421
501453,2017-12-02,0.006422,0.006422,0.006128,0.006334,163,"4,780",CONX,-0.0137028962939893
501454,2017-12-01,0.008294,0.008294,0.005582,0.0064269999999999996,102,"6,173",CONX,-0.22510248372317299
501455,2017-11-30,0.006094,0.008413,0.005309,0.008336,102,"4,535",CONX,0.367902855267476
501456,2017-11-29,0.005659,0.006520000000000001,0.005183,0.006002,1,"4,212",CONX,0.0606114154444249
501457,2017-11-28,0.010048,0.010232999999999999,0.005659,0.005665,261,"7,478",CONX,-0.43620621019108297
501458,2017-11-27,0.010622,0.011655,0.009603,0.010022,104,"7,906",CONX,-0.0564865373752589
501459,2017-11-26,0.009970999999999999,0.010848,0.00996,0.010620000000000001,224,"7,421",CONX,0.0650887573964496
501460,2017-11-25,0.009359000000000001,0.009974,0.009307,0.009974,265,"6,966",CONX,0.0657121487338392
501461,2017-11-24,0.010368,0.010368,0.008988,0.009378000000000001,454,"7,716",CONX,-0.0954861111111112
501462,2017-11-23,0.009541,0.010721,0.009399,0.010381999999999999,35,"7,101",CONX,0.0881458966565351
501463,2017-11-22,0.009412,0.009756,0.009373000000000001,0.009544,400,"7,005",CONX,0.0140246493837654
501464,2017-11-21,0.009559999999999999,0.009709,0.009044,0.00939,176,"7,115",CONX,-0.0177824267782427
501465,2017-11-20,0.010135,0.012957,0.009558,0.009558,566,"7,543",CONX,-0.0569314257523433
501466,2017-11-19,0.010123,0.01379,0.008773999999999999,0.010139,943,"7,534",CONX,0.00158055912278973
501467,2017-11-18,0.008454999999999999,0.01022,0.008197,0.010142,115,"6,293",CONX,0.199526907155529
501468,2017-11-17,0.007217,0.008786,0.006886,0.008487999999999999,10,"5,371",CONX,0.17611195787723397
501469,2017-11-16,0.009786,0.009786,0.006686,0.007229000000000001,57,"7,283",CONX,-0.261291641119967
501470,2017-11-15,0.00886,0.009814,0.00886,0.009734999999999999,22,"6,594",CONX,0.0987584650112868
501471,2017-11-14,0.008751,0.009006,0.0077930000000000004,0.008853,3,"6,513",CONX,0.011655810764484001
501472,2017-11-13,0.008043000000000002,0.009013,0.005678,0.008733,16,"5,986",CONX,0.0857888847444983
501473,2017-11-12,0.008778,0.008843,0.005228,0.008031,24,"6,533",CONX,-0.0850991114149008
501474,2017-11-11,0.005326,0.010401,0.004014,0.008785,690,"3,964",CONX,0.649455501314307
501475,2017-11-10,0.003992,0.008329000000000001,0.0037799999999999995,0.005345,136,"2,971",CONX,0.33892785571142303
501476,2017-11-09,0.0067209999999999995,0.006993999999999999,0.003972,0.00398,239,"5,002",CONX,-0.407826216336855
