Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
289115,2018-01-10,0.40959,0.413691,0.336527,0.348041,"2,771","5,570,580",DAR,-0.150269781977099
289116,2018-01-09,0.435492,0.476992,0.337994,0.409007,"16,552","5,922,860",DAR,-0.0608162721703269
289117,2018-01-08,0.36296999999999996,0.443359,0.352124,0.435676,"1,985","4,936,530",DAR,0.20030856544618
289118,2018-01-07,0.496767,0.5045689999999999,0.362479,0.36304699999999995,"4,940","6,756,220",DAR,-0.26918052125040504
289119,2018-01-06,0.412979,0.497834,0.38055700000000003,0.49751000000000006,"58,056","5,616,670",DAR,0.204685952554488
289120,2018-01-05,0.484705,0.5279149999999999,0.402925,0.41263199999999994,"8,616","6,592,180",DAR,-0.14869456679836202
289121,2018-01-04,0.380722,0.505396,0.373782,0.484609,"237,241","5,177,970",DAR,0.272868392160159
289122,2018-01-03,0.49513199999999996,0.500564,0.37141599999999997,0.378648,"13,531","6,733,990",DAR,-0.23525847652747198
289123,2018-01-02,0.40209,0.503468,0.343804,0.49681000000000003,"7,210","5,468,580",DAR,0.23556915118505803
289124,2018-01-01,0.33121100000000003,0.41636000000000006,0.315085,0.40225500000000003,863,"4,504,600",DAR,0.21449770689983103
289125,2017-12-31,0.297468,0.551415,0.29428899999999997,0.331202,"30,559","4,045,680",DAR,0.11340379469388301
289126,2017-12-30,0.392664,0.613158,0.298998,0.300018,"16,109","5,340,380",DAR,-0.235942179573376
289127,2017-12-29,0.38511999999999996,0.503625,0.38210900000000003,0.393732,"21,363","5,237,780",DAR,0.0223618612380557
289128,2017-12-28,0.47306000000000004,0.475732,0.364606,0.381975,"8,423","6,433,800",DAR,-0.192544286137065
289129,2017-12-27,0.534954,0.534954,0.431014,0.47376899999999994,"2,127","7,275,580",DAR,-0.114374320034994
289130,2017-12-26,0.418012,0.654144,0.415448,0.534362,"47,809","5,685,120",DAR,0.27834129163756105
289131,2017-12-25,0.422281,0.43478599999999995,0.397901,0.418447,"12,670","5,743,180",DAR,-0.00907926238689404
289132,2017-12-24,0.434276,0.434414,0.280301,0.417998,"90,090","5,906,320",DAR,-0.0374830752793155
289133,2017-12-23,0.355294,0.461506,0.312225,0.429626,"27,888","4,832,140",DAR,0.20921265205717002
289134,2017-12-22,0.37198200000000003,0.389187,0.239591,0.351283,"14,868","5,059,100",DAR,-0.0556451656262937
289135,2017-12-21,0.31608200000000003,0.433881,0.314298,0.370728,"36,053","4,298,840",DAR,0.17288551704937302
289136,2017-12-20,0.37038000000000004,0.409757,0.302273,0.315273,"95,034","5,037,310",DAR,-0.14878503158917902
289137,2017-12-19,0.37899499999999997,0.416613,0.319771,0.370776,"78,649","5,154,480",DAR,-0.0216863019301047
289138,2017-12-18,0.375929,0.390106,0.31836,0.378461,"18,606","5,112,790",DAR,0.0067353143811729795
289139,2017-12-17,0.305469,0.389908,0.301246,0.374848,"38,324","4,154,490",DAR,0.227122883173088
289140,2017-12-16,0.269687,0.386456,0.269687,0.305465,"68,330","3,667,850",DAR,0.132664904129602
289141,2017-12-15,0.377474,0.401046,0.267806,0.26955999999999997,"5,172","5,133,790",DAR,-0.285884590726778
289142,2017-12-14,0.326389,0.378265,0.323821,0.37692,"42,568","4,439,020",DAR,0.15481833027461098
289143,2017-12-13,0.291527,0.349909,0.282938,0.327332,"97,769","3,964,880",DAR,0.12281881266572198
289144,2017-12-12,0.278377,0.353455,0.274723,0.291288,"12,728","3,786,030",DAR,0.0463795500346652
289145,2017-12-11,0.37201599999999996,0.42601999999999995,0.266959,0.278005,"4,345","5,059,560",DAR,-0.252706872822674
289146,2017-12-10,0.271453,0.38827399999999995,0.249025,0.373427,"16,898","3,691,860",DAR,0.37565987482179203
289147,2017-12-09,0.233429,0.441342,0.230242,0.270579,305,"3,174,730",DAR,0.15914903461009602
289148,2017-12-08,0.32949,0.41140299999999996,0.228863,0.233715,"30,334","4,481,190",DAR,-0.29067650004552503
289149,2017-12-07,0.30092199999999997,0.49886099999999994,0.29412699999999997,0.32872399999999996,"29,826","4,092,660",DAR,0.0923893899415795
289150,2017-12-06,0.330395,0.349662,0.21872399999999997,0.301032,"84,174","4,493,510",DAR,-0.0888724102967659
289151,2017-12-05,0.350707,0.37706799999999996,0.328805,0.329807,"7,867","4,769,740",DAR,-0.0595939060241169
289152,2017-12-04,0.365467,0.46205100000000005,0.325592,0.350004,"2,368","4,970,500",DAR,-0.0423102496258212
289153,2017-12-03,0.28994899999999996,0.367553,0.273617,0.364662,"71,008","3,943,420",DAR,0.25767634997878897
289154,2017-12-02,0.300016,0.327447,0.24493600000000001,0.289692,"21,132","4,080,330",DAR,-0.0344114980534371
289155,2017-12-01,0.23162399999999997,0.431716,0.230314,0.299423,"27,543","3,150,180",DAR,0.29271146340621
289156,2017-11-30,0.22227399999999997,0.256958,0.21097,0.232579,"11,882","3,023,020",DAR,0.0463616977244302
289157,2017-11-29,0.24600100000000003,0.276365,0.188977,0.22022199999999997,"15,619","3,345,710",DAR,-0.104792256942045
289158,2017-11-28,0.21471300000000001,0.245594,0.206193,0.24460700000000002,191,"2,920,180",DAR,0.139227713273067
