Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
383773,2018-01-10,0.27924499999999997,0.298792,0.170205,0.274032,"43,630","1,429,260",DDF,-0.0186681945961433
383774,2018-01-09,0.308023,0.40445,0.24457600000000002,0.278962,"53,211","1,576,560",DDF,-0.0943468507221863
383775,2018-01-08,0.247018,0.347738,0.244941,0.308875,"38,187","1,264,320",DDF,0.25041494951784904
383776,2018-01-07,0.24003899999999997,0.302892,0.217033,0.246629,"18,301","1,228,590",DDF,0.0274538720791204
383777,2018-01-06,0.308604,0.317498,0.205605,0.24019899999999997,"12,796","1,579,530",DDF,-0.22165947298155603
383778,2018-01-05,0.177352,0.35026,0.17109100000000002,0.308406,"64,631","907,744",DDF,0.7389485317335022
383779,2018-01-04,0.197442,0.212022,0.166952,0.17745,"5,461","1,010,570",DDF,-0.101255052116571
383780,2018-01-03,0.174183,0.19706300000000002,0.155398,0.19648800000000002,"5,567","891,520",DDF,0.128054976662476
383781,2018-01-02,0.16722599999999999,0.186105,0.13676,0.17463599999999999,"3,388","855,915",DDF,0.0443112913063758
383782,2018-01-01,0.21882600000000002,0.21882600000000002,0.136211,0.167262,"5,160","1,120,020",DDF,-0.235639275040443
383783,2017-12-31,0.130019,0.22235300000000002,0.128742,0.218466,"10,832","665,476",DDF,0.6802621155369599
383784,2017-12-30,0.146374,0.155551,0.131399,0.131399,"3,041","749,190",DDF,-0.10230642053916698
383785,2017-12-29,0.142059,0.162273,0.119585,0.14673699999999998,"5,354","727,101",DDF,0.0329299797971267
383786,2017-12-28,0.147359,0.176531,0.11414300000000001,0.140922,"10,578","754,226",DDF,-0.0436824354128353
383787,2017-12-27,0.12016700000000001,0.170996,0.10476099999999999,0.147611,"11,333","615,053",DDF,0.22838216814932502
383788,2017-12-26,0.081027,0.138819,0.081027,0.12005,"5,834","414,721",DDF,0.481604897133054
383789,2017-12-25,0.11921199999999998,0.166076,0.061261,0.08102100000000001,"4,814","610,163",DDF,-0.32036204408952096
383790,2017-12-24,0.114597,0.124724,0.097629,0.118815,634,"586,541",DDF,0.0368072462629912
383791,2017-12-23,0.10883499999999999,0.17744400000000002,0.10883499999999999,0.11305699999999999,"1,724","557,049",DDF,0.0387926677998806
383792,2017-12-22,0.168574,0.17064300000000002,0.080237,0.10763900000000001,"3,241","862,814",DDF,-0.36147329955983704
383793,2017-12-21,0.09162100000000001,0.259413,0.089738,0.167994,"17,338","468,943",DDF,0.833575272044619
383794,2017-12-20,0.094514,0.09603099999999999,0.07835,0.091471,783,"483,751",DDF,-0.0321962883805574
383795,2017-12-19,0.145334,0.17214300000000002,0.094608,0.094608,975,"743,864",DDF,-0.349030509034362
383796,2017-12-18,0.078376,0.166508,0.07475599999999999,0.14563800000000002,759,"401,150",DDF,0.8581963866489741
383797,2017-12-17,0.052713,0.10285699999999999,0.052461,0.078377,"7,249","269,799",DDF,0.48686282321249
383798,2017-12-16,0.083148,0.09969,0.050896,0.052622,"1,212","425,575",DDF,-0.367128493770145
383799,2017-12-15,0.053033000000000004,0.088138,0.043695,0.08302799999999999,"1,889","271,440",DDF,0.56559123564573
383800,2017-12-14,0.082146,0.140499,0.052957000000000004,0.052984,737,"420,448",DDF,-0.355002069486037
383801,2017-12-13,0.0881,0.103691,0.070535,0.08228200000000001,"2,433","450,921",DDF,-0.0660385925085131
383802,2017-12-12,0.064903,0.089749,0.057066,0.08794400000000001,271,"332,192",DDF,0.35500670230959996
383803,2017-12-11,0.059825,0.067197,0.050436,0.067197,"1,455","306,205",DDF,0.123226076055161
383804,2017-12-10,0.10297200000000001,0.10297200000000001,0.057337,0.059959000000000005,539,"527,042",DDF,-0.417715495474498
383805,2017-12-09,0.082927,0.106814,0.07104500000000001,0.102556,340,"424,446",DDF,0.23670215973084804
383806,2017-12-08,0.07169099999999999,0.083034,0.07052699999999999,0.082982,"6,890","366,937",DDF,0.157495362039865
383807,2017-12-07,0.06138099999999999,0.08381,0.052688,0.071531,"2,994","314,167",DDF,0.165360616477412
383808,2017-12-06,0.063933,0.076779,0.058584000000000004,0.060002999999999994,888,"327,228",DDF,-0.061470602036507
383809,2017-12-05,0.084912,0.092751,0.064544,0.064691,132,"434,603",DDF,-0.23814066327492003
383810,2017-12-04,0.13288599999999998,0.141862,0.069383,0.084789,253,"680,152",DDF,-0.361941814788616
383811,2017-12-03,0.065853,0.165157,0.06481,0.132622,"1,147","337,058",DDF,1.01390976872732
383812,2017-12-02,0.09099700000000001,0.099825,0.065825,0.065825,369,"465,752",DDF,-0.276624504104531
383813,2017-12-01,0.06375900000000001,0.09132,0.05954500000000001,0.091074,490,"326,340",DDF,0.428410106808451
383814,2017-11-30,0.07481900000000001,0.080438,0.05230599999999999,0.064032,"3,579","382,946",DDF,-0.144174608054104
383815,2017-11-29,0.09525,0.11149300000000001,0.058607000000000006,0.07384099999999999,"1,475","487,516",DDF,-0.22476640419947502
383816,2017-11-28,0.11629,0.12,0.086016,0.09521900000000001,"8,507","595,207",DDF,-0.181193567804626
383817,2017-11-27,0.086865,0.116284,0.071672,0.116121,"5,756","444,600",DDF,0.33679848040062205
383818,2017-11-26,0.09022999999999999,0.104617,0.085082,0.08684800000000001,335,"461,827",DDF,-0.0374819904688021
383819,2017-11-25,0.119776,0.127808,0.084448,0.090241,475,"613,048",DDF,-0.24658529254608602
383820,2017-11-24,0.106189,0.127088,0.104423,0.119817,582,"543,508",DDF,0.12833721006884
383821,2017-11-23,0.10726,0.10946900000000001,0.079974,0.106575,"2,113","548,988",DDF,-0.00638635092299078
383822,2017-11-22,0.09316100000000001,0.10751500000000001,0.091375,0.10710599999999999,"1,213","476,825",DDF,0.149687100825453
383823,2017-11-21,0.07016,0.10725499999999999,0.066373,0.09298300000000001,663,"359,101",DDF,0.325299315849487
383824,2017-11-20,0.097388,0.108641,0.070147,0.070147,"1,094","498,460",DDF,-0.279716186799195
383825,2017-11-19,0.094597,0.100766,0.089114,0.097453,"1,635","484,176",DDF,0.0301912322800934
383826,2017-11-18,0.107787,0.107787,0.091669,0.09483899999999999,"1,093","551,685",DDF,-0.12012580366834599
383827,2017-11-17,0.101897,0.10802,0.08838,0.107993,"1,075","521,543",DDF,0.0598251175206336
383828,2017-11-16,0.098736,0.10455199999999999,0.093189,0.10202699999999999,335,"505,361",DDF,0.0333313077297035
383829,2017-11-15,0.100656,0.103621,0.055652999999999994,0.098327,"4,215","515,191",DDF,-0.0231382133206167
383830,2017-11-14,0.097091,0.108645,0.086439,0.099906,597,"496,943",DDF,0.0289934185454882
383831,2017-11-13,0.099702,0.11442999999999999,0.097697,0.106467,866,"510,304",DDF,0.06785219955467299
383832,2017-11-12,0.099704,0.10873499999999998,0.097137,0.099553,240,"510,313",DDF,-0.0015144828692930901
383833,2017-11-11,0.117895,0.11823,0.097078,0.099696,111,"603,424",DDF,-0.154366173289792
383834,2017-11-10,0.10758499999999999,0.178652,0.10006,0.118423,"3,995","550,652",DDF,0.10073895059720199
383835,2017-11-09,0.10484700000000001,0.110922,0.10423099999999999,0.107726,511,"536,638",DDF,0.0274590593913036
383836,2017-11-08,0.106216,0.11961400000000001,0.104715,0.10525999999999999,"1,627","543,646",DDF,-0.00900052722753633
383837,2017-11-07,0.11350199999999999,0.130418,0.105129,0.106545,353,"580,937",DDF,-0.0612940741132315
383838,2017-11-06,0.127079,0.127472,0.100123,0.11344000000000001,"2,310","650,428",DDF,-0.10732693836117697
