Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
255885,2018-01-10,3.0,3.78,2.81,3.63,"71,148","6,904,560",DFT,0.21
255886,2018-01-09,2.48,3.72,2.25,3.0,"105,552","5,706,160",DFT,0.209677419354839
255887,2018-01-08,3.19,3.32,1.95,2.48,"45,590","7,348,650",DFT,-0.22257053291536
255888,2018-01-07,2.96,3.43,2.25,3.19,"94,848","6,807,320",DFT,0.0777027027027027
255889,2018-01-06,1.63,3.16,1.35,2.96,"44,958","3,761,030",DFT,0.8159509202453991
255890,2018-01-05,1.79,1.79,1.27,1.63,"30,613","4,127,990",DFT,-0.0893854748603353
255891,2018-01-04,2.65,2.71,1.33,1.79,"77,018","6,104,000",DFT,-0.324528301886792
255892,2018-01-03,4.36,4.92,2.28,2.67,"166,840","10,031,300",DFT,-0.3876146788990829
255893,2018-01-02,5.84,5.88,3.31,4.77,"194,644","13,456,000",DFT,-0.18321917808219199
255894,2018-01-01,6.33,7.3,5.28,5.69,"216,100","14,563,200",DFT,-0.101105845181675
255895,2017-12-31,5.03,6.94,4.95,6.61,"141,100","11,578,400",DFT,0.314115308151093
255896,2017-12-30,4.5,5.08,3.93,5.07,"87,912","10,502,600",DFT,0.12666666666666698
255897,2017-12-29,3.98,4.64,3.5,4.48,"135,887","9,286,180",DFT,0.125628140703518
255898,2017-12-28,3.02,3.94,2.19,3.94,"155,294","6,745,280",DFT,0.30463576158940403
255899,2017-12-27,1.16,3.05,0.925876,3.05,"197,766","2,595,660",DFT,1.62931034482759
255900,2017-12-26,0.6207050000000001,1.27,0.6207050000000001,1.16,"99,583","1,385,400",DFT,0.8688426869446841
255901,2017-12-25,0.662085,0.70445,0.6063,0.62134,"69,823","1,477,410",DFT,-0.0615404366508832
255902,2017-12-24,0.6420710000000001,0.670903,0.531866,0.65528,"30,112","1,432,740",DFT,0.0205724912042438
255903,2017-12-23,0.8559829999999999,1.0,0.523371,0.635526,"29,894","1,910,060",DFT,-0.257548339160941
255904,2017-12-22,0.679308,1.07,0.47251899999999997,0.8480790000000001,"104,836","1,515,810",DFT,0.24844547686763604
255905,2017-12-21,0.794728,0.801341,0.666558,0.6771,243,"1,773,340",DFT,-0.148010388459951
255906,2017-12-20,0.723407,0.804242,0.659601,0.7929470000000001,"2,107","1,614,170",DFT,0.0961284588067297
255907,2017-12-19,0.8974799999999999,0.899402,0.718329,0.8275399999999999,"45,478","2,002,580",DFT,-0.0779293131880376
255908,2017-12-18,0.449151,1.31,0.430551,0.8967780000000001,"32,637","1,002,200",DFT,0.996606931744558
