Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
138458,2018-01-10,10.49,11.23,9.07,10.22,"321,638","53,941,900",DIVX,-0.0257387988560533
138459,2018-01-09,10.49,11.43,8.94,10.48,"413,506","53,968,500",DIVX,-0.000953288846520475
138460,2018-01-08,9.14,13.39,8.32,10.52,"731,426","47,009,700",DIVX,0.15098468271334803
138461,2018-01-07,7.71,9.88,7.13,9.44,"555,711","39,642,200",DIVX,0.224383916990921
138462,2018-01-06,5.33,7.72,4.7,7.71,"395,799","27,410,200",DIVX,0.446529080675422
138463,2018-01-05,4.69,5.55,4.14,5.33,"234,907","24,123,000",DIVX,0.136460554371002
138464,2018-01-04,4.11,4.97,3.93,4.69,"249,119","21,123,100",DIVX,0.141119221411192
138465,2018-01-03,3.41,4.96,2.74,4.08,"477,770","17,552,100",DIVX,0.196480938416422
138466,2018-01-02,2.04,3.15,2.04,2.98,"158,455","10,481,600",DIVX,0.46078431372548995
138467,2018-01-01,1.98,2.58,1.89,1.89,"67,655","10,163,900",DIVX,-0.0454545454545455
138468,2017-12-31,1.9,2.23,1.47,1.97,"62,697","9,795,850",DIVX,0.0368421052631579
138469,2017-12-30,1.74,1.95,1.46,1.48,"57,356","8,940,740",DIVX,-0.149425287356322
138470,2017-12-29,1.47,2.23,1.39,1.74,"152,667","7,552,800",DIVX,0.18367346938775503
138471,2017-12-28,1.36,1.83,1.21,1.45,"189,493","6,991,180",DIVX,0.0661764705882352
138472,2017-12-27,1.26,1.48,1.25,1.36,"63,631","6,499,720",DIVX,0.0793650793650794
138473,2017-12-26,1.46,1.57,1.24,1.24,"52,794","7,522,120",DIVX,-0.150684931506849
138474,2017-12-25,1.27,1.76,1.11,1.46,"65,175","6,526,580",DIVX,0.14960629921259802
138475,2017-12-24,1.29,1.39,1.04,1.26,"75,099","6,649,810",DIVX,-0.0232558139534884
138476,2017-12-23,1.16,1.49,1.14,1.28,"43,795","5,989,340",DIVX,0.103448275862069
138477,2017-12-22,1.22,1.25,0.949642,1.15,"39,800","6,260,200",DIVX,-0.0573770491803279
138478,2017-12-21,1.31,1.45,1.2,1.21,"44,018","6,747,660",DIVX,-0.0763358778625955
138479,2017-12-20,1.4,1.54,1.12,1.31,"96,874","7,219,630",DIVX,-0.0642857142857142
138480,2017-12-19,1.56,1.9,1.13,1.44,"171,551","8,001,380",DIVX,-0.076923076923077
138481,2017-12-18,1.12,1.89,1.07,1.55,"133,566","5,763,220",DIVX,0.38392857142857106
138482,2017-12-17,1.08,1.16,1.01,1.12,"32,225","5,530,990",DIVX,0.0370370370370371
138483,2017-12-16,1.01,1.16,0.844399,1.08,"35,269","5,215,980",DIVX,0.0693069306930694
138484,2017-12-15,0.9147360000000001,1.05,0.850592,1.01,"36,473","4,704,490",DIVX,0.104143709223208
138485,2017-12-14,0.83445,1.04,0.767029,0.915372,"64,938","4,291,580",DIVX,0.0969764515549163
138486,2017-12-13,0.993733,1.09,0.732496,0.8371139999999999,"62,863","5,110,780",DIVX,-0.157606721322528
138487,2017-12-12,1.05,1.14,0.9185469999999999,0.988093,"40,600","5,390,770",DIVX,-0.0589590476190477
138488,2017-12-11,1.31,1.39,0.93386,1.05,"25,924","6,743,680",DIVX,-0.19847328244274803
138489,2017-12-10,1.05,1.33,0.892755,1.32,"34,449","5,415,620",DIVX,0.25714285714285695
138490,2017-12-09,1.14,1.4,0.9934209999999999,1.05,"11,274","5,855,170",DIVX,-0.0789473684210525
138491,2017-12-08,1.25,1.48,0.948154,1.14,"124,054","6,418,350",DIVX,-0.0880000000000001
138492,2017-12-07,1.65,1.88,1.02,1.25,"103,217","8,475,780",DIVX,-0.24242424242424201
138493,2017-12-06,1.25,1.75,1.25,1.63,"61,126","6,446,220",DIVX,0.304
138494,2017-12-05,1.69,1.87,1.26,1.26,"101,201","8,691,020",DIVX,-0.254437869822485
138495,2017-12-04,1.35,1.67,1.35,1.59,"77,353","6,953,970",DIVX,0.17777777777777803
138496,2017-12-03,1.13,1.39,0.9859100000000001,1.35,"54,621","5,792,330",DIVX,0.19469026548672602
138497,2017-12-02,1.31,1.33,1.11,1.13,"26,143","6,717,400",DIVX,-0.13740458015267198
138498,2017-12-01,1.08,1.37,0.9702149999999999,1.31,"52,974","5,551,120",DIVX,0.21296296296296302
138499,2017-11-30,1.18,1.55,0.832391,1.04,"67,737","6,073,960",DIVX,-0.11864406779660999
138500,2017-11-29,0.94524,1.63,0.875395,1.19,"113,301","4,861,380",DIVX,0.258939528585333
138501,2017-11-28,0.8482299999999999,1.96,0.8218540000000001,0.9934860000000001,"230,553",-,DIVX,0.171246006389776
138502,2017-11-27,0.822199,0.846038,0.8216190000000001,0.846038,"56,068",-,DIVX,0.0289941972685444
