Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
132369,2018-01-10,0.8060930000000001,0.8618030000000001,0.610225,0.770548,"288,862","51,397,600",DOVU,-0.0440954083461833
132370,2018-01-09,0.632841,0.839517,0.632841,0.806358,"179,390","40,350,800",DOVU,0.27418735511763603
132371,2018-01-08,0.897834,0.9049360000000001,0.604434,0.668084,"301,050","57,247,200",DOVU,-0.255893628443565
132372,2018-01-07,0.614293,0.962899,0.612336,0.894732,"582,296","39,168,200",DOVU,0.45652319007379205
132373,2018-01-06,0.449959,0.614622,0.395201,0.614622,"188,511","28,690,000",DOVU,0.365951119990932
132374,2018-01-05,0.420318,0.50316,0.410463,0.448783,"160,086","26,800,000",DOVU,0.0677225338910062
132375,2018-01-04,0.41592399999999996,0.435974,0.308,0.435974,"119,857","26,519,900",DOVU,0.048205922235792995
132376,2018-01-03,0.43276800000000004,0.43959,0.29689299999999996,0.41471099999999994,"221,760","27,593,900",DOVU,-0.0417244343389529
132377,2018-01-02,0.310161,0.484404,0.299033,0.43177600000000005,"219,782","19,776,300",DOVU,0.392102811120676
132378,2018-01-01,0.280116,0.31418,0.246545,0.309787,"111,580","17,860,600",DOVU,0.105923974353482
132379,2017-12-31,0.22435500000000003,0.288854,0.205227,0.28007600000000005,"70,584","14,305,200",DOVU,0.24836085667803304
132380,2017-12-30,0.272309,0.272309,0.20006300000000002,0.226386,"58,423","17,362,800",DOVU,-0.168642975443338
132381,2017-12-29,0.18121199999999998,0.273834,0.173843,0.272493,"83,354","11,554,300",DOVU,0.503724918879544
132382,2017-12-28,0.171342,0.242529,0.146471,0.179764,"36,402","10,925,000",DOVU,0.0491531556769503
132383,2017-12-27,0.11851700000000001,0.194688,0.118246,0.171649,"40,293","7,556,830",DOVU,0.44830699393336
132384,2017-12-26,0.140236,0.145372,0.116726,0.11825699999999999,"17,976","8,941,660",DOVU,-0.15672865740608702
132385,2017-12-25,0.10792,0.126136,0.10461,0.11628699999999999,"9,381","6,881,150",DOVU,0.0775296515937732
132386,2017-12-24,0.103085,0.123547,0.095068,0.10729200000000001,"13,487","6,572,870",DOVU,0.0408109812290828
132387,2017-12-23,0.11629500000000001,0.130437,0.101893,0.101893,"22,141","7,415,130",DOVU,-0.12384023388795698
132388,2017-12-22,0.12681900000000002,0.12751500000000002,0.088665,0.115309,"11,940","8,086,160",DOVU,-0.0907592710871399
132389,2017-12-21,0.132742,0.14066199999999998,0.11695599999999999,0.126345,"11,880","8,463,850",DOVU,-0.0481912280966084
132390,2017-12-20,0.134469,0.143788,0.107484,0.132596,"18,844","8,573,900",DOVU,-0.0139288609270539
132391,2017-12-19,0.135725,0.158626,0.11574000000000001,0.134613,"50,464","8,654,040",DOVU,-0.00819303739178487
132392,2017-12-18,0.14414200000000002,0.18628599999999998,0.115638,0.135916,"43,630","9,190,700",DOVU,-0.0570687238972679
132393,2017-12-17,0.080687,0.145432,0.080439,0.144235,"35,086","5,144,710",DOVU,0.7875866000718829
132394,2017-12-16,0.083004,0.10573199999999999,0.071173,0.08051599999999999,"14,833","5,292,480",DOVU,-0.0299744590622138
132395,2017-12-15,0.097131,0.103252,0.060570000000000006,0.082861,"17,737","6,193,180",DOVU,-0.146914991094501
132396,2017-12-14,0.09546900000000001,0.13253900000000002,0.086247,0.096996,"10,761","6,087,270",DOVU,0.0159947207994218
132397,2017-12-13,0.158088,0.158088,0.094945,0.095605,"18,331","10,079,900",DOVU,-0.39524189059258097
132398,2017-12-12,0.116323,0.15875999999999998,0.11343800000000001,0.157973,"25,007","7,416,910",DOVU,0.35805472692416795
132399,2017-12-11,0.10947799999999999,0.117249,0.08838700000000001,0.116993,"23,118","6,980,470",DOVU,0.0686439284605126
132400,2017-12-10,0.136756,0.136756,0.098656,0.109355,"11,522","8,719,760",DOVU,-0.20036415221270001
132401,2017-12-09,0.13304100000000002,0.143792,0.108429,0.136318,"3,890","4,440,060",DOVU,0.024631504573778
132402,2017-12-08,0.113454,0.136127,0.11156600000000001,0.133045,"8,059","3,786,370",DOVU,0.17267791351561
132403,2017-12-07,0.122377,0.127237,0.10343599999999999,0.1075,"14,193","4,084,160",DOVU,-0.12156696111197399
132404,2017-12-06,0.128245,0.132028,0.102797,0.122804,"13,003","4,279,990",DOVU,-0.0424266053257437
132405,2017-12-05,0.139763,0.140138,0.11873399999999999,0.128471,"4,663","4,664,390",DOVU,-0.0807939154139507
132406,2017-12-04,0.111131,0.171521,0.110849,0.139692,"18,406","3,708,840",DOVU,0.257002996463633
132407,2017-12-03,0.11273499999999999,0.12428,0.108102,0.109083,"7,971","3,762,360",DOVU,-0.0323945535991485
132408,2017-12-02,0.124839,0.129472,0.10981199999999999,0.112697,"15,626","4,166,320",DOVU,-0.0972612725190045
132409,2017-12-01,0.12215999999999999,0.131418,0.10977,0.12484300000000001,"8,871","4,076,920",DOVU,0.0219629993451211
132410,2017-11-30,0.120495,0.148776,0.10453,0.122464,"17,337","4,021,350",DOVU,0.0163409270094195
132411,2017-11-29,0.14091199999999998,0.156355,0.11445,0.11897200000000001,"12,593","4,702,730",DOVU,-0.155700011354604
132412,2017-11-28,0.147261,0.157671,0.137676,0.140799,"16,219","4,914,620",DOVU,-0.0438812720272169
132413,2017-11-27,0.16128399999999998,0.178352,0.142263,0.147463,"24,088","5,382,600",DOVU,-0.0856935591875201
132414,2017-11-26,0.139513,0.165475,0.135435,0.161324,"13,492","4,656,030",DOVU,0.156336685470171
132415,2017-11-25,0.14119400000000001,0.14743,0.12356099999999999,0.139508,"22,135","4,712,160",DOVU,-0.0119410173236823
132416,2017-11-24,0.131675,0.145151,0.120171,0.141218,"21,475","4,394,450",DOVU,0.0724738940573383
132417,2017-11-23,0.15696400000000002,0.157442,0.123081,0.13233699999999998,"25,594","5,238,460",DOVU,-0.156895848729645
132418,2017-11-22,0.144853,0.16122999999999998,0.129049,0.156604,"39,864","4,834,260",DOVU,0.0811236218787321
132419,2017-11-21,0.19711800000000002,0.20551999999999998,0.1446,0.14466800000000002,"105,681","6,578,530",DOVU,-0.266084274394018
132420,2017-11-20,0.109921,0.203174,0.079202,0.197429,"146,486","3,668,450",DOVU,0.796099016566443
132421,2017-11-19,0.12426300000000001,0.133214,0.100063,0.11003900000000001,"17,154","4,147,100",DOVU,-0.114466896823672
132422,2017-11-18,0.11308499999999999,0.149242,0.10545399999999999,0.12458499999999999,"9,186","3,774,060",DOVU,0.10169341645664802
132423,2017-11-17,0.132753,0.156673,0.107794,0.113256,"27,365","4,430,440",DOVU,-0.146866737474859
132424,2017-11-16,0.138793,0.14923599999999998,0.087211,0.134123,"79,474","4,632,020",DOVU,-0.0336472300476249
132425,2017-11-15,0.158341,0.173077,0.138218,0.138902,"31,085","5,284,400",DOVU,-0.12276668708673101
132426,2017-11-14,0.159245,0.184327,0.150018,0.158255,"30,675","5,314,560",DOVU,-0.00621683569342831
132427,2017-11-13,0.132501,0.186377,0.132501,0.159252,"59,145","4,422,030",DOVU,0.201892815903276
132428,2017-11-12,0.140472,0.17663399999999999,0.130734,0.13229100000000002,"24,588","4,688,040",DOVU,-0.0582393644284984
132429,2017-11-11,0.169653,0.182311,0.140456,0.140456,"54,530","5,661,930",DOVU,-0.172098341909663
132430,2017-11-10,0.22730999999999998,0.22730999999999998,0.17014200000000002,0.17014200000000002,"80,408","7,586,120",DOVU,-0.251497954335489
132431,2017-11-09,0.197495,0.239123,0.196708,0.227202,"97,508","6,591,100",DOVU,0.15041899794931501
132432,2017-11-08,0.19698800000000002,0.234775,0.18351800000000001,0.19856600000000002,"129,744","6,574,200",DOVU,0.00801064024204518
132433,2017-11-07,0.252463,0.269507,0.196963,0.197127,"181,495","8,425,570",DOVU,-0.21918459338596102
132434,2017-11-06,0.21048899999999998,0.2632,0.20260699999999998,0.25208600000000003,"154,722","6,561,870",DOVU,0.19762077828295
132435,2017-11-05,0.18950699999999998,0.21921500000000002,0.18950699999999998,0.21029,"103,140","5,907,780",DOVU,0.109668772129789
132436,2017-11-04,0.15885,0.197818,0.14191900000000002,0.18926099999999998,"70,809","4,952,040",DOVU,0.19144475920679896
