Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
269906,2018-01-10,0.324311,0.388423,0.31769200000000003,0.388423,"95,147","5,815,120",DP,0.197686788298886
269907,2018-01-09,0.364975,0.427476,0.307683,0.323854,"115,142","6,538,730",DP,-0.112667990958285
269908,2018-01-08,0.43959799999999993,0.441416,0.275483,0.364962,"250,536","7,869,140",DP,-0.16978239209459497
269909,2018-01-07,0.206285,0.472779,0.17848599999999998,0.44220600000000004,"500,553","3,689,450",DP,1.14366531740068
269910,2018-01-06,0.20813600000000002,0.24053200000000002,0.184693,0.206438,"72,657","3,719,440",DP,-0.008158127378252571
269911,2018-01-05,0.199528,0.23928899999999997,0.188749,0.20797399999999996,"61,222","3,562,670",DP,0.0423298985606029
269912,2018-01-04,0.181704,0.224323,0.16785999999999998,0.199487,"60,970","3,241,700",DP,0.0978679610795579
269913,2018-01-03,0.187977,0.188773,0.151096,0.180738,"71,929","3,350,740",DP,-0.0385100304824526
269914,2018-01-02,0.200459,0.216025,0.16609200000000002,0.188622,"67,928","3,570,180",DP,-0.0590494814400949
269915,2018-01-01,0.18399400000000002,0.20665799999999998,0.152086,0.200488,"72,736","3,274,180",DP,0.0896442275291586
269916,2017-12-31,0.173853,0.199603,0.144894,0.170465,"112,774","3,091,110",DP,-0.0194877281381397
269917,2017-12-30,0.196985,0.196985,0.111326,0.176812,"142,752","3,499,480",DP,-0.102408812853771
269918,2017-12-29,0.080103,0.21360900000000002,0.077898,0.197482,"254,166","1,421,880",DP,1.46535086076676
269919,2017-12-28,0.09312100000000001,0.11124400000000001,0.063555,0.07928500000000001,"65,059","1,651,570",DP,-0.148580878641767
269920,2017-12-27,0.10044,0.10740699999999999,0.083307,0.09335,"56,122","1,779,510",DP,-0.070589406610912
269921,2017-12-26,0.07884,0.104269,0.07884,0.100384,"49,193","1,395,910",DP,0.27326230339929
269922,2017-12-25,0.063583,0.079374,0.058325999999999996,0.07892,"28,397","1,124,850",DP,0.241212273720963
269923,2017-12-24,0.065926,0.07654,0.054873000000000005,0.062931,"35,857","1,165,370",DP,-0.0454297242362649
269924,2017-12-23,0.048711000000000004,0.068494,0.048554,0.065212,"12,355","860,317",DP,0.338753053725032
269925,2017-12-22,0.055966999999999996,0.06300900000000001,0.039473,0.048254000000000005,"14,132","987,622",DP,-0.13781335429806899
269926,2017-12-21,0.051986000000000004,0.06029400000000001,0.040558,0.055773,"17,932","916,583",DP,0.0728465356057401
269927,2017-12-20,0.06676900000000001,0.067039,0.033398000000000004,0.05185,"29,746","1,176,210",DP,-0.22344201650466503
269928,2017-12-19,0.074559,0.075382,0.05391699999999999,0.066835,"15,818","1,312,320",DP,-0.103595810029641
269929,2017-12-18,0.06027999999999999,0.077529,0.055142,0.07449700000000001,"16,934","1,060,080",DP,0.235849369608494
269930,2017-12-17,0.046787,0.073128,0.043572,0.060098,"39,285","822,080",DP,0.284502105285656
269931,2017-12-16,0.04211,0.047048,0.036160000000000005,0.046676999999999996,"19,401","739,290",DP,0.108454048919497
269932,2017-12-15,0.045166000000000005,0.06905700000000001,0.036463,0.042055,"9,057","792,236",DP,-0.0688792454501173
269933,2017-12-14,0.052381,0.054345000000000004,0.027181999999999998,0.045096,"18,777","918,004",DP,-0.13907714629350304
269934,2017-12-13,0.059677,0.06072999999999999,0.048806,0.052549,"21,669","1,044,990",DP,-0.119443001491362
269935,2017-12-12,0.069783,0.07755,0.053779999999999994,0.059625,"14,648","1,220,940",DP,-0.145565538884829
269936,2017-12-11,0.064212,0.071298,0.056969000000000006,0.06955900000000001,"21,775","1,122,510",DP,0.0832710396810563
269937,2017-12-10,0.06336699999999999,0.068623,0.050509,0.064683,"5,359","1,106,790",DP,0.0207679075859674
269938,2017-12-09,0.064746,0.07524299999999999,0.056758,0.063113,"8,239","1,129,890",DP,-0.0252216353133784
269939,2017-12-08,0.07943,0.091296,0.055472,0.06481100000000001,"28,004","1,384,950",DP,-0.184048848042301
269940,2017-12-07,0.064956,0.101074,0.055878,0.07924400000000001,"42,226","1,131,610",DP,0.21996428351499497
269941,2017-12-06,0.054722,0.07872799999999999,0.049275,0.065068,"64,678","952,495",DP,0.189064727166405
269942,2017-12-05,0.05627000000000001,0.05873099999999999,0.043632,0.054844000000000004,"30,361","978,591",DP,-0.0253421005864582
269943,2017-12-04,0.058874,0.061232,0.041954000000000005,0.056159,"44,480","1,023,020",DP,-0.0461154329585216
