Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
576730,2018-01-10,1.46,1.61,1.31,1.47,"465,937",-,EAG,0.00684931506849316
576731,2018-01-09,1.27,2.05,1.23,1.46,"595,382",-,EAG,0.14960629921259802
576732,2018-01-08,1.53,1.56,1.2,1.28,"393,530",-,EAG,-0.163398692810458
576733,2018-01-07,1.63,1.7,1.14,1.53,"492,654",-,EAG,-0.0613496932515337
576734,2018-01-06,1.64,1.71,1.52,1.7,"266,064",-,EAG,0.0365853658536586
576735,2018-01-05,1.73,1.79,1.42,1.64,"469,794",-,EAG,-0.0520231213872833
576736,2018-01-04,1.57,1.75,1.32,1.73,"514,473",-,EAG,0.10191082802547802
576737,2018-01-03,1.81,1.81,1.49,1.57,"430,997",-,EAG,-0.132596685082873
576738,2018-01-02,1.77,1.83,1.52,1.82,"485,692",-,EAG,0.0282485875706215
576739,2018-01-01,1.75,1.93,1.6,1.77,"528,368",-,EAG,0.0114285714285714
576740,2017-12-31,1.72,1.98,1.68,1.74,"600,088",-,EAG,0.0116279069767442
576741,2017-12-30,1.68,2.36,1.47,1.74,"568,697",-,EAG,0.0357142857142857
576742,2017-12-29,1.59,1.9,1.42,1.69,"184,531",-,EAG,0.0628930817610062
576743,2017-12-28,2.09,2.1,1.53,1.58,"206,018",-,EAG,-0.24401913875598102
576744,2017-12-27,1.94,2.46,1.78,2.1,"114,860",-,EAG,0.0824742268041238
576745,2017-12-26,1.95,2.62,1.65,1.94,"73,236",-,EAG,-0.00512820512820513
576746,2017-12-25,2.32,2.41,1.78,1.95,"115,896",-,EAG,-0.15948275862069
576747,2017-12-24,2.37,2.67,2.07,2.3,"232,904",-,EAG,-0.0295358649789031
576748,2017-12-23,2.23,2.72,2.22,2.35,"94,532",-,EAG,0.0538116591928252
576749,2017-12-22,2.58,2.71,2.02,2.21,"106,688",-,EAG,-0.143410852713178
576750,2017-12-21,2.84,3.6,2.51,2.57,"51,148",-,EAG,-0.0950704225352113
576751,2017-12-20,3.19,3.48,2.71,2.83,"54,271",-,EAG,-0.11285266457680199
576752,2017-12-19,3.71,4.04,3.04,3.2,"54,157",-,EAG,-0.137466307277628
576753,2017-12-18,4.1,4.3,3.46,3.7,"30,819",-,EAG,-0.097560975609756
576754,2017-12-17,4.11,4.58,3.56,4.08,"18,002",-,EAG,-0.0072992700729927595
576755,2017-12-16,4.05,4.48,3.2,4.4,"85,980",-,EAG,0.0864197530864199
576756,2017-12-15,4.31,5.22,2.43,4.04,"99,678",-,EAG,-0.062645011600928
576757,2017-12-14,3.36,4.44,1.72,4.31,"1,339",-,EAG,0.28273809523809496
576758,2017-12-13,4.66,4.73,3.34,3.37,"2,506",-,EAG,-0.27682403433476394
576759,2017-12-12,4.55,4.79,4.44,4.66,603,-,EAG,0.0241758241758242
576760,2017-12-11,2.36,4.73,2.35,4.53,586,-,EAG,0.919491525423729
576761,2017-12-10,3.01,3.13,0.553261,2.37,524,-,EAG,-0.212624584717608
576762,2017-12-09,2.11,4.14,1.93,3.0,239,-,EAG,0.42180094786729905
576763,2017-12-08,4.17,4.23,1.96,2.12,296,-,EAG,-0.4916067146282971
576764,2017-12-07,3.53,4.16,3.3,4.16,"210,545",-,EAG,0.17847025495750699
576765,2017-12-06,3.15,3.55,2.95,3.54,"258,900",-,EAG,0.12380952380952401
576766,2017-12-05,2.69,3.47,2.63,3.15,"69,644",-,EAG,0.17100371747211904
576767,2017-12-04,3.04,3.25,2.32,2.68,"241,843",-,EAG,-0.11842105263157901
576768,2017-12-03,3.22,3.33,2.86,3.03,"92,663",-,EAG,-0.0590062111801243
576769,2017-12-02,3.26,3.42,2.86,3.22,"64,003",-,EAG,-0.0122699386503066
576770,2017-12-01,3.31,3.64,1.99,3.27,"386,281",-,EAG,-0.0120845921450151
576771,2017-11-30,3.28,4.01,3.08,3.32,"223,020",-,EAG,0.0121951219512195
576772,2017-11-29,3.22,4.25,3.04,3.23,"148,637",-,EAG,0.00310559006211173
576773,2017-11-28,3.41,3.41,2.91,3.22,"66,857",-,EAG,-0.0557184750733138
576774,2017-11-27,3.82,4.25,2.12,3.41,"1,003,800",-,EAG,-0.107329842931937
576775,2017-11-26,4.29,4.48,3.25,3.82,"226,530",-,EAG,-0.10955710955711
576776,2017-11-25,4.02,4.39,4.0,4.29,"58,460",-,EAG,0.0671641791044777
576777,2017-11-24,4.1,4.33,3.86,4.03,"179,718",-,EAG,-0.0170731707317072
576778,2017-11-23,4.24,4.45,3.96,4.1,"193,386",-,EAG,-0.0330188679245284
576779,2017-11-22,4.85,4.9,4.01,4.24,"188,777",-,EAG,-0.12577319587628902
576780,2017-11-21,4.82,5.68,2.02,4.51,"516,927",-,EAG,-0.0643153526970955
576781,2017-11-20,4.86,5.69,4.34,4.37,"219,758",-,EAG,-0.10082304526749
576782,2017-11-19,4.67,6.1,4.66,4.87,"174,418",-,EAG,0.0428265524625268
576783,2017-11-18,6.1,6.22,5.32,5.5,"180,126",-,EAG,-0.0983606557377049
576784,2017-11-17,6.67,6.87,3.75,6.17,"610,870",-,EAG,-0.0749625187406297
576785,2017-11-16,6.58,6.76,6.24,6.68,"305,363",-,EAG,0.0151975683890577
