Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
33664,2018-01-10,7.18,8.3,6.22,7.95,"64,134,900","537,295,000",ENG,0.107242339832869
33665,2018-01-09,6.77,7.98,5.94,7.16,"50,618,900","506,626,000",ENG,0.0576070901033974
33666,2018-01-08,5.88,7.39,5.31,6.83,"54,533,300","439,826,000",ENG,0.16156462585034
33667,2018-01-07,5.6,6.42,5.53,5.91,"30,076,400","418,844,000",ENG,0.055357142857142994
33668,2018-01-06,4.96,6.75,4.96,5.58,"48,628,300","371,119,000",ENG,0.125
33669,2018-01-05,5.41,5.67,4.46,4.97,"37,116,100","404,518,000",ENG,-0.0813308687615528
33670,2018-01-04,5.77,6.34,5.37,5.42,"37,364,700","431,947,000",ENG,-0.0606585788561525
33671,2018-01-03,5.16,7.2,5.16,5.67,"108,417,000","385,888,000",ENG,0.0988372093023255
33672,2018-01-02,3.25,5.32,3.23,5.1,"91,834,300","242,929,000",ENG,0.5692307692307691
33673,2018-01-01,2.62,3.25,2.41,3.25,"13,279,100","196,044,000",ENG,0.24045801526717603
33674,2017-12-31,2.64,2.75,2.33,2.61,"14,850,300","197,360,000",ENG,-0.0113636363636365
33675,2017-12-30,2.57,2.69,2.07,2.65,"17,530,200","192,274,000",ENG,0.0311284046692607
33676,2017-12-29,2.6,2.8,2.43,2.58,"17,141,900","194,718,000",ENG,-0.0076923076923077
33677,2017-12-28,2.73,3.05,2.43,2.61,"20,132,100","204,550,000",ENG,-0.043956043956044
33678,2017-12-27,2.56,3.07,2.12,2.74,"33,816,500","191,864,000",ENG,0.0703125000000001
33679,2017-12-26,2.6,2.8,1.9,2.58,"41,919,400","194,342,000",ENG,-0.0076923076923077
33680,2017-12-25,1.49,3.5,1.39,2.57,"88,637,600","111,335,000",ENG,0.724832214765101
33681,2017-12-24,1.24,1.47,1.1,1.47,"11,195,000","92,477,000",ENG,0.18548387096774202
33682,2017-12-23,0.9669690000000001,1.37,0.954758,1.23,"6,759,820","72,364,300",ENG,0.27201595914657
33683,2017-12-22,1.16,1.17,0.679491,0.9553709999999999,"5,956,420","86,524,900",ENG,-0.176404310344828
33684,2017-12-21,1.16,1.37,1.02,1.11,"11,456,100","87,003,200",ENG,-0.0431034482758619
33685,2017-12-20,0.971067,1.22,0.860131,1.15,"11,828,200","72,670,900",ENG,0.184264319557765
33686,2017-12-19,1.01,1.13,0.9112100000000001,0.9758879999999999,"8,435,550","75,668,500",ENG,-0.0337742574257426
33687,2017-12-18,0.900977,0.985966,0.791058,0.985966,"10,457,900","67,425,700",ENG,0.094329821959939
33688,2017-12-17,0.700397,0.925325,0.688124,0.899175,"12,133,800","52,415,000",ENG,0.28380761196864
33689,2017-12-16,0.650271,0.7344649999999999,0.63149,0.701274,"5,640,070","48,663,800",ENG,0.0784334531295412
33690,2017-12-15,0.66069,0.668991,0.574954,0.649101,"5,382,250","49,443,500",ENG,-0.0175407528492939
33691,2017-12-14,0.652533,0.705646,0.627888,0.6641729999999999,"6,847,120","48,833,100",ENG,0.0178381782990285
33692,2017-12-13,0.633,0.709504,0.598723,0.654876,"5,519,910","47,371,300",ENG,0.0345592417061611
33693,2017-12-12,0.668428,0.699746,0.615672,0.634308,"5,575,090","50,022,600",ENG,-0.0510451387434399
33694,2017-12-11,0.520305,0.709137,0.519129,0.672546,"6,836,440","38,937,600",ENG,0.292599532966241
33695,2017-12-10,0.602162,0.602578,0.493623,0.521482,"2,502,300","45,063,500",ENG,-0.133983878092606
33696,2017-12-09,0.576689,0.62612,0.543484,0.5920890000000001,"3,125,670","43,157,200",ENG,0.0267041681044722
33697,2017-12-08,0.535004,0.6384569999999999,0.510171,0.575238,"3,972,340","40,037,700",ENG,0.0752031760510202
33698,2017-12-07,0.628542,0.66714,0.49365299999999995,0.531633,"5,874,310","47,037,700",ENG,-0.15418062754756198
33699,2017-12-06,0.653744,0.706572,0.6123609999999999,0.6300520000000001,"5,368,990","48,923,700",ENG,-0.0362404855723342
33700,2017-12-05,0.724417,0.724454,0.615379,0.6555529999999999,"4,063,970","54,212,600",ENG,-0.0950612699591533
33701,2017-12-04,0.574955,0.739891,0.5665479999999999,0.7155699999999999,"8,616,410","43,027,400",ENG,0.24456696611039103
33702,2017-12-03,0.592058,0.630077,0.555287,0.581075,"3,020,670","44,307,400",ENG,-0.0185505474125845
33703,2017-12-02,0.6399590000000001,0.6657029999999999,0.582989,0.591479,"3,742,930","47,892,100",ENG,-0.0757548530452732
33704,2017-12-01,0.709589,0.7393930000000001,0.57899,0.6432399999999999,"6,898,250","53,102,900",ENG,-0.0935034224036731
33705,2017-11-30,0.63139,0.8925219999999999,0.5203770000000001,0.697365,"28,777,400","47,250,800",ENG,0.10449167709339699
33706,2017-11-29,0.46717600000000004,0.528496,0.42941999999999997,0.48592700000000005,"1,029,850","34,961,700",ENG,0.0401369077178623
33707,2017-11-28,0.484925,0.497438,0.459804,0.46700200000000003,"741,542","36,289,900",ENG,-0.0369603546940249
33708,2017-11-27,0.47623699999999997,0.5186430000000001,0.45593199999999995,0.48448800000000003,"849,689","35,639,800",ENG,0.0173254073077059
33709,2017-11-26,0.48988699999999996,0.549238,0.46258900000000003,0.473232,"994,404","36,661,300",ENG,-0.0339976361895703
33710,2017-11-25,0.5207930000000001,0.5207930000000001,0.47411899999999996,0.489942,"995,884","38,974,200",ENG,-0.0592385074300153
33711,2017-11-24,0.529673,0.5485369999999999,0.44338999999999995,0.522742,"1,381,400","39,638,700",ENG,-0.0130854319551873
33712,2017-11-23,0.5797439999999999,0.5797439999999999,0.465801,0.524964,"1,625,850","43,385,800",ENG,-0.0944899817850638
33713,2017-11-22,0.440222,0.62479,0.39362199999999997,0.567751,"4,851,130","32,944,500",ENG,0.289692473342995
33714,2017-11-21,0.38901199999999997,0.4438,0.364245,0.440379,"1,071,540","29,112,200",ENG,0.132044769827152
33715,2017-11-20,0.39214099999999996,0.40378000000000003,0.37858800000000004,0.38636,"938,760","29,346,300",ENG,-0.0147421463198187
33716,2017-11-19,0.401733,0.420339,0.388283,0.392375,"929,114","30,064,200",ENG,-0.0232940784053091
33717,2017-11-18,0.395704,0.415446,0.358796,0.399895,"862,576","29,613,000",ENG,0.0105912500252714
33718,2017-11-17,0.38750100000000004,0.40489,0.34532199999999996,0.396755,"1,025,230","28,999,100",ENG,0.0238812286936035
33719,2017-11-16,0.381249,0.40522800000000003,0.365122,0.37906999999999996,"1,041,760","28,531,200",ENG,-0.00571542482734377
33720,2017-11-15,0.422205,0.433935,0.368767,0.384142,"817,698","31,596,200",ENG,-0.0901528878151609
33721,2017-11-14,0.416159,0.435542,0.373859,0.422058,"838,668","31,143,800",ENG,0.0141748706624151
33722,2017-11-13,0.389285,0.444601,0.388966,0.414016,"895,470","29,132,600",ENG,0.0635292908794328
33723,2017-11-12,0.41911000000000004,0.43597600000000003,0.31759499999999996,0.389165,"784,228","31,364,600",ENG,-0.0714490229295412
33724,2017-11-11,0.43355299999999997,0.457768,0.413901,0.43842,"705,945","32,445,500",ENG,0.0112258478202203
33725,2017-11-10,0.511324,0.5293180000000001,0.412601,0.43562700000000004,"1,027,690","38,265,500",ENG,-0.148041163723979
33726,2017-11-09,0.441582,0.513131,0.434591,0.49985100000000005,"1,203,220","33,046,300",ENG,0.131955106865769
33727,2017-11-08,0.389973,0.474447,0.388243,0.442263,"834,389","29,184,100",ENG,0.134086205968105
33728,2017-11-07,0.369778,0.40971899999999994,0.366544,0.390498,"671,402","27,672,800",ENG,0.0560336201721033
33729,2017-11-06,0.368104,0.371847,0.350189,0.361921,"550,690","27,547,500",ENG,-0.0167968834894486
33730,2017-11-05,0.398194,0.399802,0.362702,0.367586,"420,329","29,799,300",ENG,-0.0768670547522061
33731,2017-11-04,0.36982600000000004,0.405075,0.368516,0.396444,"350,618","27,676,400",ENG,0.07197438795541701
33732,2017-11-03,0.35595,0.387761,0.339827,0.373347,"500,177","26,637,900",ENG,0.0488748419721871
33733,2017-11-02,0.355558,0.36294099999999996,0.315834,0.355476,"567,884","26,608,600",ENG,-0.000230623414463944
33734,2017-11-01,0.381747,0.392088,0.353966,0.35720799999999997,"518,933","28,568,500",ENG,-0.0642807933002747
33735,2017-10-31,0.388793,0.403751,0.376058,0.382537,"461,916","29,095,800",ENG,-0.0160908246804855
33736,2017-10-30,0.400765,0.40112600000000004,0.383357,0.389758,"457,524","29,991,700",ENG,-0.027464973238681002
33737,2017-10-29,0.40673400000000004,0.41757,0.39215500000000003,0.402563,"495,022","30,438,400",ENG,-0.0102548594413056
33738,2017-10-28,0.42645500000000003,0.43607700000000005,0.40319299999999997,0.407175,"405,700","31,914,200",ENG,-0.0452099283628987
33739,2017-10-27,0.462128,0.46827799999999997,0.415419,0.426756,"413,008","34,583,900",ENG,-0.0765415642419415
33740,2017-10-26,0.454953,0.470405,0.443884,0.46258599999999994,"622,219","34,047,000",ENG,0.0167775572421767
33741,2017-10-25,0.42235100000000003,0.511578,0.412157,0.458229,"1,262,400","31,607,100",ENG,0.08494830129442099
33742,2017-10-24,0.383662,0.422203,0.378806,0.422203,"793,814","28,711,800",ENG,0.100455609364493
33743,2017-10-23,0.406975,0.423691,0.379764,0.38412399999999997,"447,621","30,456,500",ENG,-0.056148412064623
33744,2017-10-22,0.425195,0.442734,0.406965,0.40739200000000003,"605,007","31,819,900",ENG,-0.0418702007314291
33745,2017-10-21,0.46996400000000005,0.46996400000000005,0.404858,0.423401,"558,247","35,170,300",ENG,-0.0990778017039602
33746,2017-10-20,0.494217,0.494217,0.41709300000000005,0.469527,"1,160,220","36,985,300",ENG,-0.0499578120542191
33747,2017-10-19,0.495055,0.524968,0.45980600000000005,0.480203,"879,049","37,048,000",ENG,-0.0300007069921524
33748,2017-10-18,0.515359,0.5377430000000001,0.465542,0.49540200000000006,"1,129,090","38,567,500",ENG,-0.0387244619769908
33749,2017-10-17,0.6004109999999999,0.60329,0.49282600000000004,0.51857,"1,389,300","44,932,500",ENG,-0.13630829548426
33750,2017-10-16,0.641408,0.690951,0.5785779999999999,0.58434,"1,919,030","48,000,600",ENG,-0.0889730093793654
33751,2017-10-15,0.68301,0.69809,0.61805,0.638653,"1,433,930","51,113,900",ENG,-0.0649434122487225
33752,2017-10-14,0.632935,0.748871,0.619151,0.69377,"1,866,780",-,ENG,0.0961157148838348
33753,2017-10-13,0.613334,0.886703,0.562984,0.655682,"4,043,320",-,ENG,0.0690455771243726
