Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
233285,2018-01-10,3.17,3.25,2.72,3.03,"554,962","13,978,700",EXCL,-0.0441640378548896
233286,2018-01-09,3.33,3.38,2.97,3.16,"724,676","14,667,000",EXCL,-0.05105105105105099
233287,2018-01-08,3.46,3.76,2.68,3.21,"1,005,730","15,263,100",EXCL,-0.0722543352601156
233288,2018-01-07,3.42,3.61,3.24,3.4,"453,438","15,053,500",EXCL,-0.00584795321637427
233289,2018-01-06,2.87,3.8,2.61,3.42,"1,246,120","12,624,100",EXCL,0.19163763066202105
233290,2018-01-05,3.04,3.91,2.67,2.75,"1,627,660","13,364,200",EXCL,-0.0953947368421053
233291,2018-01-04,2.96,3.23,2.72,3.04,"1,139,670","13,009,800",EXCL,0.0270270270270271
233292,2018-01-03,2.87,3.12,2.59,2.94,"933,629","12,621,200",EXCL,0.024390243902439
233293,2018-01-02,2.72,3.17,2.64,2.87,"936,507","11,966,800",EXCL,0.0551470588235294
233294,2018-01-01,2.74,2.85,2.53,2.72,"576,426","12,036,400",EXCL,-0.007299270072992709
233295,2017-12-31,2.61,2.84,2.51,2.73,"580,704","11,489,700",EXCL,0.0459770114942529
233296,2017-12-30,3.04,3.27,2.43,2.64,"1,053,490","13,372,800",EXCL,-0.131578947368421
233297,2017-12-29,3.17,3.67,2.9,3.06,"1,445,530","13,914,000",EXCL,-0.0347003154574132
233298,2017-12-28,3.44,3.44,2.61,3.15,"610,347","15,112,700",EXCL,-0.0843023255813954
233299,2017-12-27,3.2,3.64,3.11,3.45,"1,045,490","14,039,900",EXCL,0.078125
233300,2017-12-26,3.67,3.84,2.91,3.25,"2,472,590","16,087,900",EXCL,-0.114441416893733
233301,2017-12-25,2.71,4.8,2.58,3.63,"17,206,400","11,895,800",EXCL,0.339483394833948
233302,2017-12-24,2.2,3.19,2.01,2.7,"4,065,200","9,659,820",EXCL,0.22727272727272702
233303,2017-12-23,1.79,2.58,1.77,2.18,"2,464,030","7,860,500",EXCL,0.217877094972067
