Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
283472,2018-01-10,6.34,6.96,5.86,6.03,"9,148","5,390,260",FYN,-0.0488958990536277
283473,2018-01-09,5.8,6.39,4.46,6.34,"8,340","4,925,980",FYN,0.0931034482758621
283474,2018-01-08,5.68,6.24,4.8,5.81,"6,959","4,829,070",FYN,0.022887323943662
283475,2018-01-07,5.13,5.66,4.61,5.63,"7,090","4,356,340",FYN,0.0974658869395712
283476,2018-01-06,4.91,5.22,4.87,5.13,"1,023","4,171,820",FYN,0.0448065173116089
283477,2018-01-05,4.68,5.16,4.6,4.88,"5,158","3,976,710",FYN,0.0427350427350428
283478,2018-01-04,4.69,4.87,4.46,4.7,"16,690","3,988,580",FYN,0.00213219616204686
283479,2018-01-03,4.34,4.73,3.92,4.68,"11,199","3,692,120",FYN,0.0783410138248848
283480,2018-01-02,3.45,4.5,3.45,4.32,"15,853","2,928,850",FYN,0.25217391304347797
283481,2018-01-01,4.0,4.12,3.44,3.44,"12,555","3,402,740",FYN,-0.14
283482,2017-12-31,3.69,4.01,3.66,4.01,"3,555","3,139,270",FYN,0.086720867208672
283483,2017-12-30,3.62,3.87,3.38,3.73,"5,707","3,077,880",FYN,0.0303867403314917
283484,2017-12-29,3.86,3.96,3.36,3.62,"17,864","3,280,890",FYN,-0.0621761658031088
283485,2017-12-28,3.36,3.88,3.15,3.84,"20,742","2,856,440",FYN,0.14285714285714302
283486,2017-12-27,3.28,3.46,3.19,3.37,"8,415","2,787,520",FYN,0.027439024390244
283487,2017-12-26,3.27,3.41,3.22,3.27,204,"2,775,540",FYN,0.0
283488,2017-12-25,2.6,3.38,2.6,3.26,"11,011","2,209,150",FYN,0.253846153846154
283489,2017-12-24,2.7,2.8,2.41,2.59,896,"2,296,250",FYN,-0.0407407407407409
283490,2017-12-23,2.65,3.0,2.63,2.67,"3,872","2,248,350",FYN,0.007547169811320759
283491,2017-12-22,3.09,3.1,2.04,2.63,"2,979","2,623,800",FYN,-0.148867313915858
283492,2017-12-21,3.43,3.7,3.0,3.08,"8,959","2,912,990",FYN,-0.10204081632653099
283493,2017-12-20,4.14,4.14,3.31,3.42,"9,589","3,517,780",FYN,-0.17391304347826098
283494,2017-12-19,3.54,6.74,1.06,4.14,"10,839","3,008,410",FYN,0.169491525423729
283495,2017-12-18,3.11,3.63,3.03,3.55,"10,106","2,644,780",FYN,0.141479099678457
283496,2017-12-17,3.22,3.54,3.1,3.12,"3,830","2,738,700",FYN,-0.031055900621117995
283497,2017-12-16,2.87,3.49,2.42,3.21,"7,600","2,441,920",FYN,0.11846689895470401
283498,2017-12-15,3.63,3.7,2.4,2.87,"20,528","3,082,150",FYN,-0.20936639118457298
283499,2017-12-14,3.22,4.21,3.05,3.62,"15,028","2,739,040",FYN,0.12422360248447198
283500,2017-12-13,3.29,4.04,2.91,3.22,"14,055","2,796,860",FYN,-0.0212765957446808
283501,2017-12-12,2.67,3.55,2.6,3.29,"26,091","2,267,840",FYN,0.23220973782771498
283502,2017-12-11,2.62,3.27,2.44,2.69,"15,022","2,223,150",FYN,0.0267175572519083
283503,2017-12-10,2.96,2.96,2.29,2.61,"6,637","2,519,690",FYN,-0.11824324324324301
283504,2017-12-09,2.06,3.28,2.06,2.95,"25,754","1,750,200",FYN,0.43203883495145595
283505,2017-12-08,1.58,2.1,1.52,2.06,"17,399","1,343,340",FYN,0.30379746835443
283506,2017-12-07,1.69,1.95,1.55,1.58,526,"1,439,730",FYN,-0.0650887573964496
283507,2017-12-06,1.85,2.11,1.67,1.7,"9,238","1,574,670",FYN,-0.0810810810810812
283508,2017-12-05,1.8,2.04,1.79,1.86,"1,564","1,528,830",FYN,0.0333333333333334
283509,2017-12-04,1.81,2.15,1.79,1.8,"6,306","1,535,000",FYN,-0.00552486187845304
283510,2017-12-03,2.01,2.21,1.78,1.8,611,"1,705,090",FYN,-0.104477611940298
283511,2017-12-02,2.12,2.54,1.77,2.01,"11,653","1,805,860",FYN,-0.0518867924528303
283512,2017-12-01,2.21,2.45,1.92,2.12,"9,215","1,881,420",FYN,-0.0407239819004524
283513,2017-11-30,1.78,2.29,1.61,2.22,"6,312","1,513,580",FYN,0.247191011235955
283514,2017-11-29,1.67,3.0,1.67,1.76,"9,212","1,419,700",FYN,0.0538922155688623
283515,2017-11-28,2.14,2.42,1.67,1.67,"12,117","1,819,830",FYN,-0.21962616822429898
283516,2017-11-27,2.51,2.52,1.5,2.14,"13,367","2,131,980",FYN,-0.147410358565737
