Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
150954,2018-01-10,29.78,29.78,24.66,28.4,"344,223","35,739,900",GAM,-0.0463398253861653
150955,2018-01-09,30.57,35.35,29.35,29.54,"426,482","36,688,800",GAM,-0.0336931632319268
150956,2018-01-08,34.56,35.96,28.49,30.65,"297,286","41,484,500",GAM,-0.11313657407407401
150957,2018-01-07,25.63,46.38,24.45,35.25,"1,634,430","30,763,600",GAM,0.375341396800624
150958,2018-01-06,23.78,25.89,22.91,25.65,"63,748","28,538,000",GAM,0.0786375105130361
150959,2018-01-05,23.19,24.36,22.33,23.76,"96,251","27,835,900",GAM,0.0245795601552393
150960,2018-01-04,23.27,24.95,22.29,23.19,"141,701","27,931,100",GAM,-0.00343790287924359
150961,2018-01-03,22.81,26.61,19.9,23.6,"216,236","27,366,800",GAM,0.034633932485752
150962,2018-01-02,19.85,22.39,17.45,22.23,"17,186","23,820,800",GAM,0.119899244332494
150963,2018-01-01,20.56,20.57,18.98,19.85,"266,952","24,667,300",GAM,-0.034533073929960995
150964,2017-12-31,18.69,20.94,18.51,20.48,"275,354","22,432,000",GAM,0.0957731407169609
150965,2017-12-30,21.31,21.32,17.9,18.9,"254,117","25,574,600",GAM,-0.11309244486156698
150966,2017-12-29,21.27,22.24,20.77,21.37,"287,313","25,524,500",GAM,0.004701457451810129
150967,2017-12-28,22.81,22.91,20.03,21.05,"283,101","27,372,200",GAM,-0.0771591407277509
150968,2017-12-27,23.29,24.35,21.64,22.86,"307,404","27,938,400",GAM,-0.0184628595963933
150969,2017-12-26,20.48,23.73,20.4,23.27,"312,881","24,573,400",GAM,0.13623046875
150970,2017-12-25,20.71,21.31,19.51,20.5,"275,679","24,850,600",GAM,-0.0101400289715114
150971,2017-12-24,21.48,21.48,18.48,20.5,"275,644","25,766,800",GAM,-0.0456238361266294
150972,2017-12-23,20.27,23.02,19.99,21.24,"285,624","24,324,600",GAM,0.0478539713862851
