Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
48007,2018-01-10,6.45,6.49,5.46,6.07,"13,609,500","414,982,000",GAME,-0.0589147286821705
48008,2018-01-09,5.22,6.9,5.15,6.45,"35,299,500","336,080,000",GAME,0.23563218390804605
48009,2018-01-08,5.03,5.26,4.46,5.23,"9,287,700","323,703,000",GAME,0.0397614314115309
48010,2018-01-07,4.93,5.42,4.79,4.99,"9,150,090","317,583,000",GAME,0.0121703853955376
48011,2018-01-06,4.56,5.28,4.32,4.93,"9,941,380","293,697,000",GAME,0.08114035087719298
48012,2018-01-05,4.57,4.99,4.43,4.55,"11,036,200","294,311,000",GAME,-0.00437636761487975
48013,2018-01-04,4.48,5.06,4.23,4.54,"13,845,300","288,309,000",GAME,0.0133928571428571
48014,2018-01-03,4.78,4.78,4.34,4.47,"9,027,070","307,663,000",GAME,-0.0648535564853557
48015,2018-01-02,4.13,5.03,3.96,4.78,"13,983,400","265,998,000",GAME,0.15738498789346303
48016,2018-01-01,4.14,4.29,3.94,4.11,"3,980,400","266,494,000",GAME,-0.00724637681159405
48017,2017-12-31,4.01,4.27,3.82,4.13,"3,570,250","257,941,000",GAME,0.029925187032419
48018,2017-12-30,4.5,4.55,3.75,4.04,"5,524,760","289,298,000",GAME,-0.10222222222222198
48019,2017-12-29,4.13,4.68,3.95,4.52,"8,130,830","266,029,000",GAME,0.0944309927360774
48020,2017-12-28,4.31,4.33,3.67,4.09,"6,516,190","277,400,000",GAME,-0.0510440835266821
48021,2017-12-27,4.3,4.33,4.02,4.33,"6,719,920","276,472,000",GAME,0.0069767441860465705
48022,2017-12-26,4.67,4.73,3.95,4.31,"12,532,600","300,596,000",GAME,-0.0770877944325482
48023,2017-12-25,3.82,4.79,3.72,4.7,"13,790,200","245,542,000",GAME,0.230366492146597
48024,2017-12-24,3.7,3.86,3.2,3.78,"5,585,130","237,814,000",GAME,0.0216216216216215
48025,2017-12-23,3.42,4.02,3.32,3.65,"6,949,850","219,773,000",GAME,0.0672514619883041
48026,2017-12-22,4.59,4.68,2.61,3.42,"13,042,600","295,249,000",GAME,-0.254901960784314
48027,2017-12-21,3.5,4.59,3.48,4.41,"18,585,100","224,988,000",GAME,0.26
48028,2017-12-20,3.29,3.61,3.03,3.48,"7,362,870","211,987,000",GAME,0.0577507598784194
48029,2017-12-19,3.4,3.7,3.21,3.31,"9,986,900","219,041,000",GAME,-0.0264705882352941
48030,2017-12-18,2.75,3.55,2.62,3.4,"13,137,400","177,162,000",GAME,0.23636363636363603
48031,2017-12-17,2.58,2.83,2.56,2.74,"4,085,340","166,356,000",GAME,0.062015503875969005
48032,2017-12-16,2.48,2.66,2.47,2.58,"3,503,360","159,652,000",GAME,0.0403225806451613
48033,2017-12-15,2.58,2.6,2.26,2.52,"4,665,230","165,798,000",GAME,-0.0232558139534884
48034,2017-12-14,2.59,2.79,2.31,2.58,"11,765,500","166,968,000",GAME,-0.0038610038610037796
48035,2017-12-13,2.13,2.46,2.06,2.41,"7,516,340","136,942,000",GAME,0.131455399061033
48036,2017-12-12,2.14,2.27,2.01,2.11,"6,143,380","137,442,000",GAME,-0.0140186915887852
48037,2017-12-11,2.01,2.17,2.01,2.13,"2,916,530","129,314,000",GAME,0.0597014925373135
48038,2017-12-10,2.27,2.36,1.89,2.02,"6,439,660","146,250,000",GAME,-0.11013215859030802
48039,2017-12-09,1.89,2.29,1.87,2.29,"5,956,680","121,408,000",GAME,0.21164021164021202
48040,2017-12-08,1.81,2.11,1.75,1.89,"3,340,480","116,543,000",GAME,0.0441988950276242
48041,2017-12-07,2.03,2.05,1.78,1.86,"4,698,860","130,482,000",GAME,-0.0837438423645319
48042,2017-12-06,2.16,2.3,1.91,1.97,"5,343,500","139,243,000",GAME,-0.087962962962963
48043,2017-12-05,2.21,2.27,2.16,2.17,"3,994,600","141,945,000",GAME,-0.0180995475113122
48044,2017-12-04,2.06,2.25,2.03,2.2,"4,413,140","132,847,000",GAME,0.0679611650485437
48045,2017-12-03,2.0,2.2,1.94,2.06,"1,854,820","128,588,000",GAME,0.03
48046,2017-12-02,2.03,2.06,1.96,1.99,"917,408","130,502,000",GAME,-0.0197044334975369
48047,2017-12-01,1.94,2.14,1.87,2.02,"2,001,090","125,115,000",GAME,0.0412371134020619
48048,2017-11-30,1.84,2.14,1.78,1.94,"3,191,210","118,623,000",GAME,0.0543478260869564
48049,2017-11-29,2.11,2.18,1.74,1.82,"3,755,570","135,993,000",GAME,-0.13744075829383898
48050,2017-11-28,2.14,2.19,2.07,2.12,"2,353,220","137,609,000",GAME,-0.00934579439252337
48051,2017-11-27,2.12,2.23,2.08,2.13,"2,535,900","136,674,000",GAME,0.00471698113207537
48052,2017-11-26,2.18,2.21,2.1,2.12,"2,029,540","140,450,000",GAME,-0.0275229357798165
48053,2017-11-25,2.03,2.18,2.01,2.18,"2,468,040","130,842,000",GAME,0.0738916256157637
48054,2017-11-24,1.96,2.07,1.92,2.04,"3,029,340","126,085,000",GAME,0.0408163265306123
48055,2017-11-23,1.98,1.99,1.94,1.96,"1,472,800","127,350,000",GAME,-0.0101010101010101
48056,2017-11-22,1.96,1.99,1.93,1.97,"1,497,810","126,400,000",GAME,0.00510204081632654
48057,2017-11-21,1.94,2.04,1.84,1.97,"1,736,580","125,097,000",GAME,0.0154639175257732
48058,2017-11-20,1.94,2.06,1.88,1.94,"1,783,280","124,695,000",GAME,0.0
48059,2017-11-19,1.89,1.95,1.88,1.95,"1,101,890","121,478,000",GAME,0.0317460317460318
48060,2017-11-18,1.86,1.94,1.81,1.9,"1,244,960","119,506,000",GAME,0.0215053763440859
48061,2017-11-17,1.9,1.94,1.8,1.86,"2,192,430","122,344,000",GAME,-0.0210526315789473
48062,2017-11-16,2.05,2.11,1.88,1.91,"3,323,670","131,661,000",GAME,-0.0682926829268292
48063,2017-11-15,1.82,2.32,1.78,2.03,"6,610,010","117,366,000",GAME,0.115384615384615
48064,2017-11-14,1.76,1.82,1.74,1.82,"1,035,830","113,410,000",GAME,0.0340909090909091
48065,2017-11-13,1.63,1.82,1.63,1.75,"1,807,720","104,821,000",GAME,0.0736196319018406
48066,2017-11-12,1.76,1.77,1.47,1.63,"2,147,930","113,271,000",GAME,-0.0738636363636364
48067,2017-11-11,1.81,1.87,1.71,1.76,"1,358,610","116,174,000",GAME,-0.0276243093922652
48068,2017-11-10,1.99,2.03,1.72,1.81,"1,473,550","128,085,000",GAME,-0.0904522613065326
48069,2017-11-09,1.93,2.04,1.9,1.99,"1,392,390","123,905,000",GAME,0.0310880829015544
48070,2017-11-08,1.74,2.04,1.71,1.93,"3,102,200","112,091,000",GAME,0.109195402298851
48071,2017-11-07,1.67,1.77,1.62,1.74,"971,420","107,525,000",GAME,0.0419161676646707
48072,2017-11-06,1.69,1.73,1.62,1.68,"761,770","108,971,000",GAME,-0.00591715976331361
48073,2017-11-05,1.65,1.71,1.61,1.69,"553,484","106,067,000",GAME,0.0242424242424243
48074,2017-11-04,1.67,1.76,1.62,1.65,"557,297","107,610,000",GAME,-0.0119760479041916
48075,2017-11-03,1.64,1.68,1.53,1.67,"1,170,970","105,286,000",GAME,0.0182926829268293
48076,2017-11-02,1.7,1.7,1.51,1.64,"1,564,750","109,314,000",GAME,-0.0352941176470589
48077,2017-11-01,1.82,1.82,1.69,1.7,"1,072,910","116,876,000",GAME,-0.06593406593406599
48078,2017-10-31,1.92,1.94,1.81,1.82,"1,142,070","123,515,000",GAME,-0.0520833333333333
48079,2017-10-30,1.92,1.96,1.86,1.93,"668,059","123,282,000",GAME,0.00520833333333334
48080,2017-10-29,1.9,1.95,1.87,1.93,"1,151,120","122,298,000",GAME,0.0157894736842105
48081,2017-10-28,1.96,2.01,1.89,1.9,"603,410","125,948,000",GAME,-0.0306122448979592
48082,2017-10-27,2.06,2.11,1.95,1.95,"1,094,600","132,798,000",GAME,-0.0533980582524272
48083,2017-10-26,2.17,2.24,2.04,2.07,"1,447,700","139,354,000",GAME,-0.0460829493087558
48084,2017-10-25,2.2,2.21,1.99,2.17,"1,871,490","141,558,000",GAME,-0.0136363636363637
48085,2017-10-24,2.14,2.42,2.04,2.2,"3,906,410","137,851,000",GAME,0.0280373831775701
48086,2017-10-23,2.03,2.53,1.96,2.14,"8,010,500","130,866,000",GAME,0.0541871921182268
48087,2017-10-22,1.92,2.16,1.79,2.03,"1,366,560","123,603,000",GAME,0.0572916666666666
48088,2017-10-21,1.92,1.98,1.84,1.92,"817,991","123,586,000",GAME,0.0
48089,2017-10-20,1.82,2.14,1.79,1.93,"2,855,350","117,251,000",GAME,0.0604395604395604
48090,2017-10-19,1.81,1.94,1.78,1.82,"674,392","116,765,000",GAME,0.00552486187845304
48091,2017-10-18,1.9,1.9,1.76,1.81,"820,396","122,594,000",GAME,-0.0473684210526315
48092,2017-10-17,1.93,1.94,1.79,1.91,"549,877","124,231,000",GAME,-0.0103626943005181
48093,2017-10-16,1.97,1.97,1.78,1.93,"930,360","127,020,000",GAME,-0.0203045685279188
48094,2017-10-15,1.66,2.11,1.58,1.97,"2,592,690","106,820,000",GAME,0.186746987951807
48095,2017-10-14,1.8,1.82,1.66,1.66,"661,199","115,670,000",GAME,-0.0777777777777778
48096,2017-10-13,1.89,1.9,1.73,1.8,"1,352,950","121,843,000",GAME,-0.0476190476190475
48097,2017-10-12,1.95,1.95,1.84,1.89,"1,488,820","125,532,000",GAME,-0.0307692307692308
48098,2017-10-11,1.95,2.01,1.89,1.95,"767,618","125,205,000",GAME,0.0
48099,2017-10-10,1.86,2.02,1.8,1.93,"1,174,270","119,531,000",GAME,0.0376344086021504
48100,2017-10-09,1.87,2.1,1.75,1.85,"2,442,240","120,294,000",GAME,-0.0106951871657754
48101,2017-10-08,2.23,2.25,1.87,1.87,"1,823,290","143,345,000",GAME,-0.161434977578475
48102,2017-10-07,2.41,2.42,2.12,2.23,"1,268,450","155,060,000",GAME,-0.074688796680498
48103,2017-10-06,2.31,2.48,2.26,2.4,"1,472,460","148,489,000",GAME,0.0389610389610389
48104,2017-10-05,2.51,2.51,2.29,2.32,"1,571,880","161,380,000",GAME,-0.0756972111553785
48105,2017-10-04,2.54,2.62,2.44,2.51,"1,260,330","163,402,000",GAME,-0.0118110236220473
48106,2017-10-03,2.43,2.62,2.32,2.54,"3,095,210","156,376,000",GAME,0.0452674897119341
48107,2017-10-02,2.41,2.53,2.37,2.43,"1,415,940","155,059,000",GAME,0.008298755186721999
48108,2017-10-01,2.34,2.53,2.31,2.41,"1,836,900","150,545,000",GAME,0.02991452991453
48109,2017-09-30,2.33,2.42,2.28,2.34,"853,001","150,066,000",GAME,0.00429184549356214
48110,2017-09-29,2.38,2.52,2.12,2.32,"2,372,370","152,972,000",GAME,-0.0252100840336135
48111,2017-09-28,2.44,2.55,2.33,2.36,"3,138,900","157,147,000",GAME,-0.0327868852459017
48112,2017-09-27,2.34,2.54,2.27,2.45,"3,783,720","150,396,000",GAME,0.0470085470085471
48113,2017-09-26,2.02,2.62,1.91,2.36,"10,948,500","129,896,000",GAME,0.168316831683168
48114,2017-09-25,1.61,2.03,1.59,2.03,"2,243,700","103,187,000",GAME,0.260869565217391
48115,2017-09-24,1.74,1.74,1.58,1.61,"402,430","111,844,000",GAME,-0.0747126436781609
48116,2017-09-23,1.55,1.77,1.49,1.74,"895,482","99,307,700",GAME,0.12258064516129
48117,2017-09-22,1.54,1.63,1.43,1.55,"649,472","98,831,100",GAME,0.0064935064935065
48118,2017-09-21,1.72,1.86,1.5,1.52,"1,195,930","110,624,000",GAME,-0.116279069767442
48119,2017-09-20,1.69,1.82,1.65,1.72,"921,967","108,579,000",GAME,0.0177514792899408
48120,2017-09-19,1.7,1.81,1.64,1.69,"1,316,240","109,070,000",GAME,-0.00588235294117648
48121,2017-09-18,1.5,1.89,1.49,1.71,"1,811,170","96,026,200",GAME,0.14
48122,2017-09-17,1.52,1.55,1.34,1.49,"661,268","97,757,700",GAME,-0.0197368421052632
48123,2017-09-16,1.34,1.59,1.31,1.52,"1,649,780","86,172,000",GAME,0.134328358208955
48124,2017-09-15,1.21,1.43,0.9551200000000001,1.35,"1,299,090","77,735,800",GAME,0.115702479338843
48125,2017-09-14,1.55,1.88,1.2,1.2,"1,405,720","99,754,000",GAME,-0.22580645161290303
48126,2017-09-13,1.75,1.76,1.47,1.56,"2,050,030","112,350,000",GAME,-0.10857142857142899
48127,2017-09-12,1.8,2.01,1.74,1.76,"2,261,460","115,700,000",GAME,-0.0222222222222222
48128,2017-09-11,1.81,1.92,1.67,1.79,"2,430,640","116,064,000",GAME,-0.0110497237569061
48129,2017-09-10,1.94,1.94,1.67,1.81,"1,695,730","124,482,000",GAME,-0.0670103092783505
48130,2017-09-09,1.98,2.01,1.87,1.94,"2,240,640","127,108,000",GAME,-0.0202020202020202
48131,2017-09-08,2.05,2.46,1.91,1.99,"6,167,300","131,375,000",GAME,-0.0292682926829268
48132,2017-09-07,2.06,2.09,1.99,2.06,"1,847,210","131,842,000",GAME,0.0
48133,2017-09-06,1.99,2.15,1.85,2.06,"2,858,390","127,644,000",GAME,0.035175879396985
48134,2017-09-05,1.77,2.0,1.53,1.99,"2,667,810","113,560,000",GAME,0.12429378531073401
48135,2017-09-04,2.12,2.13,1.62,1.76,"3,191,880","135,693,000",GAME,-0.169811320754717
48136,2017-09-03,2.12,2.2,2.04,2.12,"1,430,670","135,854,000",GAME,0.0
48137,2017-09-02,2.38,2.64,2.06,2.12,"2,464,720","152,524,000",GAME,-0.10924369747899199
48138,2017-09-01,2.25,2.43,2.21,2.41,"3,737,830","143,995,000",GAME,0.0711111111111112
48139,2017-08-31,2.16,2.61,2.12,2.25,"3,026,820","138,087,000",GAME,0.0416666666666666
48140,2017-08-30,2.23,2.25,2.08,2.17,"2,683,720","142,921,000",GAME,-0.0269058295964126
48141,2017-08-29,2.32,2.35,2.23,2.24,"3,787,880","148,425,000",GAME,-0.0344827586206895
48142,2017-08-28,2.32,2.39,2.23,2.3,"3,144,570","148,115,000",GAME,-0.00862068965517242
48143,2017-08-27,2.3,2.43,2.24,2.32,"2,878,240","147,245,000",GAME,0.00869565217391305
48144,2017-08-26,2.31,2.59,2.28,2.29,"3,929,580","147,999,000",GAME,-0.00865800865800866
48145,2017-08-25,2.35,2.36,2.16,2.31,"3,314,440","149,944,000",GAME,-0.0170212765957447
48146,2017-08-24,2.37,2.45,2.31,2.35,"3,827,290","151,577,000",GAME,-0.00843881856540085
48147,2017-08-23,2.14,2.55,2.12,2.38,"6,429,520","136,787,000",GAME,0.11214953271027998
48148,2017-08-22,1.98,2.26,1.81,2.15,"5,653,240","126,290,000",GAME,0.0858585858585858
48149,2017-08-21,2.3,2.41,1.95,1.99,"5,059,610","147,276,000",GAME,-0.134782608695652
48150,2017-08-20,1.76,2.35,1.76,2.32,"6,754,180","112,712,000",GAME,0.31818181818181795
48151,2017-08-19,1.81,1.95,1.62,1.78,"1,832,220","115,776,000",GAME,-0.0165745856353591
48152,2017-08-18,1.98,1.99,1.74,1.82,"1,676,650","126,455,000",GAME,-0.0808080808080808
48153,2017-08-17,2.15,2.16,1.84,1.97,"3,020,490","137,469,000",GAME,-0.0837209302325581
48154,2017-08-16,2.21,2.28,2.03,2.14,"2,497,870","141,032,000",GAME,-0.0316742081447963
48155,2017-08-15,1.95,2.38,1.8,2.2,"5,215,840","124,230,000",GAME,0.12820512820512803
48156,2017-08-14,2.21,2.27,1.86,1.93,"2,991,320","140,841,000",GAME,-0.126696832579186
48157,2017-08-13,2.4,2.45,2.08,2.22,"3,634,520","153,245,000",GAME,-0.0749999999999999
48158,2017-08-12,2.51,2.79,2.29,2.4,"4,298,140","160,429,000",GAME,-0.0438247011952191
48159,2017-08-11,2.47,2.76,2.43,2.53,"5,862,560","157,590,000",GAME,0.0242914979757083
48160,2017-08-10,3.35,3.47,2.37,2.37,"10,042,600","213,700,000",GAME,-0.292537313432836
48161,2017-08-09,3.14,3.32,2.88,3.32,"2,315,230","200,271,000",GAME,0.0573248407643311
48162,2017-08-08,3.22,3.23,3.07,3.14,"3,565,400","205,171,000",GAME,-0.0248447204968944
48163,2017-08-07,2.73,3.31,2.67,3.2,"4,891,900","174,140,000",GAME,0.172161172161172
48164,2017-08-06,2.67,2.8,2.6,2.74,"1,603,790","170,037,000",GAME,0.0262172284644196
48165,2017-08-05,2.48,2.78,2.48,2.66,"1,920,400","157,977,000",GAME,0.0725806451612904
48166,2017-08-04,2.98,2.98,2.44,2.48,"1,860,140","189,848,000",GAME,-0.16778523489932903
48167,2017-08-03,2.25,3.04,2.23,2.96,"1,683,180","143,038,000",GAME,0.31555555555555603
