Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
152371,2018-01-10,0.387117,0.392793,0.346279,0.35397399999999996,"803,707","40,103,600",GCR,-0.0856149432858799
152372,2018-01-09,0.3963,0.43530100000000005,0.38159499999999996,0.38661,"1,154,610","41,053,700",GCR,-0.024451173353519998
152373,2018-01-08,0.412415,0.422429,0.34348,0.395431,"1,613,710","42,721,900",GCR,-0.0411818192839737
152374,2018-01-07,0.39226500000000003,0.44793900000000003,0.381248,0.408928,"1,693,180","40,632,700",GCR,0.0424789364332786
152375,2018-01-06,0.355986,0.416968,0.353004,0.39221,"1,741,290","36,873,700",GCR,0.101756810661093
152376,2018-01-05,0.433196,0.45229300000000006,0.344277,0.34453,"3,784,810","44,869,900",GCR,-0.204678713561529
152377,2018-01-04,0.415274,0.499259,0.389596,0.435079,"6,167,350","43,012,500",GCR,0.047691403747886996
152378,2018-01-03,0.34735,0.46002200000000004,0.31812199999999996,0.413012,"4,201,000","35,976,000",GCR,0.189036994386066
152379,2018-01-02,0.401271,0.42953,0.317316,0.349181,"5,791,350","41,559,500",GCR,-0.12981252071542698
152380,2018-01-01,0.274597,0.45198699999999997,0.264193,0.400898,"5,828,970","28,439,100",GCR,0.459950400040787
152381,2017-12-31,0.2285,0.294373,0.22186999999999998,0.273538,"1,753,040","23,664,300",GCR,0.19710284463895
152382,2017-12-30,0.263567,0.263908,0.210576,0.23086700000000002,"1,025,950","27,295,100",GCR,-0.124067125247091
152383,2017-12-29,0.24628899999999998,0.27202600000000005,0.235789,0.264376,"758,942","25,504,900",GCR,0.0734381153847715
152384,2017-12-28,0.24667199999999997,0.255623,0.21853000000000003,0.242052,"949,780","25,543,700",GCR,-0.0187293247713563
152385,2017-12-27,0.25904499999999997,0.290838,0.232935,0.24734499999999998,"939,636","26,824,200",GCR,-0.0451658978169817
152386,2017-12-26,0.272853,0.288715,0.23681300000000002,0.2587,"1,221,360","28,253,100",GCR,-0.0518704210692205
152387,2017-12-25,0.245275,0.286356,0.24002199999999999,0.27313200000000004,"1,582,200","25,396,800",GCR,0.11357455916827999
152388,2017-12-24,0.228758,0.246356,0.20580199999999998,0.24067,"728,570","23,685,900",GCR,0.0520724958252826
152389,2017-12-23,0.206294,0.261341,0.205406,0.22669299999999998,"1,315,470","21,359,400",GCR,0.0988831473528072
152390,2017-12-22,0.273287,0.275979,0.156228,0.203954,"741,774","28,295,000",GCR,-0.253700322371719
152391,2017-12-21,0.234051,0.31351799999999996,0.232727,0.272343,"2,449,710","24,231,900",GCR,0.163605368060807
152392,2017-12-20,0.25142600000000004,0.261927,0.211096,0.235083,"1,590,160","26,030,100",GCR,-0.0650012329671553
152393,2017-12-19,0.278776,0.290016,0.233619,0.252027,"1,261,950","28,860,800",GCR,-0.0959515883720264
152394,2017-12-18,0.257358,0.29273899999999997,0.238911,0.281023,"1,304,090","26,642,800",GCR,0.09195362102596401
152395,2017-12-17,0.26409699999999997,0.283113,0.25112199999999996,0.25258,"1,087,970","27,339,400",GCR,-0.0436089770046612
152396,2017-12-16,0.23399,0.28284000000000004,0.22968899999999998,0.265814,"1,514,450","24,222,000",GCR,0.136005812214197
152397,2017-12-15,0.26476,0.265873,0.216042,0.22873200000000002,"2,097,530","27,406,300",GCR,-0.13607795739537698
152398,2017-12-14,0.288094,0.304272,0.257365,0.264363,"1,943,550","29,820,600",GCR,-0.0823724201128798
152399,2017-12-13,0.292665,0.324326,0.276475,0.289022,"2,499,170","30,292,400",GCR,-0.0124476790870108
152400,2017-12-12,0.380046,0.407643,0.29193800000000003,0.29241999999999996,"4,702,040","39,335,200",GCR,-0.230566826121048
152401,2017-12-11,0.22951100000000002,0.43925,0.22395700000000002,0.377656,"15,239,800","23,753,600",GCR,0.645481044481528
152402,2017-12-10,0.209173,0.29481399999999996,0.172906,0.223354,"3,203,930","21,647,800",GCR,0.067795556787922
152403,2017-12-09,0.221344,0.238933,0.189656,0.20854,"1,112,840","22,906,400",GCR,-0.0578466098019373
152404,2017-12-08,0.226021,0.268302,0.179066,0.22758899999999999,"2,883,900","23,389,400",GCR,0.00693740847089436
152405,2017-12-07,0.333906,0.403744,0.212427,0.226356,"5,046,010","34,552,000",GCR,-0.322096637975957
152406,2017-12-06,0.43651599999999996,0.5138590000000001,0.254245,0.338885,"25,702,500","45,168,100",GCR,-0.223659613851497
152407,2017-12-05,0.197616,0.444486,0.187379,0.43595500000000004,"15,624,000","20,447,200",GCR,1.20607137073921
152408,2017-12-04,0.166507,0.211058,0.166169,0.1999,"2,357,970","17,227,800",GCR,0.20055012702168698
152409,2017-12-03,0.174707,0.18270799999999998,0.157212,0.170541,"1,114,520","18,075,300",GCR,-0.0238456386979343
