Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
354849,2018-01-10,0.16279100000000002,0.171756,0.126752,0.148303,"26,771","2,168,030",HPC,-0.0889975490045519
354850,2018-01-09,0.13727899999999998,0.180168,0.135631,0.16262100000000002,"27,584","1,826,730",HPC,0.184602160563524
354851,2018-01-08,0.16713599999999998,0.16713599999999998,0.11367100000000001,0.146963,"32,991","2,222,570",HPC,-0.120698114110664
354852,2018-01-07,0.13333,0.199321,0.112784,0.160949,"24,960","1,772,060",HPC,0.20714767869196699
354853,2018-01-06,0.129261,0.15470799999999998,0.12119400000000001,0.133428,"12,271","1,716,820",HPC,0.0322371016780004
354854,2018-01-05,0.126424,0.14693699999999998,0.106083,0.129159,"30,861","1,677,900",HPC,0.0216335505916597
354855,2018-01-04,0.095962,0.124394,0.095962,0.124394,"16,231","1,272,530",HPC,0.296283945728518
354856,2018-01-03,0.083638,0.104903,0.077289,0.095437,"14,254","1,108,730",HPC,0.14107223989095902
354857,2018-01-02,0.077435,0.086601,0.06249400000000001,0.083932,"5,323","1,026,200",HPC,0.0839026280105896
354858,2018-01-01,0.06997,0.08480700000000001,0.062030999999999996,0.077441,"5,191","927,041",HPC,0.10677433185650999
354859,2017-12-31,0.06282,0.077623,0.05416900000000001,0.0697,"9,474","832,041",HPC,0.109519261381726
354860,2017-12-30,0.065135,0.072635,0.050423,0.06350599999999999,"6,103","862,237",HPC,-0.0250095954555921
354861,2017-12-29,0.060243,0.069482,0.058188,0.065295,"6,235","796,621",HPC,0.0838603655196456
354862,2017-12-28,0.057973000000000004,0.063586,0.052192999999999996,0.059588999999999996,"4,729","766,057",HPC,0.0278750452796993
354863,2017-12-27,0.07281499999999999,0.07467599999999999,0.052112,0.05809500000000001,"13,535","961,524",HPC,-0.202156149145094
354864,2017-12-26,0.069496,0.08348,0.059409000000000003,0.07276200000000001,"10,081","916,798",HPC,0.0469955105329802
354865,2017-12-25,0.052770000000000004,0.076286,0.042183,0.068902,"14,182","695,778",HPC,0.305703998483987
354866,2017-12-24,0.045356,0.055915,0.039049,0.052228,"4,192","597,664",HPC,0.15151247905459
354867,2017-12-23,0.052316999999999995,0.053478,0.043886,0.044863,"7,269","688,912",HPC,-0.14247758854674403
354868,2017-12-22,0.058662,0.059199,0.04371,0.052001,"1,803","771,873",HPC,-0.113548805018581
354869,2017-12-21,0.05224500000000001,0.06394,0.051022000000000005,0.058458,"1,906","686,903",HPC,0.118920470858455
354870,2017-12-20,0.063069,0.066379,0.050582999999999996,0.052127,"5,362","828,652",HPC,-0.173492524060949
354871,2017-12-19,0.067972,0.07756,0.058804999999999996,0.063122,"8,551","892,305",HPC,-0.0713529100217738
354872,2017-12-18,0.061693,0.07372999999999999,0.058961,0.067923,"8,239","809,468",HPC,0.100983904170651
354873,2017-12-17,0.077642,0.07860299999999999,0.058339999999999996,0.058339999999999996,"14,179","1,017,580",HPC,-0.248602560469849
354874,2017-12-16,0.061247,0.077796,0.054312,0.07763099999999999,"8,748","801,830",HPC,0.26750697993371103
354875,2017-12-15,0.047175999999999996,0.07027699999999999,0.044430000000000004,0.061163999999999996,"15,527","617,099",HPC,0.29650669832118
