Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
495132,2018-01-10,0.009201,0.014847999999999998,0.008533,0.014847999999999998,"1,096","41,646",IBANK,0.6137376372133461
495133,2018-01-09,0.007229000000000001,0.009189,0.007205,0.009189,780,"32,720",IBANK,0.27113017014801505
495134,2018-01-08,0.006677,0.007258,0.005759,0.007248,366,"30,222",IBANK,0.0855174479556688
495135,2018-01-07,0.006537,0.006770999999999999,0.005588,0.006686,333,"29,588",IBANK,0.0227933302738259
495136,2018-01-06,0.0064540000000000005,0.006559000000000001,0.006258,0.006542,124,"29,213",IBANK,0.0136349550666254
495137,2018-01-05,0.004706,0.006503,0.00466,0.006449,13,"21,302",IBANK,0.37037824054398605
495138,2018-01-04,0.005932,0.006064,0.004636,0.004705,214,"26,851",IBANK,-0.20684423465947402
495139,2018-01-03,0.005786,0.00603,0.005722,0.0059,95,"26,189",IBANK,0.0197027307293466
495140,2018-01-02,0.0036450000000000002,0.0058460000000000005,0.00352,0.005807,315,"16,500",IBANK,0.593141289437586
495141,2018-01-01,0.0036799999999999997,0.003778,0.003486,0.003646,26,"16,657",IBANK,-0.00923913043478266
495142,2017-12-31,0.002543,0.002836,0.002518,0.002802,19,"11,510",IBANK,0.10184821077467501
495143,2017-12-30,0.003914,0.003915,0.002517,0.002571,67,"17,715",IBANK,-0.34312723556464003
495144,2017-12-29,0.004051,0.005596,0.0038909999999999995,0.003924,127,"18,336",IBANK,-0.0313502838805232
495145,2017-12-28,0.004004,0.004078,0.003815,0.004009,30,"18,122",IBANK,0.0012487512487514099
495146,2017-12-27,0.003959000000000001,0.00414,0.003821,0.003858,63,"17,921",IBANK,-0.0255114928012124
495147,2017-12-26,0.0054329999999999995,0.006056000000000001,0.003908,0.003956,108,"24,590",IBANK,-0.271857169151482
495148,2017-12-25,0.002817,0.005524,0.002653,0.005438,59,"12,752",IBANK,0.9304224352147679
495149,2017-12-24,0.004236,0.004954999999999999,0.002672,0.002788,43,"19,173",IBANK,-0.34183191690273806
495150,2017-12-23,0.004964,0.005637,0.004171,0.00419,36,"22,470",IBANK,-0.15592264302981498
495151,2017-12-22,0.004085,0.005337,0.00309,0.004918,86,"18,492",IBANK,0.203916768665851
495152,2017-12-21,0.004615,0.004868,0.0040420000000000005,0.004071,84,"20,890",IBANK,-0.117876489707476
495153,2017-12-20,0.004581,0.005023,0.004171,0.004603,118,"20,735",IBANK,0.00480244488103041
495154,2017-12-19,0.005166,0.005185,0.0044329999999999994,0.0045850000000000005,325,"23,383",IBANK,-0.11246612466124699
495155,2017-12-18,0.005166,0.00521,0.004934,0.005162,26,"23,381",IBANK,-0.000774293457220221
495156,2017-12-17,0.005843,0.007391,0.004026,0.00515,78,"26,447",IBANK,-0.118603457128188
495157,2017-12-16,0.005461,0.005888,0.005461,0.005842,2,"24,717",IBANK,0.0697674418604652
495158,2017-12-15,0.005308,0.005784,0.005307,0.005676,16,"24,026",IBANK,0.0693293142426525
495159,2017-12-14,0.005327,0.005331,0.005267,0.0053,15,"24,113",IBANK,-0.00506851886615358
495160,2017-12-13,0.002937,0.0029760000000000003,0.002709,0.002773,8,"13,294",IBANK,-0.055839291794347996
495161,2017-12-12,0.005059,0.005328,0.0029289999999999997,0.002934,10,"22,900",IBANK,-0.42004348685511
495162,2017-12-11,0.004727,0.0052450000000000005,0.004706,0.005155,49,"21,394",IBANK,0.0905436852126083
495163,2017-12-10,0.004511,0.00489,0.0037070000000000002,0.004761,52,"20,419",IBANK,0.0554200842385279
495164,2017-12-09,0.006831,0.006931999999999999,0.004334,0.004493,349,"30,919",IBANK,-0.34226321182842895
495165,2017-12-08,0.006248,0.006418999999999999,0.002583,0.004721,396,"28,280",IBANK,-0.244398207426376
495166,2017-12-07,0.006868000000000001,0.007097,0.005075,0.006233,50,"31,087",IBANK,-0.0924577751892837
495167,2017-12-06,0.0028079999999999997,0.006997,0.0028079999999999997,0.00688,216,"12,711",IBANK,1.45014245014245
495168,2017-12-05,0.002914,0.002979,0.002814,0.002814,1,"13,190",IBANK,-0.0343170899107755
495169,2017-12-04,0.002698,0.002908,0.002613,0.002908,3,"12,212",IBANK,0.077835433654559
495170,2017-12-03,0.002624,0.002841,0.0018679999999999999,0.002689,14,"11,875",IBANK,0.0247713414634146
495171,2017-12-02,0.001306,0.002651,0.001287,0.002621,32,"5,912",IBANK,1.00689127105666
495172,2017-12-01,0.001999,0.002111,0.001256,0.001307,29,"9,046",IBANK,-0.346173086543272
495173,2017-11-30,0.003243,0.003529,0.0018329999999999998,0.002009,26,"14,681",IBANK,-0.380511871723713
495174,2017-11-29,0.001986,0.0033079999999999997,0.0019100000000000002,0.0031940000000000002,50,"8,987",IBANK,0.6082578046324271
495175,2017-11-28,0.004487,0.0045780000000000005,0.000992,0.0019879999999999997,347,"20,312",IBANK,-0.5569422776911079
