Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
513208,2018-01-10,0.370515,0.380359,0.34729299999999996,0.380359,25,"3,705,150",INPAY,0.0265684250300258
513209,2018-01-09,0.381918,0.39126500000000003,0.364831,0.37003,169,"3,819,180",INPAY,-0.0311271005818002
513210,2018-01-08,0.401098,0.402602,0.370316,0.38296199999999997,228,"4,010,980",INPAY,-0.0452158824028043
513211,2018-01-07,0.423699,0.423699,0.391367,0.40166,12,"4,236,990",INPAY,-0.0520156998246396
513212,2018-01-06,0.41848500000000005,0.42514700000000005,0.403015,0.42401000000000005,534,"4,184,850",INPAY,0.0132023847927644
513213,2018-01-05,0.372546,0.42169399999999996,0.36736399999999997,0.418152,31,"3,725,460",INPAY,0.12241709748594802
513214,2018-01-04,0.39548,0.403417,0.36488000000000004,0.37247199999999997,859,"3,954,800",INPAY,-0.0581774046728026
513215,2018-01-03,0.363921,0.39724899999999996,0.363699,0.393326,147,"3,639,210",INPAY,0.080800503405959
513216,2018-01-02,0.33119,0.39464899999999997,0.319759,0.365217,271,"3,311,900",INPAY,0.10274162867236301
513217,2018-01-01,0.342962,0.343196,0.32218800000000003,0.331215,172,"3,429,620",INPAY,-0.0342516080498714
513218,2017-12-31,0.26050100000000004,0.352244,0.257216,0.34164,863,"2,605,010",INPAY,0.311472892618455
513219,2017-12-30,0.289771,0.28986799999999996,0.247673,0.254693,10,"2,897,710",INPAY,-0.12105421177412501
513220,2017-12-29,0.31524800000000003,0.328106,0.16538,0.290501,302,"3,152,480",INPAY,-0.0785001015073846
513221,2017-12-28,0.186657,0.317331,0.166287,0.312017,5,"1,866,570",INPAY,0.6716062081786379
513222,2017-12-27,0.332577,0.344451,0.178143,0.187049,27,"3,325,770",INPAY,-0.43757686189965
513223,2017-12-26,0.12662,0.342831,0.126102,0.332336,250,"1,266,200",INPAY,1.62467224767019
513224,2017-12-25,0.284934,0.297295,0.108504,0.12675,853,"2,849,340",INPAY,-0.555160142348754
513225,2017-12-24,0.306735,0.306735,0.263902,0.286328,48,"3,067,350",INPAY,-0.0665297406556146
513226,2017-12-23,0.16975099999999999,0.33273,0.16857,0.303385,484,"1,697,510",INPAY,0.787235421293542
513227,2017-12-22,0.168758,0.182506,0.122929,0.16816199999999998,332,"1,687,580",INPAY,-0.00353168442384945
513228,2017-12-21,0.15345899999999998,0.18673199999999998,0.152591,0.168175,46,"1,534,590",INPAY,0.0958953205742249
513229,2017-12-20,0.09337899999999999,0.166048,0.08501399999999999,0.153058,736,"933,793",INPAY,0.6391051521219971
513230,2017-12-19,0.097772,0.160168,0.090373,0.093471,23,"977,724",INPAY,-0.0439900994149654
513231,2017-12-18,0.097955,0.129661,0.093562,0.09769,"2,539","979,553",INPAY,-0.0027053238732071
513232,2017-12-17,0.155814,0.20926599999999998,0.097211,0.09766,"6,122","1,558,140",INPAY,-0.373227052768044
513233,2017-12-16,0.13359000000000001,0.157025,0.133107,0.15579300000000001,527,"1,335,900",INPAY,0.16620256007186202
513234,2017-12-15,0.158744,0.172974,0.15871300000000002,0.170035,437,"1,587,440",INPAY,0.07112709771707901
513235,2017-12-14,0.15392899999999998,0.160459,0.09175599999999999,0.158506,412,"1,539,290",INPAY,0.0297344879782237
513236,2017-12-13,0.096227,0.162762,0.09171499999999999,0.154425,26,"962,274",INPAY,0.604799068868405
513237,2017-12-12,0.110448,0.112015,0.09158200000000001,0.096147,852,"1,104,480",INPAY,-0.129481747066493
513238,2017-12-11,0.10002,0.114827,0.099583,0.110095,2,"1,000,200",INPAY,0.100729854029194
513239,2017-12-10,0.098646,0.103628,0.086975,0.100748,29,"986,461",INPAY,0.0213085173245748
513240,2017-12-09,0.100836,0.104926,0.089391,0.098248,131,"1,008,360",INPAY,-0.025665436947122002
513241,2017-12-08,0.189694,0.192523,0.086322,0.100937,48,"1,896,940",INPAY,-0.467895663542337
513242,2017-12-07,0.07623400000000001,0.189249,0.07623400000000001,0.189249,203,"762,341",INPAY,1.48247501114988
513243,2017-12-06,0.08190499999999999,0.26907800000000004,0.073728,0.076365,"3,896","819,054",INPAY,-0.0676393382577377
513244,2017-12-05,0.08889,0.08897200000000001,0.08127100000000001,0.08208700000000001,"2,347","888,902",INPAY,-0.0765327933400833
513245,2017-12-04,0.090047,0.09283,0.087216,0.089857,13,"900,466",INPAY,-0.0021100092174086396
513246,2017-12-03,0.132383,0.14310799999999999,0.084812,0.089749,21,"1,323,830",INPAY,-0.322050414328124
513247,2017-12-02,0.13583699999999999,0.139713,0.132081,0.13225599999999998,17,"1,358,370",INPAY,-0.026362478558860997
513248,2017-12-01,0.123741,0.136746,0.122359,0.135952,2,"1,237,410",INPAY,0.0986819243419722
513249,2017-11-30,0.068997,0.075053,0.063172,0.065214,5,"689,973",INPAY,-0.0548284708030785
513250,2017-11-29,0.099379,0.114503,0.063833,0.067954,7,"993,788",INPAY,-0.316213686996247
513251,2017-11-28,0.11706400000000002,0.11943800000000002,0.09911,0.099478,771,"1,170,640",INPAY,-0.15022551766555098
513252,2017-11-27,0.11676199999999999,0.11676199999999999,0.11676199999999999,0.11676199999999999,429,"1,167,620",INPAY,0.0
513253,2017-11-25,0.129471,0.13584300000000002,0.12874000000000002,0.13517300000000002,257,"1,294,710",INPAY,0.04404075043832199
513254,2017-11-24,0.140648,0.145932,0.128729,0.129733,248,"1,406,480",INPAY,-0.07760508503498101
513255,2017-11-23,0.143941,0.144644,0.14084100000000002,0.14084100000000002,25,"1,439,410",INPAY,-0.0215366018021274
513256,2017-11-22,0.141753,0.14524600000000001,0.141154,0.14398699999999998,796,"1,417,530",INPAY,0.0157598075525739
513257,2017-11-21,0.145049,0.146226,0.13658900000000002,0.14140899999999998,876,"1,450,490",INPAY,-0.0250949679073968
513258,2017-11-20,0.17245,0.17284000000000002,0.141097,0.145023,2,"1,724,500",INPAY,-0.159043200927805
513259,2017-11-19,0.13658900000000002,0.173913,0.13574,0.172531,4,"1,365,890",INPAY,0.263139784316453
513260,2017-11-18,0.140513,0.141841,0.136219,0.141841,28,"1,405,130",INPAY,0.00945108281795987
513261,2017-11-17,0.143401,0.146776,0.138325,0.14105399999999998,28,"1,434,010",INPAY,-0.0163666920035424
513262,2017-11-16,0.154137,0.15997999999999998,0.134759,0.14363599999999999,584,"1,541,370",INPAY,-0.0681277045745018
513263,2017-11-15,0.12231500000000001,0.123777,0.12231500000000001,0.123777,135,"1,223,150",INPAY,0.0119527449617791
513264,2017-11-14,0.121302,0.124338,0.11889200000000001,0.12223099999999999,134,"1,213,020",INPAY,0.007658571169477941
513265,2017-11-13,0.128219,0.146893,0.127219,0.142527,3,"1,282,180",INPAY,0.11159032592673498
513266,2017-11-12,0.117809,0.128381,0.1026,0.128032,14,"1,178,090",INPAY,0.0867760527633713
513267,2017-11-11,0.11966199999999999,0.12394300000000001,0.11457,0.117896,23,"1,196,620",INPAY,-0.0147582356972138
513268,2017-11-10,0.142149,0.146251,0.11741800000000001,0.12009,33,"1,421,490",INPAY,-0.15518223835552802
513269,2017-11-09,0.145069,0.145069,0.140861,0.141729,11,"1,450,690",INPAY,-0.0230235267355535
513270,2017-11-08,0.117416,0.117416,0.116718,0.11711400000000001,55,"1,174,160",INPAY,-0.00257205150916409
513271,2017-11-07,0.125331,0.126708,0.115303,0.11778599999999999,56,"1,253,310",INPAY,-0.0602005888407497
513272,2017-11-06,0.089681,0.133717,0.086264,0.125532,1,"896,814",INPAY,0.39976137643425
513273,2017-11-05,0.126349,0.150916,0.069255,0.08948300000000001,707,"1,263,490",INPAY,-0.291779119739768
513274,2017-11-04,0.104709,0.1103,0.10230800000000001,0.109524,2,"1,047,090",INPAY,0.045984585852219005
513275,2017-11-03,0.13714500000000002,0.139547,0.10391099999999999,0.10498199999999999,20,"1,371,450",INPAY,-0.234518210652958
513276,2017-11-02,0.12575799999999998,0.136654,0.12575799999999998,0.130933,46,"1,257,580",INPAY,0.0411504635887974
513277,2017-11-01,0.123011,0.125849,0.121027,0.125618,203,"1,230,110",INPAY,0.0211932266220095
513278,2017-10-31,0.114712,0.12008699999999999,0.114104,0.119707,3,"1,147,120",INPAY,0.0435438315084734
513279,2017-10-30,0.121722,0.122781,0.114177,0.115103,4,"1,217,220",INPAY,-0.0543780089055389
513280,2017-10-29,0.114845,0.12499500000000001,0.11454,0.12243399999999999,"1,149","1,148,450",INPAY,0.0660803691932605
513281,2017-10-28,0.11526900000000001,0.15094200000000002,0.114659,0.115002,356,"1,152,690",INPAY,-0.00231632095359553
513282,2017-10-27,0.123623,0.153778,0.11482300000000001,0.114955,94,"1,236,230",INPAY,-0.0701164022876002
513283,2017-10-26,0.146055,0.154641,0.121825,0.12359400000000001,474,"1,460,550",INPAY,-0.15378453322378602
513284,2017-10-25,0.10849,0.146332,0.105805,0.146072,72,"1,084,900",INPAY,0.346409807355517
513285,2017-10-24,0.11731099999999998,0.14361600000000002,0.10784500000000001,0.108446,481,"1,173,110",INPAY,-0.0755683610232629
513286,2017-10-23,0.114444,0.14815899999999999,0.10573699999999998,0.11757000000000001,182,"1,144,440",INPAY,0.0273146691831812
513287,2017-10-22,0.09038600000000001,0.143571,0.087132,0.114628,246,"903,858",INPAY,0.26820525302591103
513288,2017-10-21,0.137818,0.152334,0.056308000000000004,0.09035800000000001,256,"1,378,180",INPAY,-0.344367208927716
513289,2017-10-20,0.060844,0.140244,0.059858,0.13810899999999998,144,"608,437",INPAY,1.26988692393662
513290,2017-10-19,0.13454100000000002,0.138247,0.13330799999999998,0.137997,36,"1,345,410",INPAY,0.0256873369456152
513291,2017-10-18,0.056287000000000004,0.155226,0.054885,0.134471,53,"562,874",INPAY,1.3890241085863502
513292,2017-10-17,0.17331400000000002,0.173809,0.055935000000000006,0.05628300000000001,198,"1,733,140",INPAY,-0.675254162964331
513293,2017-10-16,0.153226,0.174192,0.149859,0.173287,122,"1,532,260",INPAY,0.130924255674624
513294,2017-10-15,0.155995,0.156499,0.14544100000000001,0.153205,1,"1,559,950",INPAY,-0.0178851886278406
513295,2017-10-14,0.151685,0.155932,0.150025,0.15571600000000002,149,"1,516,850",INPAY,0.0265748096383954
513296,2017-10-13,0.157671,0.170316,0.14812899999999998,0.151644,43,"1,576,710",INPAY,-0.0382251650588885
513297,2017-10-12,0.13986400000000002,0.157187,0.139504,0.157187,44,"1,398,640",INPAY,0.12385603157352901
513298,2017-10-11,0.147741,0.148356,0.1379,0.139746,30,"1,477,410",INPAY,-0.0541149714703434
513299,2017-10-10,0.148419,0.152876,0.14668499999999998,0.147766,10,"1,484,190",INPAY,-0.00439970623707199
513300,2017-10-09,0.176241,0.177181,0.142219,0.14843,17,"1,762,410",INPAY,-0.15780096572307198
513301,2017-10-08,0.151127,0.176607,0.149347,0.176196,38,"1,511,270",INPAY,0.165880352286487
513302,2017-10-07,0.152822,0.189887,0.14735499999999999,0.151532,"1,189","1,528,220",INPAY,-0.00844119302194719
513303,2017-10-06,0.255096,0.25808600000000004,0.149891,0.152773,275,"2,550,960",INPAY,-0.401115658418791
513304,2017-10-05,0.163749,0.255605,0.153356,0.25509699999999996,701,"1,637,490",INPAY,0.557853788420082
513305,2017-10-04,0.153608,0.164245,0.14929,0.163601,325,"1,536,080",INPAY,0.0650552054580491
513306,2017-10-03,0.154672,0.171351,0.148874,0.153253,317,"1,546,720",INPAY,-0.00917425261197892
513307,2017-10-02,0.15423299999999998,0.156876,0.153446,0.154666,463,"1,542,330",INPAY,0.00280744069038396
513308,2017-10-01,0.152069,0.167437,0.150043,0.154301,291,"1,520,690",INPAY,0.014677547692166
513309,2017-09-30,0.161832,0.166958,0.147278,0.15198699999999998,30,"1,618,320",INPAY,-0.0608346927678085
513310,2017-09-29,0.145938,0.163222,0.140472,0.16181199999999998,"1,058","1,459,380",INPAY,0.108772218339295
513311,2017-09-28,0.146421,0.14874400000000002,0.144043,0.146051,43,"1,464,210",INPAY,-0.0025269599306111104
513312,2017-09-27,0.135479,0.156969,0.135479,0.14641500000000002,62,"1,354,790",INPAY,0.0807209973501428
513313,2017-09-26,0.152299,0.154149,0.135613,0.135858,267,"1,522,990",INPAY,-0.107952120499806
513314,2017-09-25,0.127909,0.15371700000000002,0.12786199999999998,0.152314,360,"1,279,090",INPAY,0.190799709168237
513315,2017-09-24,0.144873,0.144873,0.127394,0.128038,686,"1,448,730",INPAY,-0.116205228027307
513316,2017-09-23,0.137076,0.14626,0.131484,0.14488499999999999,"3,885","1,370,760",INPAY,0.0569683970935832
513317,2017-09-22,0.125391,0.138493,0.122759,0.137464,"1,323","1,253,910",INPAY,0.0962828273161551
513318,2017-09-21,0.135818,0.136731,0.111241,0.12553399999999998,288,"1,358,180",INPAY,-0.0757189768661001
513319,2017-09-20,0.12997,0.153634,0.127133,0.136489,49,"1,299,700",INPAY,0.0501577287066246
513320,2017-09-19,0.156943,0.157777,0.129396,0.130144,13,"1,569,430",INPAY,-0.170756261827542
513321,2017-09-18,0.152899,0.177733,0.14674500000000001,0.156564,4,"1,528,990",INPAY,0.0239700717467086
513322,2017-09-17,0.144008,0.161001,0.13273800000000002,0.15635,"301,350","1,440,080",INPAY,0.0857035720237764
513323,2017-09-16,0.13835699999999998,0.160162,0.135022,0.14388299999999998,"293,184","1,383,570",INPAY,0.0399401548168868
513324,2017-09-15,0.119275,0.14249900000000001,0.10919300000000001,0.137975,"410,077","1,192,750",INPAY,0.156780549151121
513325,2017-09-14,0.142122,0.157327,0.120877,0.12330899999999999,"198,176","1,421,220",INPAY,-0.13237218727572098
513326,2017-09-13,0.151974,0.152527,0.13583199999999998,0.139963,"113,402","1,519,740",INPAY,-0.079033255688473
513327,2017-09-12,0.149362,0.16103199999999998,0.14693499999999998,0.153054,"98,375","1,493,620",INPAY,0.0247184692224261
513328,2017-09-11,0.159681,0.175349,0.147567,0.155434,"70,515","1,596,810",INPAY,-0.0265967773247913
513329,2017-09-10,0.18338800000000002,0.189405,0.145766,0.15995299999999998,"46,096","1,833,880",INPAY,-0.12778916832071902
513330,2017-09-09,0.17889000000000002,0.192406,0.157086,0.183861,"80,846","1,788,900",INPAY,0.0277880261613282
513331,2017-09-08,0.166823,0.22438200000000003,0.161048,0.182197,"44,264","1,668,230",INPAY,0.0921575562122729
513332,2017-09-07,0.175127,0.207394,0.158687,0.16679000000000002,"41,776","1,751,270",INPAY,-0.0476054520433743
513333,2017-09-06,0.174015,0.213195,0.160051,0.177079,"32,505","1,740,150",INPAY,0.0176076774990661
513334,2017-09-05,0.192971,0.221158,0.14613800000000002,0.167572,"37,204","1,929,710",INPAY,-0.13162081349011
513335,2017-09-04,0.215009,0.228329,0.148289,0.191975,"43,402","2,150,090",INPAY,-0.107130399192592
513336,2017-09-03,0.21479499999999999,0.25763,0.195673,0.22488699999999998,"26,407","2,147,950",INPAY,0.0469843338997648
513337,2017-09-02,0.284748,0.31836,0.204074,0.21465700000000001,"22,377","2,847,480",INPAY,-0.246150982623232
513338,2017-09-01,0.272017,0.298879,0.258445,0.284381,"52,674","2,720,170",INPAY,0.045453041537845004
513339,2017-08-31,0.22790700000000003,0.317452,0.223374,0.27231700000000003,"130,628","2,279,070",INPAY,0.19486018419794002
513340,2017-08-30,0.239405,0.24689,0.21602,0.22830599999999998,"92,109","2,394,050",INPAY,-0.0463607694074894
513341,2017-08-29,0.260669,0.265612,0.22086399999999998,0.23926799999999998,"71,372","2,606,690",INPAY,-0.0821002881048379
513342,2017-08-28,0.28981399999999996,0.29916,0.21498899999999999,0.25955,"139,297","2,898,140",INPAY,-0.10442559710711001
513343,2017-08-27,0.27958,0.299442,0.263667,0.282395,"135,596","2,795,800",INPAY,0.0100686744402318
513344,2017-08-26,0.269286,0.318958,0.261412,0.279907,"147,351","2,692,860",INPAY,0.0394413374627719
513345,2017-08-25,0.256722,0.305048,0.25393699999999997,0.272394,"137,188","2,567,220",INPAY,0.0610465795685606
513346,2017-08-24,0.236668,0.30945700000000004,0.236668,0.264781,"117,255","2,366,680",INPAY,0.118786654723072
513347,2017-08-23,0.24137199999999998,0.274279,0.234021,0.236565,"58,611","2,413,720",INPAY,-0.0199153174353281
513348,2017-08-22,0.240617,0.248204,0.21668099999999998,0.241865,"107,345","2,406,170",INPAY,0.00518666594629639
513349,2017-08-21,0.276001,0.279343,0.23976799999999998,0.241777,"167,207","2,760,010",INPAY,-0.123999550726266
513350,2017-08-20,0.23283299999999998,0.31557399999999997,0.228909,0.277053,"38,628","2,328,330",INPAY,0.18992153174163398
