Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
595099,2018-01-10,0.06645,0.069767,0.045448,0.049045,"18,653",-,IRL,-0.261926260346125
595100,2018-01-09,0.08237799999999999,0.121815,0.062148,0.066509,"63,381",-,IRL,-0.19263638350044898
595101,2018-01-08,0.062697,0.16256800000000002,0.043095999999999995,0.08305599999999999,"476,976",-,IRL,0.32472048104375
595102,2018-01-07,0.010493,0.080917,0.01023,0.062622,"316,149",-,IRL,4.96797865243496
595103,2018-01-06,0.009170999999999999,0.010512,0.008154,0.010501,"2,323",-,IRL,0.14502235306945802
595104,2018-01-05,0.0068319999999999995,0.009182,0.006615,0.009164,"1,143",-,IRL,0.341334894613583
595105,2018-01-04,0.006845,0.007775,0.0036479999999999998,0.00683,"1,772",-,IRL,-0.0021913805697589897
595106,2018-01-03,0.006379,0.007487000000000001,0.006023,0.006808,"1,860",-,IRL,0.0672519203636933
595107,2018-01-02,0.004455,0.0064329999999999995,0.003259,0.006402,"1,023",-,IRL,0.437037037037037
595108,2018-01-01,0.004194,0.006654,0.003436,0.004456,"2,962",-,IRL,0.0624701955174058
595109,2017-12-31,0.0033060000000000003,0.004273,0.0032119999999999996,0.004178,775,-,IRL,0.26376285541439803
595110,2017-12-30,0.003624,0.003625,0.002937,0.0033420000000000004,555,-,IRL,-0.0778145695364239
595111,2017-12-29,0.0037619999999999997,0.003933,0.0033420000000000004,0.0033420000000000004,272,-,IRL,-0.11164274322169099
595112,2017-12-28,0.004034,0.004067,0.002896,0.00358,593,-,IRL,-0.112543381259296
595113,2017-12-27,0.004275999999999999,0.004343,0.0028510000000000002,0.004043,"2,245",-,IRL,-0.0544901777362022
595114,2017-12-26,0.004457,0.006968000000000001,0.003026,0.004273,"5,775",-,IRL,-0.0412833744671304
595115,2017-12-25,0.00324,0.004523,0.002972,0.004462,671,-,IRL,0.37716049382716
595116,2017-12-24,0.0035060000000000004,0.004609,0.003167,0.003207,300,-,IRL,-0.085282373074729
595117,2017-12-23,0.004137,0.004866,0.0034509999999999996,0.003467,246,-,IRL,-0.161953106115543
595118,2017-12-22,0.004714,0.00476,0.002425,0.004098,460,-,IRL,-0.130674586338566
595119,2017-12-21,0.003626,0.004753,0.003256,0.004698,486,-,IRL,0.295642581356867
595120,2017-12-20,0.0035240000000000002,0.0038590000000000005,0.002611,0.003617,642,-,IRL,0.0263904653802498
595121,2017-12-19,0.004018,0.004033,0.0024230000000000002,0.003527,844,-,IRL,-0.122200099552016
595122,2017-12-18,0.004209,0.004438,0.002594,0.0040149999999999995,591,-,IRL,-0.0460917082442385
595123,2017-12-17,0.004285,0.004374,0.003324,0.004196,76,-,IRL,-0.0207701283547257
