Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
413348,2018-01-10,0.050677,0.06486,0.046431,0.055794,"2,600","813,725",KED,0.10097282791009698
413349,2018-01-09,0.046535,0.06539199999999999,0.042671,0.050611,"3,176","744,801",KED,0.087589986032019
413350,2018-01-08,0.046249,0.047366000000000005,0.038778,0.046662,"1,855","739,375",KED,0.0089299228091419
413351,2018-01-07,0.052467999999999994,0.052467999999999994,0.044521,0.046314,"2,101","838,216",KED,-0.11729053899519698
413352,2018-01-06,0.039166,0.052647,0.03784,0.052506,"3,054","625,025",KED,0.340601542153909
413353,2018-01-05,0.024850999999999998,0.047574,0.024619,0.039293,534,"396,386",KED,0.581143615951068
413354,2018-01-04,0.024968,0.045226999999999996,0.023906999999999998,0.024259,771,"397,744",KED,-0.0283963473245755
413355,2018-01-03,0.030892000000000003,0.03249,0.020921000000000002,0.024836,523,"490,999",KED,-0.196037809141525
413356,2018-01-02,0.018705,0.031876,0.018139,0.031002,"1,554","297,034",KED,0.6574178027265439
413357,2018-01-01,0.019048,0.021012,0.017480000000000002,0.018706999999999998,34,"302,197",KED,-0.0179021419571607
413358,2017-12-31,0.016398,0.021291,0.012776000000000001,0.018984,363,"259,812",KED,0.157702158799854
413359,2017-12-30,0.020307,0.020674,0.016574000000000002,0.016574000000000002,84,"318,782",KED,-0.183828236568671
413360,2017-12-29,0.016661000000000002,0.020524,0.013423,0.020361,625,"257,978",KED,0.22207550567192896
413361,2017-12-28,0.015009,0.019413,0.013366,0.016492,45,"229,874",KED,0.0988073822373243
413362,2017-12-27,0.022618,0.022618,0.01407,0.015040000000000001,59,"346,273",KED,-0.335042886196834
413363,2017-12-26,0.017943,0.022664,0.014172,0.022586000000000002,15,"274,534",KED,0.258763863345037
413364,2017-12-25,0.017183,0.0263,0.013488,0.017956,371,"262,722",KED,0.0449863236920211
413365,2017-12-24,0.027566000000000004,0.039567000000000005,0.013113999999999999,0.017044,273,"421,245",KED,-0.38170209678589595
413366,2017-12-23,0.041906,0.047555,0.017703999999999998,0.027624,25,"640,140",KED,-0.340810385147712
413367,2017-12-22,0.018315,0.046225,0.015401,0.04194,1,"279,516",KED,1.28992628992629
413368,2017-12-21,0.019556,0.056072000000000004,0.017741,0.018272,230,"298,232",KED,-0.0656575986909389
413369,2017-12-20,0.017795,0.021046000000000002,0.016201,0.019508,19,"270,429",KED,0.0962629952233775
413370,2017-12-19,0.017476,0.02611,0.017222,0.017812,369,"261,604",KED,0.0192263675898377
413371,2017-12-18,0.017189,0.017458,0.016263999999999997,0.017458,23,"252,851",KED,0.0156495433125837
413372,2017-12-17,0.041363,0.041623,0.016461,0.01714,47,"605,282",KED,-0.585619998549428
413373,2017-12-16,0.015016999999999999,0.040687,0.014879,0.039859,7,"219,607",KED,1.65425850702537
413374,2017-12-15,0.013753999999999999,0.016062,0.013746000000000001,0.015019999999999999,90,"200,963",KED,0.0920459502690126
413375,2017-12-14,0.013287,0.014065000000000001,0.013193,0.013727000000000001,10,"193,926",KED,0.0331150748852261
413376,2017-12-13,0.013132,0.016149,0.012927000000000001,0.013323,299,"191,580",KED,0.0145446238196771
413377,2017-12-12,0.015147999999999998,0.015363,0.012704,0.013121,42,"220,819",KED,-0.13381304462635302
413378,2017-12-11,0.010673,0.015749000000000003,0.010626,0.0151,314,"155,442",KED,0.41478497142321796
413379,2017-12-10,0.010674,0.011041,0.009269,0.01075,12,"155,338",KED,0.0071201049278620705
413380,2017-12-09,0.011995,0.012218000000000001,0.009864,0.010678,0,"173,401",KED,-0.109795748228429
413381,2017-12-08,0.013887,0.01409,0.011201000000000001,0.011995,16,"197,892",KED,-0.13624252898394199
413382,2017-12-07,0.012362,0.015163,0.012204000000000001,0.013854,640,"173,664",KED,0.120692444588254
413383,2017-12-06,0.017258000000000003,0.018137999999999998,0.011395,0.012384000000000001,70,"240,068",KED,-0.282419747363542
413384,2017-12-05,0.011073000000000001,0.017842,0.010104,0.017518000000000002,11,"151,869",KED,0.582046419217917
413385,2017-12-04,0.011678000000000001,0.012032,0.010334000000000001,0.011051,20,"159,124",KED,-0.0536907004624079
413386,2017-12-03,0.013003,0.013905,0.009103,0.011639,187,"176,371",KED,-0.104898869491656
413387,2017-12-02,0.013994,0.015080000000000001,0.012972999999999998,0.012988999999999999,9,"189,777",KED,-0.071816492782621
413388,2017-12-01,0.011956999999999999,0.014736,0.010884999999999999,0.014031,5,"162,071",KED,0.17345487998661901
413389,2017-11-30,0.012188,0.015341,0.008797,0.011963,9,"165,149",KED,-0.0184607810961601
413390,2017-11-29,0.014128,0.015740999999999998,0.010941,0.012003,328,"191,327",KED,-0.150410532276331
413391,2017-11-28,0.013677000000000002,0.014172,0.01355,0.014047,20,"185,173",KED,0.0270527162389413
413392,2017-11-27,0.012159,0.013669999999999998,0.011342,0.013647,1,"164,577",KED,0.122378485072786
413393,2017-11-26,0.013556,0.014709999999999999,0.01197,0.01197,0,"183,400",KED,-0.11699616406019502
413394,2017-11-25,0.011424,0.01356,0.011359999999999999,0.01356,19,"154,424",KED,0.18697478991596603
413395,2017-11-24,0.012712000000000001,0.012828999999999998,0.011236,0.011448,50,"171,726",KED,-0.0994336060415355
413396,2017-11-23,0.014559,0.019703000000000002,0.012744,0.012744,105,"196,556",KED,-0.12466515557387199
413397,2017-11-22,0.014221000000000001,0.017717,0.013980000000000001,0.014565,7,"191,928",KED,0.0241895787919275
413398,2017-11-21,0.019367,0.019412000000000002,0.013887,0.014206,2,"261,300",KED,-0.26648422574482394
413399,2017-11-20,0.013425999999999999,0.019469999999999998,0.012319,0.019364,137,"181,030",KED,0.442276180545211
413400,2017-11-19,0.013553,0.013715,0.010505,0.013715,0,"182,628",KED,0.0119530731203423
413401,2017-11-18,0.011289,0.013685,0.010287000000000001,0.013569999999999999,1,"152,042",KED,0.202055097882895
413402,2017-11-17,0.010939,0.015571000000000002,0.010222,0.011325,10,"147,269",KED,0.0352865892677575
413403,2017-11-16,0.011718000000000001,0.0127,0.010683,0.011040000000000001,0,"157,711",KED,-0.0578597030209933
413404,2017-11-15,0.009594,0.012631999999999999,0.009594,0.011587,14,"129,052",KED,0.207734000416927
