Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
323926,2018-01-10,0.10188,0.11461500000000001,0.075678,0.112298,"16,291","2,516,460",KOBO,0.102257557911268
323927,2018-01-09,0.116971,0.152409,0.078002,0.108385,"28,472","2,889,200",KOBO,-0.0734028092433168
323928,2018-01-08,0.091494,0.151332,0.058078,0.11729,"10,241","2,259,930",KOBO,0.28194198526679304
323929,2018-01-07,0.08970299999999999,0.10398699999999998,0.050061,0.091373,"5,273","2,215,680",KOBO,0.0186169916279276
323930,2018-01-06,0.072916,0.089769,0.050405,0.089769,"4,093","1,801,030",KOBO,0.231128970322014
323931,2018-01-05,0.075922,0.081161,0.063775,0.072861,"2,418","1,875,280",KOBO,-0.0403176944759096
323932,2018-01-04,0.07269400000000001,0.080742,0.057569,0.075907,"3,704","1,795,550",KOBO,0.04419897102924599
323933,2018-01-03,0.058615,0.074154,0.048938999999999996,0.072318,"4,484","1,447,800",KOBO,0.23377974921095301
323934,2018-01-02,0.057540999999999995,0.072177,0.054530999999999996,0.058761,"2,531","1,421,270",KOBO,0.0212022731617455
323935,2018-01-01,0.062022,0.062022,0.056048,0.057597,572,"1,531,950",KOBO,-0.0713456515430008
323936,2017-12-31,0.074067,0.076362,0.044044,0.061852,"1,776","1,829,480",KOBO,-0.16491824969284602
323937,2017-12-30,0.062403999999999994,0.07572000000000001,0.040194,0.074635,886,"1,541,400",KOBO,0.19599705147106
323938,2017-12-29,0.052239999999999995,0.083392,0.044951,0.062558,"1,705","1,290,340",KOBO,0.197511485451761
323939,2017-12-28,0.057048,0.058119000000000004,0.043377,0.051713999999999996,"5,751","1,409,100",KOBO,-0.0935002103491796
323940,2017-12-27,0.053841,0.14293499999999998,0.041303,0.057157000000000006,"13,504","1,329,890",KOBO,0.0615887520662692
323941,2017-12-26,0.050485,0.057732000000000006,0.044704,0.053797000000000005,717,"1,246,990",KOBO,0.0656036446469247
323942,2017-12-25,0.057614,0.061089,0.045108999999999996,0.050537,704,"1,423,090",KOBO,-0.12283472767035801
323943,2017-12-24,0.047177,0.064587,0.045813,0.057208,"1,628","1,165,300",KOBO,0.21262479598109302
323944,2017-12-23,0.07425,0.079856,0.046485000000000005,0.046576,"2,203","1,833,990",KOBO,-0.372713804713805
323945,2017-12-22,0.050684,0.6246510000000001,0.038808999999999996,0.073589,"29,542","1,251,920",KOBO,0.45191776497514
323946,2017-12-21,0.043979000000000004,0.07459,0.040548,0.050563,"1,188","1,086,290",KOBO,0.14970781509356698
323947,2017-12-20,0.080087,0.08806699999999999,0.039623,0.043864,114,"1,978,160",KOBO,-0.452295628504002
323948,2017-12-19,0.054522,0.083741,0.053127999999999995,0.08015499999999999,"1,092","1,346,700",KOBO,0.47014049374564404
323949,2017-12-18,0.098738,0.098738,0.045620999999999995,0.054473,446,"2,438,850",KOBO,-0.44830764244769
323950,2017-12-17,0.062585,0.10297100000000001,0.060407,0.098445,"2,356","1,545,860",KOBO,0.572980746185188
323951,2017-12-16,0.053467999999999995,0.065475,0.037265,0.062464,521,"1,320,670",KOBO,0.16825016832497902
323952,2017-12-15,0.056086000000000004,0.064442,0.051573,0.053394000000000004,634,"1,385,350",KOBO,-0.04799771779053599
323953,2017-12-14,0.043023,0.070825,0.041408999999999994,0.055965,411,"1,062,680",KOBO,0.300815842688794
323954,2017-12-13,0.041893,0.050597,0.041893,0.043072000000000006,249,"1,034,760",KOBO,0.0281431265366529
323955,2017-12-12,0.062015999999999995,0.06211900000000001,0.040483,0.041858,684,"1,531,820",KOBO,-0.325045149638803
323956,2017-12-11,0.037423000000000005,0.07801799999999999,0.037261,0.061818,"2,088","924,348",KOBO,0.651871843518692
323957,2017-12-10,0.07054400000000001,0.07054400000000001,0.036059,0.037692,"3,921","1,742,440",KOBO,-0.465695168972556
323958,2017-12-09,0.026938,0.079685,0.021052,0.070261,"2,831","665,373",KOBO,1.6082485707921899
323959,2017-12-08,0.040622000000000005,0.044525999999999996,0.026542000000000003,0.026963,518,"1,003,360",KOBO,-0.3362463689626311
323960,2017-12-07,0.07904,0.081809,0.029669,0.040526,"1,193","1,952,300",KOBO,-0.487272267206478
323961,2017-12-06,0.025876999999999997,0.149642,0.025876999999999997,0.079175,"9,662","639,162",KOBO,2.05966688565135
323962,2017-12-05,0.028183,0.028783,0.025924000000000003,0.025939,35,"696,117",KOBO,-0.0796224674449136
323963,2017-12-04,0.02733,0.028125999999999998,0.024909,0.028125999999999998,352,"675,059",KOBO,0.0291255031101354
323964,2017-12-03,0.035414,0.035517,0.025742,0.027239,155,"874,732",KOBO,-0.230840910374428
323965,2017-12-02,0.030538,0.035827,0.023855,0.03538,"1,277","754,295",KOBO,0.158556552491977
323966,2017-12-01,0.035191,0.037404,0.030074,0.030563999999999997,66,"869,233",KOBO,-0.13148248131624599
323967,2017-11-30,0.026513,0.035694,0.026367,0.035366,872,"654,883",KOBO,0.333911665975182
323968,2017-11-29,0.029002999999999998,0.032302,0.022090000000000002,0.026146,14,"716,383",KOBO,-0.0985070509947247
323969,2017-11-28,0.029211,0.033463,0.013716999999999998,0.029024,402,"721,525",KOBO,-0.006401697990483029
323970,2017-11-27,0.026913999999999997,0.030405,0.025952999999999997,0.029137,288,"664,772",KOBO,0.0825964182210002
323971,2017-11-26,0.025284,0.026992000000000002,0.019583,0.026907999999999998,343,"624,519",KOBO,0.0642303433001108
323972,2017-11-25,0.024404,0.026047000000000004,0.017672999999999998,0.025281,132,"602,794",KOBO,0.0359367316833307
323973,2017-11-24,0.019888,0.038237,0.015886,0.024454,"1,246","491,243",KOBO,0.229585679806919
323974,2017-11-23,0.028338,0.029055,0.019988,0.019988,110,"699,956",KOBO,-0.294657350554026
323975,2017-11-22,0.019068,0.028674,0.018987999999999998,0.028674,114,"470,992",KOBO,0.5037759597230961
323976,2017-11-21,0.023395,0.025432,0.019022,0.019022,40,"577,870",KOBO,-0.18692028211156198
323977,2017-11-20,0.032144,0.038306,0.018419,0.023391,48,"793,972",KOBO,-0.27230587356894004
323978,2017-11-19,0.024197999999999997,0.032219,0.020019,0.032164,4,"597,689",KOBO,0.329200760393421
323979,2017-11-18,0.022549,0.026996,0.019246,0.024242,587,"556,958",KOBO,0.0750809348529868
323980,2017-11-17,0.032141,0.032646,0.021803,0.022635,122,"793,882",KOBO,-0.295759310537942
323981,2017-11-16,0.022835,0.036512,0.022640999999999998,0.032201,71,"564,024",KOBO,0.410159842347274
323982,2017-11-15,0.016843,0.022747999999999997,0.016558,0.022693,73,"416,034",KOBO,0.347325298343526
323983,2017-11-14,0.023811000000000002,0.025356999999999998,0.016706,0.016832,16,"588,146",KOBO,-0.293099827810676
323984,2017-11-13,0.016390000000000002,0.025026,0.015809,0.023772,20,"404,828",KOBO,0.45039658328249
323985,2017-11-12,0.019477,0.020279,0.01566,0.016378999999999998,15,"481,083",KOBO,-0.15905940339888097
323986,2017-11-11,0.021478,0.022259,0.019073,0.01949,10,"530,501",KOBO,-0.0925598286618866
323987,2017-11-10,0.024431,0.025136000000000002,0.020913,0.021575,18,"603,446",KOBO,-0.116900658998813
323988,2017-11-09,0.024738999999999997,0.025689999999999998,0.024108,0.024359,18,"611,066",KOBO,-0.0153603621811715
323989,2017-11-08,0.025713999999999997,0.028044,0.023735,0.024766,15,"635,132",KOBO,-0.0368670763008478
323990,2017-11-07,0.024745,0.025994999999999997,0.024745,0.025797000000000004,20,"611,208",KOBO,0.042513639119014006
323991,2017-11-06,0.020634,0.030763,0.019846000000000003,0.024784999999999998,22,"509,671",KOBO,0.20117282155665397
323992,2017-11-05,0.02363,0.024498,0.020361,0.020589,7,"583,674",KOBO,-0.128692340245451
323993,2017-11-04,0.026069,0.026069,0.022038,0.023537,2,"643,922",KOBO,-0.0971268556523073
