Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
382435,2018-01-10,0.046263,0.047583999999999994,0.028834,0.041711,"103,349","1,338,870",LBTC,-0.0983939649395846
382436,2018-01-09,0.052147000000000006,0.05754,0.043394,0.046329,"150,853","1,509,140",LBTC,-0.111569217788176
382437,2018-01-08,0.050515,0.056077999999999996,0.04075,0.052288,"201,397","1,461,930",LBTC,0.0350984855983372
382438,2018-01-07,0.033117,0.064105,0.032958,0.050566,"323,548","958,404",LBTC,0.526889512938974
382439,2018-01-06,0.027852999999999996,0.034247,0.024123,0.033141000000000004,"170,355","806,078",LBTC,0.18985387570459197
382440,2018-01-05,0.028531,0.029623000000000003,0.023278999999999998,0.027905000000000003,"110,481","825,682",LBTC,-0.021941046580912
382441,2018-01-04,0.030074,0.032925,0.027389999999999998,0.02883,"141,528","870,354",LBTC,-0.0413646339030391
382442,2018-01-03,0.026639999999999997,0.037372,0.025802,0.030894,"223,270","770,961",LBTC,0.159684684684685
382443,2018-01-02,0.019790000000000002,0.031449,0.019790000000000002,0.026733,"203,506","572,732",LBTC,0.350833754421425
382444,2018-01-01,0.02055,0.020553000000000002,0.016709,0.019497,"52,636","594,731",LBTC,-0.0512408759124087
382445,2017-12-31,0.02025,0.020825,0.015413,0.020456000000000002,"40,532","586,046",LBTC,0.0101728395061727
382446,2017-12-30,0.027023000000000002,0.027073000000000003,0.019472,0.01998,"74,542","782,067",LBTC,-0.260629833845243
382447,2017-12-29,0.015022999999999998,0.028479,0.01457,0.02563,"351,728","434,762",LBTC,0.7060507222259201
382448,2017-12-28,0.013938999999999998,0.014938,0.012133,0.014874,"47,733","403,398",LBTC,0.0670779826386398
382449,2017-12-27,0.016059,0.018432,0.011854,0.013965,"55,810","51,201",LBTC,-0.130394171492621
382450,2017-12-26,0.013478,0.016871,0.013353,0.016044,"16,599","42,973",LBTC,0.190384330019291
382451,2017-12-25,0.013793000000000001,0.015153,0.012737,0.013489,"14,076","43,975",LBTC,-0.0220401653012398
382452,2017-12-24,0.012185,0.015528,0.011773,0.013672,"21,285","38,850",LBTC,0.122035289290111
382453,2017-12-23,0.012138,0.015819999999999997,0.011526999999999999,0.012072,"27,193","38,698",LBTC,-0.00543746910528918
382454,2017-12-22,0.014662999999999999,0.017719,0.009873999999999999,0.012017,"21,448","46,750",LBTC,-0.18045420446020602
382455,2017-12-21,0.014034,0.020093,0.013322,0.014621,"43,958","44,745",LBTC,0.0418269915918484
382456,2017-12-20,0.01784,0.019881,0.013465999999999999,0.014008000000000001,"28,188","56,880",LBTC,-0.21479820627802695
382457,2017-12-19,0.021337000000000002,0.023355,0.017506999999999998,0.017756,"44,451","68,030",LBTC,-0.16783052912780602
382458,2017-12-18,0.016004,0.025883999999999997,0.01548,0.021313,"134,617","51,024",LBTC,0.331729567608098
382459,2017-12-17,0.018591999999999997,0.019163999999999997,0.015045,0.015954,"44,783","59,275",LBTC,-0.141888984509467
382460,2017-12-16,0.020459,0.023001,0.017447999999999998,0.018824,"64,697","65,230",LBTC,-0.0799159294198153
382461,2017-12-15,0.021100999999999998,0.023918000000000002,0.01515,0.020433,"116,984","67,276",LBTC,-0.0316572674280841
382462,2017-12-14,0.007965,0.020038,0.007965,0.020038,"79,828","25,394",LBTC,1.5157564344005001
382463,2017-12-13,0.009089,0.00945,0.007625,0.008062999999999999,"11,651","28,978",LBTC,-0.112883705578171
382464,2017-12-12,0.009417,0.010628,0.008214,0.009078,"11,941","30,023",LBTC,-0.0359987257088245
382465,2017-12-11,0.008537000000000001,0.011184999999999999,0.0085,0.009384,"19,096","27,217",LBTC,0.099215180976924
382466,2017-12-10,0.010103000000000001,0.010322,0.0076950000000000005,0.0086,"14,244","32,212",LBTC,-0.14876769276452498
382467,2017-12-09,0.012392,0.013043,0.009362,0.010064,"19,638","39,510",LBTC,-0.18786313750807002
382468,2017-12-08,0.012629999999999999,0.013055,0.010523999999999999,0.012402,"19,296","40,269",LBTC,-0.0180522565320666
382469,2017-12-07,0.009744,0.015278,0.005707,0.012602,"66,660","31,066",LBTC,0.293308702791462
382470,2017-12-06,0.016751,0.018746000000000002,0.008912999999999999,0.010112999999999999,"73,695","53,406",LBTC,-0.39627484926272993
382471,2017-12-05,0.012673,0.029608,0.012673,0.016857,"628,991","40,404",LBTC,0.33015071411662605
382472,2017-12-04,0.002588,0.015926,0.002305,0.013078999999999999,"257,418","8,252",LBTC,4.053709428129831
