Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
517791,2018-01-07,0.00011399999999999999,0.00011399999999999999,0.00011399999999999999,0.00011399999999999999,7,"1,658,530",LOT,0.0
517792,2018-01-06,0.00010400000000000001,0.000128,0.00010400000000000001,0.00011499999999999999,69,"1,513,590",LOT,0.105769230769231
517793,2018-01-05,9.6e-05,0.00010800000000000001,8.6e-05,0.000105,"32,999","1,388,550",LOT,0.09375
517794,2018-01-04,8.4e-05,0.000105,7.5e-05,0.000101,"67,204","1,217,310",LOT,0.20238095238095197
517795,2018-01-03,6.2e-05,0.00010700000000000001,5.6999999999999996e-05,8.6e-05,"25,606","903,215",LOT,0.387096774193548
517796,2018-01-02,4.9e-05,7.4e-05,4.9e-05,6.2e-05,"13,889","713,238",LOT,0.26530612244898005
517797,2018-01-01,4.1e-05,6.6e-05,3.8e-05,4.9e-05,"10,244","591,789",LOT,0.195121951219512
517798,2017-12-31,3.9e-05,4.5e-05,3.3e-05,3.8e-05,"9,922","560,613",LOT,-0.0256410256410256
517799,2017-12-30,3.6e-05,4.6e-05,2.8999999999999997e-05,3.9e-05,"2,066","527,162",LOT,0.0833333333333333
517800,2017-12-29,3.9e-05,5.2000000000000004e-05,3.3e-05,3.7e-05,"7,948","563,023",LOT,-0.0512820512820513
517801,2017-12-28,3.6e-05,5.2000000000000004e-05,2.6000000000000002e-05,3.9e-05,"5,359","516,763",LOT,0.0833333333333333
517802,2017-12-27,4.1e-05,4.1e-05,2.9999999999999997e-05,3.6e-05,"1,739","592,386",LOT,-0.12195121951219501
517803,2017-12-26,3.4e-05,4.1e-05,3.1e-05,4.1e-05,"4,349","494,426",LOT,0.20588235294117604
517804,2017-12-25,3.9e-05,4.4e-05,1.9e-05,3.4e-05,"1,061","569,291",LOT,-0.12820512820512803
517805,2017-12-24,3.3e-05,4.1e-05,2.3e-05,3.9e-05,522,"481,724",LOT,0.18181818181818202
517806,2017-12-23,3.7e-05,3.9e-05,2.9999999999999997e-05,3.3e-05,383,"533,202",LOT,-0.108108108108108
517807,2017-12-22,3.2e-05,5.6999999999999996e-05,2.5e-05,3.7e-05,"1,309","462,925",LOT,0.15625
517808,2017-12-21,4e-05,4.3e-05,2.8999999999999997e-05,3.2e-05,275,"584,715",LOT,-0.2
517809,2017-12-20,5.1e-05,5.2000000000000004e-05,3.3e-05,4e-05,"1,519","732,826",LOT,-0.215686274509804
517810,2017-12-19,5.4000000000000005e-05,5.6999999999999996e-05,4.6e-05,5e-05,793,"785,699",LOT,-0.074074074074074
517811,2017-12-18,4e-05,6.3e-05,4e-05,5.4000000000000005e-05,196,"585,807",LOT,0.35
517812,2017-12-17,4.3e-05,8.2e-05,3.8e-05,4e-05,"1,087","626,118",LOT,-0.0697674418604651
517813,2017-12-16,4.2e-05,6.9e-05,3.5e-05,4.2e-05,855,"603,592",LOT,0.0
517814,2017-12-15,3.7e-05,4.4e-05,3.3e-05,4.2e-05,112,"534,068",LOT,0.135135135135135
517815,2017-12-14,3.7e-05,3.8e-05,2.6000000000000002e-05,3.7e-05,907,"531,719",LOT,0.0
517816,2017-12-13,4.4e-05,4.8e-05,3.5e-05,3.7e-05,736,"634,947",LOT,-0.15909090909090898
517817,2017-12-12,2.9999999999999997e-05,4.6e-05,2.8999999999999997e-05,4.4e-05,485,"436,457",LOT,0.46666666666666706
517818,2017-12-11,2.7000000000000002e-05,3.5e-05,2.7000000000000002e-05,2.9999999999999997e-05,50,"392,855",LOT,0.111111111111111
517819,2017-12-10,2.4e-05,2.8000000000000003e-05,2e-05,2.8000000000000003e-05,150,"349,921",LOT,0.166666666666667
517820,2017-12-09,2.2e-05,2.7000000000000002e-05,2.2e-05,2.4e-05,73,"319,608",LOT,0.09090909090909101
517821,2017-12-08,1.9e-05,2.3e-05,1.4000000000000001e-05,2.2e-05,10,"278,720",LOT,0.157894736842105
517822,2017-12-07,2.2e-05,2.3e-05,1.6e-05,1.9e-05,118,"326,006",LOT,-0.136363636363636
517823,2017-12-06,2e-05,2.2e-05,1.8e-05,2.2e-05,4,"292,367",LOT,0.0999999999999999
517824,2017-12-05,1.7e-05,2.2e-05,1.6e-05,2e-05,128,"243,474",LOT,0.17647058823529396
517825,2017-12-04,2e-05,2.1e-05,1.6e-05,1.7e-05,204,"290,268",LOT,-0.15
517826,2017-12-03,1.8e-05,2.1e-05,1.8e-05,2e-05,29,"263,147",LOT,0.111111111111111
517827,2017-12-02,2e-05,2.1e-05,1.6e-05,1.8e-05,20,"286,625",LOT,-0.1
517828,2017-12-01,1.7e-05,2e-05,1.4000000000000001e-05,2e-05,"1,328","239,538",LOT,0.17647058823529396
517829,2017-11-30,1.4999999999999999e-05,1.7e-05,1.3000000000000001e-05,1.7e-05,1,"212,673",LOT,0.133333333333333
517830,2017-11-29,1.8e-05,1.9e-05,1.4000000000000001e-05,1.4999999999999999e-05,18,"263,511",LOT,-0.166666666666667
517831,2017-11-28,1.4000000000000001e-05,1.8e-05,1.4000000000000001e-05,1.8e-05,15,"204,626",LOT,0.28571428571428603
517832,2017-11-27,1.4000000000000001e-05,1.7e-05,1.4000000000000001e-05,1.4000000000000001e-05,10,"199,696",LOT,0.0
517833,2017-11-26,1.9e-05,1.9e-05,1.4000000000000001e-05,1.4000000000000001e-05,6,"269,137",LOT,-0.263157894736842
517834,2017-11-25,1.6e-05,1.9e-05,1.6e-05,1.9e-05,1,"235,834",LOT,0.1875
517835,2017-11-24,1.4999999999999999e-05,1.6e-05,1.4000000000000001e-05,1.6e-05,"1,257","222,269",LOT,0.0666666666666666
517836,2017-11-23,1.4999999999999999e-05,1.8e-05,1.4999999999999999e-05,1.4999999999999999e-05,32,"211,024",LOT,0.0
517837,2017-11-22,1.4000000000000001e-05,1.7e-05,1.2e-05,1.4999999999999999e-05,39,"202,494",LOT,0.0714285714285715
