Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
447147,2018-01-10,0.080178,0.081591,0.072278,0.081591,674,"499,845",MAO,0.017623288183791
447148,2018-01-09,0.08313,0.085319,0.07745,0.080074,732,"518,232",MAO,-0.0367616985444483
447149,2018-01-08,0.087939,0.088611,0.076912,0.083358,5,"548,187",MAO,-0.052092928052400005
447150,2018-01-07,0.090829,0.09536900000000001,0.08591900000000001,0.088062,672,"566,189",MAO,-0.0304638386418434
447151,2018-01-06,0.09765800000000001,0.09765800000000001,0.088407,0.090896,130,"608,736",MAO,-0.0692416391898256
447152,2018-01-05,0.086684,0.09879099999999999,0.083343,0.09758,286,"540,318",MAO,0.12569793733561
447153,2018-01-04,0.076206,0.086667,0.075163,0.086667,478,"474,987",MAO,0.13727265569640199
447154,2018-01-03,0.084712,0.087978,0.073974,0.075791,883,"527,988",MAO,-0.105309755406554
447155,2018-01-02,0.076958,0.08679400000000001,0.072198,0.08501399999999999,744,"479,644",MAO,0.10468047506432099
447156,2018-01-01,0.08962,0.08962,0.07032999999999999,0.076964,822,"558,542",MAO,-0.141218478018299
447157,2017-12-31,0.08315299999999999,0.091292,0.077953,0.089275,975,"518,217",MAO,0.0736233208663546
447158,2017-12-30,0.095092,0.095124,0.076692,0.084061,878,"592,607",MAO,-0.116003449291213
447159,2017-12-29,0.087239,0.09632,0.072156,0.095332,603,"543,648",MAO,0.0927681426884765
447160,2017-12-28,0.10861099999999999,0.109072,0.08497,0.086345,606,"676,810",MAO,-0.20500685934205604
447161,2017-12-27,0.11560999999999999,0.11973800000000001,0.092847,0.10884,621,"720,397",MAO,-0.058558948187873
447162,2017-12-26,0.10391500000000001,0.11911,0.096346,0.115526,"1,344","647,501",MAO,0.111735553096281
447163,2017-12-25,0.10241199999999999,0.10721900000000001,0.08365800000000001,0.104021,782,"638,113",MAO,0.0157110494863883
447164,2017-12-24,0.082526,0.101359,0.068473,0.101359,"1,399","514,192",MAO,0.228206868138526
447165,2017-12-23,0.081221,0.087701,0.072479,0.081625,588,"506,042",MAO,0.00497408305733741
447166,2017-12-22,0.12020499999999999,0.12138900000000001,0.065346,0.080461,669,"748,902",MAO,-0.330635164926584
447167,2017-12-21,0.13269,0.138571,0.102142,0.119789,934,"826,663",MAO,-0.0972266184339437
447168,2017-12-20,0.14535499999999998,0.14718900000000001,0.114292,0.13234400000000002,410,"905,533",MAO,-0.089511884696089
447169,2017-12-19,0.168758,0.169702,0.140675,0.145498,852,"1,051,300",MAO,-0.137830502850235
447170,2017-12-18,0.190936,0.190936,0.14878,0.16861500000000001,253,"1,189,420",MAO,-0.11690304604684301
447171,2017-12-17,0.18366500000000002,0.19648800000000002,0.155083,0.19036,"1,358","1,144,090",MAO,0.0364522364086789
447172,2017-12-16,0.150881,0.185093,0.14810399999999999,0.183641,"1,280","939,836",MAO,0.217124753945162
447173,2017-12-15,0.16571,0.172173,0.139451,0.140977,685,"1,032,180",MAO,-0.14925472210488197
447174,2017-12-14,0.148198,0.171031,0.133172,0.165462,821,"923,065",MAO,0.116492800172742
447175,2017-12-13,0.19331900000000002,0.195884,0.147626,0.148675,626,"1,204,060",MAO,-0.230934362375142
447176,2017-12-12,0.180152,0.197854,0.139044,0.193157,"1,729","1,122,020",MAO,0.0721890403659132
447177,2017-12-11,0.15856900000000002,0.18729500000000002,0.156084,0.17957599999999999,672,"987,559",MAO,0.13247860552819302
447178,2017-12-10,0.16842000000000001,0.175109,0.143928,0.159722,727,"1,048,880",MAO,-0.05164469777936099
447179,2017-12-09,0.178902,0.181553,0.14974500000000002,0.16774,752,"1,114,120",MAO,-0.0623917004840639
447180,2017-12-08,0.19403299999999998,0.22039099999999998,0.160174,0.179083,"1,202","1,208,310",MAO,-0.0770487494395284
447181,2017-12-07,0.16661600000000001,0.193578,0.16248900000000002,0.193578,347,"1,037,540",MAO,0.161821193642868
447182,2017-12-06,0.149887,0.18094100000000002,0.149887,0.166903,986,"933,334",MAO,0.11352552256032901
447183,2017-12-05,0.130667,0.18471500000000002,0.129717,0.15022,654,"813,624",MAO,0.149639924387948
447184,2017-12-04,0.131191,0.28791700000000003,0.11301800000000001,0.13041,"3,347","816,863",MAO,-0.00595315227416518
447185,2017-12-03,0.11751600000000001,0.139445,0.11411600000000001,0.13075799999999999,750,"731,686",MAO,0.11268252833656699
447186,2017-12-02,0.119728,0.126391,0.11433800000000001,0.117404,849,"745,437",MAO,-0.0194106641721235
447187,2017-12-01,0.104328,0.141005,0.104254,0.11982999999999999,832,"649,532",MAO,0.14858906525573198
447188,2017-11-30,0.10693599999999999,0.141125,0.092778,0.10484700000000001,"1,022","665,749",MAO,-0.0195350490012719
447189,2017-11-29,0.10871099999999999,0.13955499999999998,0.09829500000000001,0.10531800000000001,63,"676,777",MAO,-0.0312111929795514
447190,2017-11-28,0.130722,0.132691,0.108208,0.108819,"1,021","813,777",MAO,-0.16755404599072798
447191,2017-11-27,0.123832,0.128965,0.111823,0.114719,457,"770,858",MAO,-0.0735916402868402
447192,2017-11-26,0.11755,0.144823,0.089657,0.12380799999999999,667,"731,726",MAO,0.05323692045937901
447193,2017-11-25,0.110178,0.11758900000000001,0.10452,0.11758900000000001,737,"685,812",MAO,0.0672638820817223
447194,2017-11-24,0.140246,0.143847,0.104032,0.110401,804,"872,947",MAO,-0.212804643269683
447195,2017-11-23,0.112685,0.14800000000000002,0.097475,0.140438,647,"701,369",MAO,0.24628832586413502
447196,2017-11-22,0.09436699999999999,0.113274,0.073016,0.112721,"1,125","587,335",MAO,0.19449595727319896
447197,2017-11-21,0.123704,0.125468,0.091334,0.094138,957,"769,904",MAO,-0.23900601435685198
447198,2017-11-20,0.126201,0.132793,0.12045399999999999,0.123681,797,"785,418",MAO,-0.0199681460527255
447199,2017-11-19,0.175439,0.17575,0.115995,0.12625999999999998,879,"1,091,820",MAO,-0.280319655264793
447200,2017-11-18,0.185481,0.185481,0.16016,0.175765,"4,319","1,154,270",MAO,-0.0523827238369429
447201,2017-11-17,0.199961,0.20183099999999998,0.18218900000000002,0.186195,670,"1,244,340",MAO,-0.0688434244677712
447202,2017-11-16,0.182576,0.211273,0.163191,0.20028900000000002,920,"1,136,120",MAO,0.0970171325913593
447203,2017-11-15,0.215604,0.236384,0.181507,0.181625,"6,084","1,341,600",MAO,-0.157599116899501
447204,2017-11-14,0.243013,0.24651599999999999,0.193797,0.215457,"1,035","1,512,100",MAO,-0.11339311065663198
