Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
465221,2018-01-10,0.01325,0.01325,0.007503,0.009762999999999999,"5,006","359,875",MAY,-0.263169811320755
465222,2018-01-09,0.010522,0.013340000000000001,0.009037,0.013233000000000002,290,"284,952",MAY,0.25765063676107197
465223,2018-01-08,0.010237000000000001,0.012521,0.008605,0.010551000000000001,"2,049","276,609",MAY,0.0306730487447494
465224,2018-01-07,0.011005,0.014242,0.008386,0.010251,"9,112","296,757",MAY,-0.0685143116765106
465225,2018-01-06,0.008874,0.01351,0.007670000000000001,0.011013,"4,622","238,676",MAY,0.24104124408383998
465226,2018-01-05,0.0068709999999999995,0.02216,0.006012,0.008867,"12,004","184,437",MAY,0.290496288749818
465227,2018-01-04,0.005476,0.040342,0.004485,0.00687,"33,799","146,597",MAY,0.254565376186998
465228,2018-01-03,0.005424,0.005935,0.004668,0.004673,597,"144,889",MAY,-0.13845870206489702
465229,2018-01-02,0.005099,0.00547,0.004731,0.005444,346,"135,888",MAY,0.0676603255540302
465230,2018-01-01,0.005582,0.0060869999999999995,0.004716,0.005099,500,"148,480",MAY,-0.0865281261196704
465231,2017-12-31,0.005313,0.006962,0.0046689999999999995,0.00556,"1,148","140,949",MAY,0.046489742141915986
465232,2017-12-30,0.0057740000000000005,0.007201999999999999,0.004908,0.005370000000000001,528,"152,791",MAY,-0.0699688257706962
465233,2017-12-29,0.005975,0.006828,0.005025,0.0063950000000000005,"1,285","157,702",MAY,0.0702928870292886
465234,2017-12-28,0.007012999999999999,0.00719,0.00517,0.005914,"4,140","184,752",MAY,-0.15670896905746498
465235,2017-12-27,0.005856,0.011999,0.005809,0.007028,"9,198","153,908",MAY,0.20013661202185798
465236,2017-12-26,0.010917,0.011106999999999999,0.0033009999999999997,0.005850999999999999,"2,492","286,144",MAY,-0.464046899331318
465237,2017-12-25,0.006904,0.021119,0.006904,0.010928,"7,427","180,532",MAY,0.582850521436848
465238,2017-12-24,0.0033810000000000003,0.031752999999999997,0.002571,0.006833,"25,779","88,210",MAY,1.02099970422952
465239,2017-12-23,0.00277,0.0037229999999999997,0.002712,0.0033450000000000003,262,"72,065",MAY,0.207581227436823
465240,2017-12-22,0.0033450000000000003,0.003378,0.002409,0.002744,130,"86,791",MAY,-0.179671150971599
465241,2017-12-21,0.004144,0.004945000000000001,0.003249,0.003334,130,"107,245",MAY,-0.19546332046332002
465242,2017-12-20,0.003397,0.004792,0.002955,0.0041329999999999995,347,"87,660",MAY,0.21666176037680301
465243,2017-12-19,0.003415,0.003592,0.003128,0.0034,83,"87,903",MAY,-0.00439238653001472
465244,2017-12-18,0.003635,0.0037920000000000002,0.00295,0.0034119999999999997,120,"93,326",MAY,-0.0613480055020633
465245,2017-12-17,0.004769,0.006128,0.003257,0.003624,148,"122,097",MAY,-0.240092262528832
465246,2017-12-16,0.003334,0.004806,0.002361,0.004768,397,"85,144",MAY,0.4301139772045589
465247,2017-12-15,0.003152,0.0034340000000000004,0.003151,0.0033299999999999996,58,"80,293",MAY,0.0564720812182742
465248,2017-12-14,0.003116,0.003353,0.003081,0.003147,102,"79,170",MAY,0.0099486521181002
465249,2017-12-13,0.003628,0.003942,0.003104,0.0031260000000000003,286,"91,952",MAY,-0.138368246968027
465250,2017-12-12,0.0034560000000000003,0.003729,0.003358,0.003625,80,"87,377",MAY,0.0489004629629631
465251,2017-12-11,0.003564,0.003906,0.0033950000000000004,0.003483,238,"89,912",MAY,-0.0227272727272727
465252,2017-12-10,0.003317,0.003774,0.002814,0.00359,193,"83,474",MAY,0.0823032861018992
465253,2017-12-09,0.0033079999999999997,0.004972,0.002987,0.003303,504,"83,047",MAY,-0.00151148730350672
