Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
605993,2018-01-10,1.23,1.32,1.15,1.32,"7,321",-,MCR,0.0731707317073171
605994,2018-01-09,1.35,1.38,1.12,1.23,"9,844",-,MCR,-0.08888888888888902
605995,2018-01-08,1.25,1.45,1.14,1.35,"1,701",-,MCR,0.0800000000000001
605996,2018-01-07,1.36,1.52,1.26,1.26,"1,234",-,MCR,-0.0735294117647059
605997,2018-01-06,1.56,1.57,1.27,1.36,"2,164",-,MCR,-0.12820512820512803
605998,2018-01-05,1.36,1.57,1.24,1.56,"3,871",-,MCR,0.147058823529412
605999,2018-01-04,1.38,1.41,1.16,1.36,"6,611",-,MCR,-0.0144927536231883
606000,2018-01-03,1.47,1.52,1.26,1.38,"6,759",-,MCR,-0.0612244897959184
606001,2018-01-02,1.42,1.6,1.23,1.47,"4,903",-,MCR,0.0352112676056338
606002,2018-01-01,1.36,1.45,1.14,1.42,"5,983",-,MCR,0.0441176470588234
606003,2017-12-31,1.21,1.39,0.8296600000000001,1.35,"5,614",-,MCR,0.115702479338843
606004,2017-12-30,1.45,1.45,0.978621,1.23,"5,173",-,MCR,-0.15172413793103398
606005,2017-12-29,1.46,1.54,1.33,1.45,"6,167",-,MCR,-0.00684931506849316
606006,2017-12-28,1.61,1.62,1.37,1.44,"6,237",-,MCR,-0.105590062111801
606007,2017-12-27,1.6,1.69,1.39,1.61,"8,660",-,MCR,0.00625000000000001
606008,2017-12-26,1.45,1.64,1.24,1.6,"9,625",-,MCR,0.103448275862069
606009,2017-12-25,1.71,1.72,1.38,1.45,"6,830",-,MCR,-0.15204678362573099
606010,2017-12-24,1.82,1.82,1.39,1.69,"6,517",-,MCR,-0.0714285714285715
606011,2017-12-23,1.38,2.13,1.27,1.8,"9,500",-,MCR,0.304347826086957
606012,2017-12-22,1.7,1.72,1.21,1.37,"3,928",-,MCR,-0.194117647058823
606013,2017-12-21,1.4,1.89,1.33,1.7,"6,337",-,MCR,0.214285714285714
606014,2017-12-20,1.79,1.83,1.28,1.4,"5,201",-,MCR,-0.217877094972067
606015,2017-12-19,1.47,1.99,1.33,1.8,"7,133",-,MCR,0.224489795918367
606016,2017-12-18,2.68,2.68,1.16,1.47,"6,352",-,MCR,-0.451492537313433
606017,2017-12-17,2.82,2.85,2.12,2.67,"6,654",-,MCR,-0.0531914893617021
606018,2017-12-16,2.99,3.21,2.17,2.82,"6,559",-,MCR,-0.05685618729097
606019,2017-12-15,2.95,3.19,1.83,2.99,"9,750",-,MCR,0.0135593220338983
606020,2017-12-14,1.99,2.99,0.997353,2.95,"11,976",-,MCR,0.482412060301508
606021,2017-12-13,1.88,3.24,1.22,2.0,"8,606",-,MCR,0.0638297872340426
606022,2017-12-12,1.64,1.93,1.58,1.88,"10,050",-,MCR,0.146341463414634
606023,2017-12-11,1.56,1.69,1.33,1.63,"9,997",-,MCR,0.0448717948717948
606024,2017-12-10,1.2,1.61,1.06,1.57,"9,527",-,MCR,0.308333333333333
606025,2017-12-09,1.67,1.7,0.938308,1.2,"8,791",-,MCR,-0.281437125748503
606026,2017-12-08,1.88,1.9,0.803978,1.67,"10,380",-,MCR,-0.111702127659574
606027,2017-12-07,1.74,1.87,0.906006,1.87,"11,567",-,MCR,0.074712643678161
606028,2017-12-06,1.4,1.82,1.14,1.75,"9,474",-,MCR,0.25
606029,2017-12-05,1.34,2.11,1.29,1.41,"8,584",-,MCR,0.0522388059701491
606030,2017-12-04,2.14,2.2,1.29,1.34,"7,578",-,MCR,-0.37383177570093495
606031,2017-12-03,1.96,2.28,1.95,2.14,"10,563",-,MCR,0.0918367346938776
606032,2017-12-02,2.17,2.22,1.96,1.96,"10,983",-,MCR,-0.0967741935483871
606033,2017-12-01,2.03,2.34,1.91,2.17,"10,169",-,MCR,0.0689655172413794
606034,2017-11-30,2.0,2.18,1.76,2.04,"12,849",-,MCR,0.02
606035,2017-11-29,2.18,3.14,1.88,1.97,"8,426",-,MCR,-0.0963302752293579
606036,2017-11-28,2.72,3.21,2.18,2.19,"11,449",-,MCR,-0.194852941176471
606037,2017-11-27,2.9,3.34,2.59,2.71,"14,202",-,MCR,-0.0655172413793103
606038,2017-11-26,2.03,2.93,2.03,2.9,"19,337",-,MCR,0.42857142857142894
606039,2017-11-25,1.56,2.3,1.52,2.03,"10,563",-,MCR,0.30128205128205104
606040,2017-11-24,2.26,2.4,1.15,1.56,"10,845",-,MCR,-0.309734513274336
606041,2017-11-23,2.3,3.01,2.27,2.27,"14,341",-,MCR,-0.0130434782608695
606042,2017-11-22,3.34,3.42,2.04,2.3,"15,859",-,MCR,-0.311377245508982
606043,2017-11-21,3.46,3.51,2.42,3.33,"19,382",-,MCR,-0.0375722543352601
606044,2017-11-20,3.3,3.54,2.43,3.46,"18,129",-,MCR,0.0484848484848485
606045,2017-11-19,3.43,3.62,2.27,3.3,"24,867",-,MCR,-0.0379008746355686
606046,2017-11-18,2.83,3.45,2.75,3.43,"23,911",-,MCR,0.21201413427561802
606047,2017-11-17,2.38,2.92,2.34,2.84,"18,041",-,MCR,0.19327731092436998
606048,2017-11-16,2.2,3.42,2.09,2.38,"19,288",-,MCR,0.0818181818181817
606049,2017-11-15,1.99,2.2,1.99,2.19,"18,953",-,MCR,0.10050251256281402
606050,2017-11-14,1.96,2.02,1.93,1.99,"11,930",-,MCR,0.0153061224489796
606051,2017-11-13,1.77,2.02,1.75,1.96,"18,952",-,MCR,0.107344632768362
606052,2017-11-12,2.13,2.13,1.55,1.76,"4,663",-,MCR,-0.173708920187793
606053,2017-11-11,1.97,2.34,1.87,2.13,"7,386",-,MCR,0.0812182741116751
606054,2017-11-10,2.48,2.55,1.98,1.98,"12,922",-,MCR,-0.20161290322580602
606055,2017-11-09,2.57,2.57,2.29,2.47,"20,698",-,MCR,-0.0389105058365757
606056,2017-11-08,2.48,2.7,2.37,2.58,"18,842",-,MCR,0.0403225806451613
606057,2017-11-07,2.78,2.88,2.44,2.48,"6,300",-,MCR,-0.107913669064748
606058,2017-11-06,2.55,3.15,2.43,2.79,"7,416",-,MCR,0.0941176470588236
606059,2017-11-05,3.68,3.74,2.51,2.54,"3,747",-,MCR,-0.30978260869565194
606060,2017-11-04,3.64,3.75,3.15,3.69,"4,023",-,MCR,0.0137362637362637
606061,2017-11-03,3.42,3.84,3.01,3.65,"6,710",-,MCR,0.0672514619883041
606062,2017-11-02,2.89,3.5,2.89,3.42,"5,032",-,MCR,0.18339100346020798
606063,2017-11-01,3.09,3.53,2.55,2.89,"3,665",-,MCR,-0.064724919093851
606064,2017-10-31,3.27,3.43,2.09,3.09,"12,159",-,MCR,-0.0550458715596331
606065,2017-10-30,3.08,3.32,2.93,3.28,"33,009",-,MCR,0.0649350649350648
606066,2017-10-29,3.04,3.43,2.91,3.1,"32,213",-,MCR,0.0197368421052632
606067,2017-10-28,3.05,3.11,3.01,3.04,9,-,MCR,-0.0032786885245900898
606068,2017-10-27,3.1,3.44,2.85,3.05,"8,416",-,MCR,-0.0161290322580646
606069,2017-10-26,3.61,3.74,3.06,3.1,"9,987",-,MCR,-0.141274238227147
606070,2017-10-25,3.02,3.7,2.92,3.61,"17,076",-,MCR,0.195364238410596
606071,2017-10-24,3.86,3.86,3.0,3.01,451,-,MCR,-0.22020725388601
606072,2017-10-23,3.94,4.0,3.08,3.87,"3,624",-,MCR,-0.0177664974619289
606073,2017-10-22,3.91,3.98,3.07,3.95,"10,236",-,MCR,0.010230179028133002
606074,2017-10-21,4.02,4.11,3.11,3.91,"11,868",-,MCR,-0.0273631840796019
606075,2017-10-20,4.56,4.61,3.58,4.02,698,-,MCR,-0.11842105263157901
606076,2017-10-19,5.14,5.2,2.96,4.55,"16,097",-,MCR,-0.11478599221789901
606077,2017-10-18,5.34,5.34,1.34,5.14,"18,642",-,MCR,-0.0374531835205993
606078,2017-10-17,5.41,5.43,4.64,5.34,"20,377",-,MCR,-0.0129390018484289
606079,2017-10-16,5.44,5.47,4.59,5.41,"14,831",-,MCR,-0.00551470588235299
606080,2017-10-15,4.7,5.5,4.38,5.44,"11,344",-,MCR,0.157446808510638
606081,2017-10-14,5.52,5.65,4.57,4.69,"19,100",-,MCR,-0.15036231884058
606082,2017-10-13,5.37,5.8,3.11,5.52,"11,560",-,MCR,0.0279329608938546
606083,2017-10-12,3.5,5.85,3.49,5.35,"4,179",-,MCR,0.528571428571428
606084,2017-10-11,4.49,5.56,3.26,3.5,"16,559",-,MCR,-0.22048997772828502
606085,2017-10-10,5.03,5.34,4.15,4.49,"2,565",-,MCR,-0.10735586481113302
