Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
418111,2018-01-10,0.046689,0.056362999999999996,0.041241,0.043451,"4,682","857,543",MOTO,-0.0693525241491573
418112,2018-01-09,0.04398,0.064582,0.039055,0.046627999999999996,"14,394","807,338",MOTO,0.0602091859936336
418113,2018-01-08,0.029424000000000002,0.045173000000000005,0.026195999999999997,0.0441,"21,534","539,858",MOTO,0.49877650897226794
418114,2018-01-07,0.034979,0.038508999999999995,0.027957999999999997,0.029466000000000003,"2,384","641,418",MOTO,-0.15760885102490102
418115,2018-01-06,0.044555000000000004,0.065219,0.031938999999999995,0.035005,"5,180","816,564",MOTO,-0.21434182471103103
418116,2018-01-05,0.028417,0.044861,0.026527999999999996,0.04453,"10,597","520,518",MOTO,0.56701974170391
418117,2018-01-04,0.026004000000000003,0.028401999999999997,0.023763,0.028401999999999997,"1,906","476,069",MOTO,0.0922165820642978
418118,2018-01-03,0.022659000000000002,0.028225,0.022632,0.025894999999999998,"1,732","414,587",MOTO,0.14281301028289
418119,2018-01-02,0.024547,0.040698000000000005,0.019306999999999998,0.022733,"3,413","448,904",MOTO,-0.0738990508005051
418120,2018-01-01,0.025843,0.026374,0.017963999999999997,0.024549,"1,131","472,319",MOTO,-0.050071586116163
418121,2017-12-31,0.020843,0.026327,0.017942,0.025754000000000003,606,"380,740",MOTO,0.235618672935758
418122,2017-12-30,0.026994,0.02729,0.018129,0.021086,"2,900","492,828",MOTO,-0.21886345113729
418123,2017-12-29,0.021067,0.027483999999999998,0.020954,0.022821,703,"384,417",MOTO,0.08325817629467899
418124,2017-12-28,0.023264,0.026706999999999998,0.015271999999999999,0.020853,"3,709","424,252",MOTO,-0.10363651994497901
418125,2017-12-27,0.024562,0.026532,0.019865,0.023306,"1,327","447,694",MOTO,-0.0511359009852618
418126,2017-12-26,0.023287000000000002,0.025176,0.016209,0.024539,"2,776","424,206",MOTO,0.0537639026066045
418127,2017-12-25,0.017791,0.034572000000000006,0.017085,0.02326,"2,526","323,918",MOTO,0.307402619301894
418128,2017-12-24,0.009856,0.059988,0.008874,0.01761,"10,599","179,348",MOTO,0.7867288961038961
418129,2017-12-23,0.009997,0.012372,0.00971,0.009751000000000001,277,"181,811",MOTO,-0.0246073822146645
418130,2017-12-22,0.015304,0.023239,0.00807,0.009903,"1,005",-,MOTO,-0.352914270778881
418131,2017-12-21,0.025072999999999998,0.047274000000000004,0.013930000000000001,0.015255000000000001,836,-,MOTO,-0.391576596338691
418132,2017-12-20,0.016737000000000002,0.105352,0.015237,0.025008000000000002,"3,623",-,MOTO,0.49417458325864894
418133,2017-12-19,0.057507,0.060601999999999996,0.016169,0.016753,"2,321",-,MOTO,-0.708678943432973
418134,2017-12-18,0.045191,0.074791,0.031425,0.057461,"3,737",-,MOTO,0.27151423956097404
418135,2017-12-17,0.028270999999999998,0.048267000000000004,0.026642000000000002,0.045051999999999995,"4,933",-,MOTO,0.593576456439461
418136,2017-12-16,0.012747,0.041852,0.010813,0.028262,"4,197",-,MOTO,1.21714913312936
418137,2017-12-15,0.022463999999999998,0.03333,0.0127,0.01273,772,-,MOTO,-0.43331552706552706
418138,2017-12-14,0.026299,0.033759,0.017976,0.022430000000000002,"1,852",-,MOTO,-0.14711585991862802
418139,2017-12-13,0.008087,0.026618,0.008087,0.026383999999999998,"2,898",-,MOTO,2.26252009397799
418140,2017-12-12,0.020733,0.022017,0.008037,0.008079000000000001,"1,445",-,MOTO,-0.610331355809579
418141,2017-12-11,0.013548,0.031401,0.013475,0.020666,"1,458",-,MOTO,0.525391201653381
418142,2017-12-10,0.007017,0.017477,0.004106,0.013647,"6,284",-,MOTO,0.9448482257374949
418143,2017-12-09,0.005967,0.012721,0.005340999999999999,0.006966,"5,191",-,MOTO,0.167420814479638
418144,2017-12-08,0.016361,0.016791999999999998,0.006764,0.00687,"10,258",-,MOTO,-0.58009901595257
418145,2017-12-07,0.004978,0.027412,0.003953,0.016322,"16,767",-,MOTO,2.2788268380875896
418146,2017-12-06,0.0060869999999999995,0.008523000000000001,0.003857,0.004986,"1,984",-,MOTO,-0.180877279448004
418147,2017-12-05,0.0037939999999999996,0.00807,0.003614,0.006101,786,-,MOTO,0.608065366367949
418148,2017-12-04,0.0033469999999999997,0.003786,0.0020280000000000003,0.003786,156,-,MOTO,0.13116223483716802
418149,2017-12-03,0.003061,0.005138,0.003041,0.003322,33,-,MOTO,0.0852662528585429
418150,2017-12-02,0.002303,0.002754,0.0018679999999999999,0.002731,123,-,MOTO,0.18584455058619198
418151,2017-12-01,0.002134,0.0023899999999999998,0.002129,0.002305,53,-,MOTO,0.0801312089971884
418152,2017-11-30,0.002457,0.002673,0.00225,0.002431,30,-,MOTO,-0.0105820105820106
418153,2017-11-29,0.003319,0.003679,0.00233,0.00242,73,-,MOTO,-0.270864718288641
418154,2017-11-28,0.002735,0.0041719999999999995,0.002708,0.003322,135,-,MOTO,0.21462522851919602
418155,2017-11-27,0.002515,0.002784,0.0018969999999999998,0.002728,593,-,MOTO,0.0846918489065607
418156,2017-11-26,0.003425,0.0034659999999999995,0.00243,0.002515,98,-,MOTO,-0.265693430656934
418157,2017-11-25,0.002487,0.0034240000000000004,0.002345,0.0034240000000000004,62,-,MOTO,0.37675914756734996
418158,2017-11-24,0.003834,0.00396,0.002167,0.002491,122,-,MOTO,-0.35028690662493495
418159,2017-11-23,0.005871,0.0058969999999999995,0.003031,0.003839,33,-,MOTO,-0.346107988417646
418160,2017-11-22,0.008908,0.013543000000000001,0.004524,0.005871,174,-,MOTO,-0.340929501571621
