Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
317984,2018-01-10,0.437988,0.43895500000000004,0.31745100000000004,0.33776300000000004,"16,389","3,936,860",NUKO,-0.22883047024119396
317985,2018-01-09,0.48041000000000006,0.48041000000000006,0.313585,0.437414,"32,792","4,318,170",NUKO,-0.0894985533190399
317986,2018-01-08,0.46575,0.50965,0.418671,0.48172200000000004,"12,924","4,186,400",NUKO,0.03429307568438
317987,2018-01-07,0.430408,0.486275,0.41693100000000005,0.45254099999999997,"41,946","3,868,730",NUKO,0.0514233006821435
317988,2018-01-06,0.492026,0.498104,0.347148,0.430724,"24,810","4,422,590",NUKO,-0.124590976899595
317989,2018-01-05,0.35235500000000003,0.493716,0.331716,0.491634,"28,148","3,167,150",NUKO,0.39528032807821706
317990,2018-01-04,0.513363,0.513363,0.32927199999999995,0.385221,"13,020","4,614,380",NUKO,-0.249612847049748
317991,2018-01-03,0.5855670000000001,0.589532,0.42600600000000005,0.510567,"21,147","5,251,330",NUKO,-0.12808098817044
317992,2018-01-02,0.614314,0.614761,0.424809,0.587653,"21,814","5,490,520",NUKO,-0.0433996295054321
317993,2018-01-01,0.642861,1.37,0.51698,0.614362,"62,351","5,724,400",NUKO,-0.0443315117887071
317994,2017-12-31,0.240558,0.6470229999999999,0.23816700000000002,0.612807,"76,721","2,133,420",NUKO,1.54743970269124
317995,2017-12-30,0.265418,0.357381,0.231294,0.243184,"29,050","2,345,370",NUKO,-0.0837697518630989
317996,2017-12-29,0.260416,0.27866399999999997,0.241846,0.26608699999999996,"12,815","2,292,930",NUKO,0.0217766957483413
317997,2017-12-28,0.279287,0.32069899999999996,0.23504899999999998,0.257747,"10,384","2,449,950",NUKO,-0.0771249646421065
317998,2017-12-27,0.26447800000000005,0.319208,0.259848,0.27987399999999996,"13,567","1,559,670",NUKO,0.0582127814033682
317999,2017-12-26,0.229839,0.29101,0.229037,0.264287,"9,518","1,348,050",NUKO,0.149878828223235
318000,2017-12-25,0.246521,0.30302399999999996,0.198301,0.23007399999999997,"12,002","1,437,470",NUKO,-0.0667164257811707
318001,2017-12-24,0.20872600000000002,0.255363,0.177343,0.24398699999999998,"26,730","1,210,460",NUKO,0.168934392457097
318002,2017-12-23,0.19995,0.239384,0.159466,0.206446,"10,836","1,152,960",NUKO,0.0324881220305076
318003,2017-12-22,0.17347200000000002,0.21910900000000003,0.13860999999999998,0.198079,"15,468","994,752",NUKO,0.14184998155321898
318004,2017-12-21,0.242468,0.274067,0.168236,0.172873,"8,312","1,382,770",NUKO,-0.287027566524242
318005,2017-12-20,0.232744,0.288586,0.211734,0.241835,"27,444","1,319,670",NUKO,0.0390600831815213
318006,2017-12-19,0.212394,0.281765,0.212394,0.232973,"9,428","1,197,450",NUKO,0.0968906842942833
318007,2017-12-18,0.267847,0.282339,0.18320999999999998,0.21217600000000003,"16,187","1,501,600",NUKO,-0.20784627044544102
318008,2017-12-17,0.331061,0.335539,0.23421799999999998,0.267038,"31,720","1,845,330",NUKO,-0.19338732136977804
318009,2017-12-16,0.266094,0.428849,0.207504,0.302505,"45,565","1,474,750",NUKO,0.13683510338451801
318010,2017-12-15,0.496054,0.511369,0.175174,0.265805,"60,399","2,732,640",NUKO,-0.4641611598737229
318011,2017-12-14,0.083187,0.49690100000000004,0.082607,0.496399,"70,326",-,NUKO,4.96726652000914
318012,2017-12-13,0.08638,0.10918900000000001,0.079037,0.083455,"12,937",-,NUKO,-0.0338620050937717
318013,2017-12-12,0.075765,0.095769,0.074482,0.08630800000000001,"3,693",-,NUKO,0.139153962911635
318014,2017-12-11,0.062513,0.108352,0.057995000000000005,0.075523,"11,166",-,NUKO,0.208116711723962
318015,2017-12-10,0.0603,0.095997,0.054390999999999995,0.062967,"4,784",-,NUKO,0.04422885572139299
318016,2017-12-09,0.052207,0.094303,0.050967,0.060057000000000006,"7,112",-,NUKO,0.15036297814469302
318017,2017-12-08,0.069248,0.072469,0.042246,0.05226,"2,756",-,NUKO,-0.245321164510166
318018,2017-12-07,0.05494299999999999,0.09039900000000001,0.040816000000000005,0.06908500000000001,"9,394",-,NUKO,0.257394026536592
318019,2017-12-06,0.069349,0.07481900000000001,0.054161,0.055038,"10,622",-,NUKO,-0.206362023965738
