Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
224109,2018-01-10,7.92,8.0,7.45,7.88,"151,906","15,447,900",NVC,-0.0050505050505050605
224110,2018-01-09,7.8,8.34,7.56,7.88,"231,267","15,207,500",NVC,0.0102564102564103
224111,2018-01-08,8.04,8.09,7.42,7.78,"168,990","15,669,300",NVC,-0.0323383084577113
224112,2018-01-07,8.29,8.29,7.71,8.1,"203,841","16,145,600",NVC,-0.02291917973462
224113,2018-01-06,7.81,8.48,7.51,8.22,"306,951","15,211,500",NVC,0.0524967989756724
224114,2018-01-05,7.37,7.92,7.31,7.76,"143,190","14,337,000",NVC,0.0529172320217096
224115,2018-01-04,7.54,7.57,7.11,7.35,"142,644","14,655,200",NVC,-0.0251989389920425
224116,2018-01-03,7.18,7.69,7.11,7.52,"164,160","13,949,900",NVC,0.0473537604456824
224117,2018-01-02,6.11,7.51,6.06,7.17,"333,547","11,868,500",NVC,0.173486088379705
224118,2018-01-01,6.23,6.23,5.94,6.1,"39,920","12,104,700",NVC,-0.0208667736757626
224119,2017-12-31,5.63,6.47,5.58,6.16,"74,789","10,921,900",NVC,0.0941385435168739
224120,2017-12-30,6.32,6.39,5.53,5.64,"124,566","12,268,000",NVC,-0.107594936708861
224121,2017-12-29,6.17,6.53,6.17,6.27,"79,517","11,955,800",NVC,0.0162074554294975
224122,2017-12-28,6.78,6.78,6.0,6.15,"101,701","13,131,300",NVC,-0.0929203539823009
224123,2017-12-27,6.96,7.1,6.5,6.78,"126,315","13,483,900",NVC,-0.0258620689655172
224124,2017-12-26,6.71,7.15,6.56,6.96,"185,269","12,981,900",NVC,0.03725782414307
224125,2017-12-25,6.28,6.73,6.24,6.65,"166,140","12,155,100",NVC,0.0589171974522293
224126,2017-12-24,6.6,6.72,5.79,6.21,"136,772","12,765,700",NVC,-0.059090909090909007
224127,2017-12-23,6.26,7.25,6.26,6.58,"213,336","12,104,300",NVC,0.0511182108626199
224128,2017-12-22,8.11,8.15,5.38,6.23,"457,539","15,647,900",NVC,-0.23181257706535102
