Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
341792,2018-01-10,0.010806999999999999,0.011590000000000001,0.005359,0.006899,"11,985","3,446,620",NYAN,-0.36161747015823104
341793,2018-01-09,0.006775,0.011956,0.006478,0.010501,"48,976","2,160,870",NYAN,0.549963099630996
341794,2018-01-08,0.008631,0.009522,0.004816,0.008304,"24,384","2,752,690",NYAN,-0.0378866875217239
341795,2018-01-07,0.0048259999999999996,0.009052,0.004006,0.00848,"23,719","1,539,110",NYAN,0.7571487774554491
341796,2018-01-06,0.004517,0.005138,0.0041789999999999996,0.00418,"5,058","1,440,640",NYAN,-0.0746070400708436
341797,2018-01-05,0.004019,0.005313,0.003982,0.004527000000000001,"3,357","1,281,630",NYAN,0.126399601891018
341798,2018-01-04,0.003774,0.005225,0.00371,0.003747,"5,991","1,203,760",NYAN,-0.007154213036566009
341799,2018-01-03,0.0033350000000000003,0.004178,0.002979,0.003754,"2,890","1,063,620",NYAN,0.125637181409295
341800,2018-01-02,0.004117,0.0041600000000000005,0.002611,0.0033450000000000003,"7,194","1,312,900",NYAN,-0.187515180957008
341801,2018-01-01,0.0031969999999999998,0.004031,0.003002,0.004021,"1,503","1,019,580",NYAN,0.257741632780732
341802,2017-12-31,0.003184,0.0036880000000000003,0.0019649999999999997,0.003186,"5,345","1,015,600",NYAN,0.0006281407035175349
341803,2017-12-30,0.0023469999999999997,0.0036420000000000003,0.002258,0.0032170000000000002,"4,002","748,646",NYAN,0.370685982104815
341804,2017-12-29,0.002053,0.002499,0.002032,0.0023539999999999998,798,"654,732",NYAN,0.14661471018022398
341805,2017-12-28,0.00249,0.002497,0.001982,0.0020329999999999997,"1,409","794,043",NYAN,-0.18353413654618497
341806,2017-12-27,0.002537,0.002621,0.002182,0.002494,850,"809,195",NYAN,-0.0169491525423729
341807,2017-12-26,0.002079,0.002553,0.001959,0.002416,929,"663,157",NYAN,0.162097162097162
341808,2017-12-25,0.0018399999999999998,0.0022170000000000002,0.001695,0.002081,"1,465","586,917",NYAN,0.13097826086956502
341809,2017-12-24,0.0022129999999999997,0.00232,0.0016600000000000002,0.0018219999999999998,"1,999","705,670",NYAN,-0.17668323542702202
341810,2017-12-23,0.0020670000000000003,0.002372,0.0015710000000000001,0.002191,669,"659,199",NYAN,0.0599903241412675
341811,2017-12-22,0.002018,0.002332,0.0009339999999999999,0.002048,"3,834","643,743",NYAN,0.0148662041625372
341812,2017-12-21,0.0016940000000000002,0.002502,0.001575,0.002012,"2,966","540,249",NYAN,0.18772136953955101
341813,2017-12-20,0.0019399999999999999,0.001961,0.001609,0.001693,985,"618,756",NYAN,-0.127319587628866
341814,2017-12-19,0.0021739999999999997,0.002495,0.0018809999999999999,0.0019420000000000001,385,"693,474",NYAN,-0.106715731370745
341815,2017-12-18,0.002259,0.002454,0.002129,0.002171,356,"720,621",NYAN,-0.0389552899513059
341816,2017-12-17,0.0022,0.002337,0.001902,0.002254,522,"701,784",NYAN,0.0245454545454545
341817,2017-12-16,0.001936,0.002449,0.0019039999999999999,0.002173,742,"617,295",NYAN,0.122417355371901
341818,2017-12-15,0.002131,0.002323,0.0018809999999999999,0.0019329999999999998,"2,070","679,702",NYAN,-0.0929141248240263
341819,2017-12-14,0.001468,0.0021620000000000003,0.001456,0.002128,"3,119","468,062",NYAN,0.44959128065395104
341820,2017-12-13,0.001591,0.0017120000000000002,0.0014320000000000001,0.001471,357,"507,491",NYAN,-0.075424261470773
341821,2017-12-12,0.0015539999999999998,0.002591,0.001348,0.001588,412,"495,617",NYAN,0.0218790218790219
341822,2017-12-11,0.001377,0.0017230000000000001,0.001371,0.00155,288,"439,109",NYAN,0.12563543936093
341823,2017-12-10,0.001501,0.001527,0.0009429999999999999,0.0013859999999999999,350,"478,519",NYAN,-0.0766155896069286
341824,2017-12-09,0.001307,0.001576,0.0009630000000000001,0.001495,"2,842","416,684",NYAN,0.143840856924254
341825,2017-12-08,0.00139,0.001542,0.001139,0.001308,240,"443,003",NYAN,-0.0589928057553957
341826,2017-12-07,0.001373,0.001754,0.0011,0.001387,781,"437,444",NYAN,0.0101966496722505
341827,2017-12-06,0.001084,0.001574,0.001084,0.001372,718,"345,314",NYAN,0.265682656826568
341828,2017-12-05,0.00115,0.001396,0.001052,0.001088,220,"366,268",NYAN,-0.0539130434782609
341829,2017-12-04,0.000679,0.001369,0.000678,0.0011480000000000001,"1,480","216,206",NYAN,0.6907216494845361
341830,2017-12-03,0.000975,0.000981,0.00064,0.000677,"1,306","310,546",NYAN,-0.305641025641026
341831,2017-12-02,0.0008710000000000001,0.000985,0.000753,0.000974,145,"277,273",NYAN,0.118254879448909
341832,2017-12-01,0.0008089999999999999,0.000956,0.0007650000000000001,0.000872,140,"257,523",NYAN,0.0778739184177998
341833,2017-11-30,0.000773,0.000917,0.00072,0.000813,53,"245,847",NYAN,0.0517464424320828
341834,2017-11-29,0.000786,0.000909,0.000705,0.0007610000000000001,"1,244","250,092",NYAN,-0.0318066157760815
341835,2017-11-28,0.000773,0.0008550000000000001,0.000741,0.000785,221,"245,810",NYAN,0.0155239327296248
341836,2017-11-27,0.000745,0.0008699999999999999,0.000745,0.000771,72,"237,061",NYAN,0.0348993288590604
341837,2017-11-26,0.0007559999999999999,0.0007610000000000001,0.000704,0.000745,466,"240,467",NYAN,-0.0145502645502646
341838,2017-11-25,0.000759,0.000768,0.000675,0.0007570000000000001,28,"241,449",NYAN,-0.00263504611330705
341839,2017-11-24,0.000681,0.0008849999999999999,0.0006309999999999999,0.0007610000000000001,18,"216,359",NYAN,0.11747430249632901
341840,2017-11-23,0.00074,0.0008300000000000001,0.000686,0.000686,122,"235,113",NYAN,-0.07297297297297299
341841,2017-11-22,0.000732,0.0007570000000000001,0.000654,0.000742,318,"232,735",NYAN,0.0136612021857924
341842,2017-11-21,0.000742,0.000825,0.0007019999999999999,0.000731,36,"235,607",NYAN,-0.0148247978436658
341843,2017-11-20,0.000724,0.00091,0.000715,0.000741,184,"229,893",NYAN,0.0234806629834254
341844,2017-11-19,0.000771,0.000891,0.0006929999999999999,0.000724,147,"244,878",NYAN,-0.0609597924773021
341845,2017-11-18,0.000769,0.0008439999999999999,0.0006889999999999999,0.000771,30,"244,088",NYAN,0.00260078023407014
341846,2017-11-17,0.000772,0.000788,0.000741,0.000772,47,"244,983",NYAN,0.0
341847,2017-11-16,0.000729,0.000848,0.000711,0.000773,192,"231,528",NYAN,0.0603566529492455
341848,2017-11-15,0.000986,0.001034,0.00072,0.000725,306,"312,801",NYAN,-0.264705882352941
341849,2017-11-14,0.0005650000000000001,0.001033,0.000544,0.000985,603,"179,167",NYAN,0.743362831858407
341850,2017-11-13,0.000528,0.000646,0.000524,0.0005639999999999999,36,"167,451",NYAN,0.0681818181818182
341851,2017-11-12,0.0005099999999999999,0.0006129999999999999,0.000499,0.0005269999999999999,119,"161,837",NYAN,0.0333333333333333
341852,2017-11-11,0.000504,0.000605,0.0005,0.0005110000000000001,78,"159,905",NYAN,0.0138888888888888
341853,2017-11-10,0.0005780000000000001,0.000611,0.00048600000000000005,0.0005059999999999999,208,"183,257",NYAN,-0.12456747404844301
341854,2017-11-09,0.000753,0.000753,0.000575,0.000576,42,"238,620",NYAN,-0.23505976095617498
341855,2017-11-08,0.000573,0.000754,0.00057,0.000754,19,"181,716",NYAN,0.31588132635253
341856,2017-11-07,0.000557,0.000646,0.000557,0.000575,159,"176,630",NYAN,0.0323159784560144
341857,2017-11-06,0.000593,0.00065,0.000556,0.000558,151,"187,692",NYAN,-0.0590219224283305
341858,2017-11-05,0.000656,0.000661,0.000586,0.000591,20,"207,799",NYAN,-0.0990853658536585
341859,2017-11-04,0.000558,0.0006730000000000001,0.000546,0.000657,185,"176,595",NYAN,0.17741935483871
341860,2017-11-03,0.0005610000000000001,0.000611,0.0005200000000000001,0.000558,184,"177,706",NYAN,-0.0053475935828876395
341861,2017-11-02,0.000537,0.0006519999999999999,0.000537,0.000562,40,"170,068",NYAN,0.0465549348230912
341862,2017-11-01,0.000515,0.00058,0.000508,0.000537,160,"162,955",NYAN,0.0427184466019417
341863,2017-10-31,0.000471,0.000515,0.00040899999999999997,0.000515,178,"149,137",NYAN,0.0934182590233546
341864,2017-10-30,0.000449,0.000496,0.000446,0.00047300000000000006,320,"142,007",NYAN,0.0534521158129176
341865,2017-10-29,0.000454,0.0005059999999999999,0.00041799999999999997,0.00045099999999999996,79,"143,492",NYAN,-0.00660792951541842
341866,2017-10-28,0.00049,0.00049,0.00045,0.000455,32,"155,006",NYAN,-0.0714285714285714
341867,2017-10-27,0.000523,0.000579,0.000463,0.000489,12,"165,484",NYAN,-0.0650095602294456
341868,2017-10-26,0.00044400000000000006,0.000529,0.00044,0.000529,20,"140,254",NYAN,0.19144144144144098
341869,2017-10-25,0.00044,0.00044500000000000003,0.00040899999999999997,0.00044400000000000006,18,"139,027",NYAN,0.00909090909090906
