Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
147066,2018-01-10,10.64,11.36,10.31,11.1,"156,259","38,228,600",OTN,0.0432330827067668
147067,2018-01-09,10.23,12.88,10.08,10.63,"230,728","36,743,300",OTN,0.0391006842619746
147068,2018-01-08,9.14,13.07,8.76,10.2,"296,381","32,851,700",OTN,0.115973741794311
147069,2018-01-07,8.99,9.45,8.39,9.15,"123,601","32,311,500",OTN,0.017797552836485
147070,2018-01-06,8.52,9.2,8.44,9.0,"92,562","30,605,100",OTN,0.0563380281690141
147071,2018-01-05,9.05,10.63,8.28,8.47,"155,770","32,512,000",OTN,-0.0640883977900552
147072,2018-01-04,8.87,9.94,8.55,9.05,"133,071","46,653,000",OTN,0.0202931228861332
147073,2018-01-03,9.61,9.61,8.63,8.85,"126,275","50,530,700",OTN,-0.0790842872008325
147074,2018-01-02,9.16,10.23,8.68,9.64,"158,920","48,180,400",OTN,0.0524017467248909
147075,2018-01-01,10.15,10.15,8.72,9.16,"68,835","53,394,300",OTN,-0.0975369458128079
147076,2017-12-31,10.12,10.61,9.4,10.12,"112,671","53,227,000",OTN,0.0
147077,2017-12-30,11.0,11.3,9.7,10.35,"85,451","54,429,000",OTN,-0.0590909090909091
147078,2017-12-29,12.12,12.39,10.74,11.02,"107,129","59,982,900",OTN,-0.0907590759075907
147079,2017-12-28,13.01,13.91,10.97,12.16,"297,006","64,406,100",OTN,-0.0653343581860107
147080,2017-12-27,8.15,22.66,7.73,12.47,"708,435","40,359,100",OTN,0.530061349693252
147081,2017-12-26,7.31,8.8,7.19,8.15,"107,558","36,182,000",OTN,0.114911080711354
147082,2017-12-25,7.0,7.63,6.77,7.32,"45,427","34,629,800",OTN,0.0457142857142858
147083,2017-12-24,7.43,7.78,6.24,6.93,"50,645","36,793,800",OTN,-0.0672947510094213
147084,2017-12-23,6.73,8.48,6.72,7.36,"65,090","33,313,800",OTN,0.0936106983655275
147085,2017-12-22,8.42,8.5,5.59,6.87,"93,523","41,684,800",OTN,-0.18408551068883602
147086,2017-12-21,7.98,8.54,7.67,8.47,"119,339","39,480,000",OTN,0.0614035087719298
