Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
413801,2018-01-10,0.069118,0.074575,0.058662,0.06334400000000001,"11,613","1,096,780",POST,-0.0835382968257184
413802,2018-01-09,0.062448000000000004,0.07117000000000001,0.060136,0.066528,"12,638","990,939",POST,0.0653343581860109
413803,2018-01-08,0.061348,0.062955,0.045038999999999996,0.062877,"8,063","973,481",POST,0.0249233878855057
413804,2018-01-07,0.046686,0.080929,0.043014,0.060570000000000006,"24,553","740,824",POST,0.29739108083793897
413805,2018-01-06,0.033923,0.046141,0.033305,0.046127999999999995,"9,984","538,296",POST,0.35978539633876705
413806,2018-01-05,0.03145,0.038539,0.029425,0.034339999999999996,"8,646","499,063",POST,0.091891891891892
413807,2018-01-04,0.033414,0.035499,0.029417000000000002,0.031110000000000002,"8,846","530,216",POST,-0.0689531334171306
413808,2018-01-03,0.026022000000000003,0.034631999999999996,0.025999,0.031318,"9,494","412,922",POST,0.20352009837829502
413809,2018-01-02,0.026441000000000003,0.028523000000000003,0.023849000000000002,0.026115,"6,028","419,573",POST,-0.0123293370144851
413810,2018-01-01,0.026027999999999996,0.026879000000000004,0.024033000000000002,0.026443,"1,378","413,023",POST,0.0159443676041187
413811,2017-12-31,0.024666,0.026781,0.022119,0.025927999999999996,"4,769","391,400",POST,0.0511635449606746
413812,2017-12-30,0.026847000000000003,0.034207999999999995,0.021450999999999998,0.024932,"10,256","426,013",POST,-0.0713301299959027
413813,2017-12-29,0.025574,0.027504,0.023275999999999998,0.027357999999999997,"4,487","405,811",POST,0.0697583483225151
413814,2017-12-28,0.028498000000000002,0.028584,0.023823,0.025225,"6,350","452,213",POST,-0.114850164923854
413815,2017-12-27,0.029172000000000003,0.030060000000000003,0.026222000000000002,0.028181,"3,583","462,915",POST,-0.0339709310297545
413816,2017-12-26,0.026135000000000002,0.030629000000000003,0.025309,0.029067000000000003,"4,145","414,709",POST,0.11218672278553699
413817,2017-12-25,0.026677999999999997,0.027825,0.024776,0.026157,"6,878","423,336",POST,-0.0195292000899618
413818,2017-12-24,0.025177,0.026763,0.022317,0.026224,"2,362","399,521",POST,0.0415855741351233
413819,2017-12-23,0.023562,0.033428,0.022733,0.0249,"13,232","373,889",POST,0.0567863509039979
413820,2017-12-22,0.024733,0.027766000000000002,0.016967,0.023202,"8,177","392,470",POST,-0.0619011037884608
413821,2017-12-21,0.026679,0.06887599999999999,0.019131,0.024648,"13,060","423,355",POST,-0.0761272911278534
