Unnamed: 0,Date,Open,High,Low,Close,Volume,Market.Cap,coin,Delta
52090,2018-01-10,2.87,3.62,2.55,3.61,"344,135","236,727,000",PPP,0.257839721254355
52091,2018-01-09,2.48,2.88,2.39,2.87,"169,065","204,492,000",PPP,0.157258064516129
52092,2018-01-08,1.95,2.56,1.94,2.49,"260,270","160,899,000",PPP,0.27692307692307694
52093,2018-01-07,1.91,2.11,1.77,1.93,"298,752","157,867,000",PPP,0.0104712041884817
52094,2018-01-06,1.96,1.98,1.8,1.91,"109,810","161,707,000",PPP,-0.0255102040816327
52095,2018-01-05,2.05,2.22,1.92,1.95,"180,575","169,044,000",PPP,-0.048780487804878
52096,2018-01-04,1.89,2.41,1.76,2.01,"155,195","156,028,000",PPP,0.0634920634920634
52097,2018-01-03,1.88,2.02,1.69,1.89,"186,741","155,106,000",PPP,0.0053191489361702204
52098,2018-01-02,1.73,2.02,1.65,1.87,"214,966","142,591,000",PPP,0.0809248554913296
52099,2018-01-01,1.72,1.9,1.48,1.72,"233,837","141,660,000",PPP,0.0
52100,2017-12-31,1.73,1.83,1.61,1.71,"279,731","142,689,000",PPP,-0.0115606936416185
52101,2017-12-30,1.7,1.88,1.53,1.75,"267,303","139,893,000",PPP,0.0294117647058824
52102,2017-12-29,1.69,1.74,1.59,1.69,"328,529","139,393,000",PPP,0.0
52103,2017-12-28,1.74,1.74,1.47,1.68,"285,222","143,547,000",PPP,-0.0344827586206897
52104,2017-12-27,1.97,2.03,1.57,1.74,"377,215","162,373,000",PPP,-0.116751269035533
52105,2017-12-26,1.72,2.03,1.68,1.97,"299,168","142,232,000",PPP,0.145348837209302
52106,2017-12-25,1.65,1.82,1.59,1.72,"255,285","136,516,000",PPP,0.0424242424242425
52107,2017-12-24,1.65,1.65,1.42,1.65,"179,820","136,498,000",PPP,0.0
52108,2017-12-23,1.61,1.71,1.5,1.64,"435,145","132,831,000",PPP,0.0186335403726707
52109,2017-12-22,1.95,1.96,1.12,1.6,"457,154","160,893,000",PPP,-0.179487179487179
52110,2017-12-21,2.02,2.12,1.85,1.94,"84,351","166,292,000",PPP,-0.0396039603960396
52111,2017-12-20,2.07,2.07,1.66,2.01,"558,123","170,617,000",PPP,-0.0289855072463768
52112,2017-12-19,2.43,2.59,1.94,2.07,"893,916","200,255,000",PPP,-0.148148148148148
52113,2017-12-18,2.3,2.55,2.01,2.43,"1,004,310","189,488,000",PPP,0.0565217391304349
52114,2017-12-17,2.23,2.68,2.23,2.3,"1,083,990","184,372,000",PPP,0.0313901345291479
52115,2017-12-16,1.31,2.69,1.29,2.23,"1,839,790","108,304,000",PPP,0.7022900763358779
52116,2017-12-15,1.35,1.35,1.13,1.32,"740,893","111,102,000",PPP,-0.0222222222222222
52117,2017-12-14,1.22,1.43,1.19,1.35,"712,177","100,997,000",PPP,0.10655737704917999
52118,2017-12-13,1.04,1.42,0.9544090000000001,1.22,"968,951","85,938,600",PPP,0.17307692307692302
52119,2017-12-12,0.806658,1.05,0.728448,1.04,"545,321","66,549,300",PPP,0.289270050008802
52120,2017-12-11,0.674068,0.811865,0.6671739999999999,0.811865,"297,707","55,610,600",PPP,0.204425962959227
52121,2017-12-10,0.7128869999999999,0.730681,0.636934,0.6704899999999999,"253,685","58,813,100",PPP,-0.059472258576745
52122,2017-12-09,0.671962,0.774275,0.6703210000000001,0.716978,"322,584","55,436,800",PPP,0.0669918834696011
52123,2017-12-08,0.64188,0.681234,0.602769,0.671978,"280,475","52,955,100",PPP,0.0468903844955443
52124,2017-12-07,0.6042350000000001,0.6885060000000001,0.5622149999999999,0.630791,"133,478","49,849,400",PPP,0.0439497877481444
52125,2017-12-06,0.647727,0.654483,0.59711,0.61026,"92,417","53,437,500",PPP,-0.0578438138289743
52126,2017-12-05,0.699063,0.719174,0.633509,0.648867,"144,397","57,672,700",PPP,-0.0718046871312028
52127,2017-12-04,0.6955560000000001,0.721318,0.632784,0.698704,"159,961","57,383,300",PPP,0.0045258757023159
52128,2017-12-03,0.7463930000000001,0.775043,0.69906,0.705398,"130,938","61,577,400",PPP,-0.0549241485383705
52129,2017-12-02,0.7441,0.787173,0.683883,0.7461409999999999,"337,639","61,388,300",PPP,0.0027429108990728
52130,2017-12-01,0.654257,0.773479,0.636469,0.744121,"206,948","53,976,200",PPP,0.137352752817318
52131,2017-11-30,0.580605,0.662824,0.521478,0.655884,"168,697","47,899,900",PPP,0.129656134549306
52132,2017-11-29,0.710987,0.720333,0.550109,0.573264,"225,279","58,656,400",PPP,-0.19370677663585997
52133,2017-11-28,0.685214,0.724094,0.644877,0.710417,"259,285","56,530,100",PPP,0.036781209957765
52134,2017-11-27,0.804244,0.807979,0.6390899999999999,0.686153,"330,148","66,350,100",PPP,-0.14683479143145597
52135,2017-11-26,0.77035,0.829592,0.7287399999999999,0.8044439999999999,"361,335","63,553,800",PPP,0.0442578048938795
52136,2017-11-25,0.7821520000000001,0.802475,0.700207,0.770324,"324,921","64,527,500",PPP,-0.0151223803045955
52137,2017-11-24,0.704363,0.799974,0.700225,0.782281,"306,757","58,110,000",PPP,0.11062193783603098
52138,2017-11-23,0.7098270000000001,0.7951020000000001,0.6490060000000001,0.707906,"402,956","58,560,700",PPP,-0.0027062932235600396
52139,2017-11-22,0.8259610000000001,0.8325,0.606594,0.708198,"843,076","68,141,800",PPP,-0.14257694975912902
52140,2017-11-21,0.626001,0.897632,0.562947,0.824907,"1,049,110","51,645,100",PPP,0.31774070648449393
52141,2017-11-20,0.511832,0.627834,0.499989,0.626988,"503,747","42,226,100",PPP,0.224987886650307
52142,2017-11-19,0.46734,0.608924,0.450139,0.512029,"692,150","38,555,600",PPP,0.0956241708392177
52143,2017-11-18,0.330487,0.47082700000000005,0.3286,0.468551,"477,321","27,265,200",PPP,0.41775924620333
52144,2017-11-17,0.285963,0.331479,0.273041,0.33112800000000003,"129,661","23,592,000",PPP,0.15794001321849302
52145,2017-11-16,0.302452,0.30712,0.268654,0.280438,"102,067","24,952,300",PPP,-0.0727851030907383
52146,2017-11-15,0.271776,0.302688,0.265534,0.302688,"90,524","22,421,500",PPP,0.113740727658071
52147,2017-11-14,0.280578,0.292651,0.262781,0.27162800000000004,"109,911","23,147,700",PPP,-0.031898438223952004
52148,2017-11-13,0.241745,0.283563,0.241745,0.280591,"70,180","19,943,900",PPP,0.16068998324681
52149,2017-11-12,0.297184,0.297184,0.222554,0.24136100000000002,"118,063","24,517,700",PPP,-0.18783985678906
52150,2017-11-11,0.254542,0.30738200000000004,0.251227,0.29715,"112,422","20,999,700",PPP,0.16739084316144298
52151,2017-11-10,0.27305799999999997,0.289124,0.254379,0.255275,"111,931","22,527,300",PPP,-0.0651253579825533
52152,2017-11-09,0.26248299999999997,0.297697,0.252023,0.272928,"109,205","21,654,900",PPP,0.0397930532644018
52153,2017-11-08,0.20130399999999998,0.277943,0.194936,0.263907,"90,907","16,607,600",PPP,0.31098736239717
52154,2017-11-07,0.20272,0.22543000000000002,0.189288,0.20144600000000001,"71,770","16,724,400",PPP,-0.00628453038674045
52155,2017-11-06,0.195893,0.2134,0.191066,0.202417,"36,968","16,161,200",PPP,0.0333038954939687
52156,2017-11-05,0.200769,0.21763200000000002,0.181358,0.195708,"26,652","16,563,500",PPP,-0.0252080749518103
52157,2017-11-04,0.189307,0.20268699999999998,0.179419,0.200508,"31,115","15,617,800",PPP,0.0591684406810102
52158,2017-11-03,0.169099,0.190038,0.153977,0.189276,"55,253","13,950,700",PPP,0.119320634657804
52159,2017-11-02,0.180297,0.194759,0.156881,0.168273,"32,164","14,874,500",PPP,-0.0666899615634204
52160,2017-11-01,0.195351,0.197355,0.166987,0.17979900000000001,"42,835","16,116,500",PPP,-0.0796105471689421
52161,2017-10-31,0.19362200000000002,0.207682,0.182785,0.195712,"42,454","15,973,800",PPP,0.0107942279286445
52162,2017-10-30,0.174848,0.21040599999999998,0.174848,0.19351500000000002,"40,786","14,425,000",PPP,0.106761301244509
52163,2017-10-29,0.180773,0.194582,0.149911,0.171903,"73,893","14,913,800",PPP,-0.0490670620059411
52164,2017-10-28,0.200796,0.201715,0.180849,0.180849,"50,777","16,565,700",PPP,-0.0993396282794478
52165,2017-10-27,0.198171,0.20765,0.183148,0.20051,"52,294","16,349,100",PPP,0.0118029378667917
52166,2017-10-26,0.197528,0.23003,0.179749,0.197772,"48,109","16,296,100",PPP,0.0012352679113846901
52167,2017-10-25,0.21235,0.243617,0.197952,0.197952,"37,628","17,518,900",PPP,-0.0678031551683542
52168,2017-10-24,0.192355,0.504343,0.189652,0.504023,"49,558","15,869,300",PPP,1.62027501234696
52169,2017-10-23,0.2085,0.340825,0.178045,0.192484,"49,400","17,201,300",PPP,-0.0768153477218226
52170,2017-10-22,0.199154,0.221861,0.187702,0.20862199999999997,"64,760","16,430,200",PPP,0.0475410988481276
52171,2017-10-21,0.21798,0.231606,0.192946,0.195262,"67,672","17,983,400",PPP,-0.104220570694559
52172,2017-10-20,0.252932,0.268084,0.21826199999999998,0.21826199999999998,"50,767","20,866,900",PPP,-0.137072414720162
52173,2017-10-19,0.247152,0.780589,0.218563,0.25313800000000003,"98,406","20,390,100",PPP,0.0242199132517639
